Variable:,tasmax
,Monaco,"Administrative unit not available"
2015,13.98,19.04
2016,14.08,19.07
2017,13.97,18.92
2018,14.27,19.08
2019,14.16,19.30
2020,14.09,19.24
2021,14.26,19.27
2022,14.51,19.36
2023,14.14,19.27
2024,14.33,19.29
2025,14.37,19.27
2026,14.58,19.53
2027,14.37,19.45
2028,14.48,19.31
2029,14.46,19.44
2030,14.18,19.42
2031,14.37,19.44
2032,14.86,19.79
2033,14.59,19.53
2034,14.87,19.86
2035,14.89,19.72
2036,14.74,19.81
2037,14.68,19.62
2038,14.87,19.72
2039,14.78,19.74
2040,14.68,19.60
2041,14.88,19.67
2042,14.95,19.81
2043,14.70,19.77
2044,14.86,19.63
2045,14.85,19.87
2046,14.71,19.74
2047,15.12,19.89
2048,15.29,20.14
2049,15.45,19.99
2050,15.45,20.30
2051,15.35,20.14
2052,15.13,20.07
2053,15.56,20.23
2054,15.44,20.19
2055,15.60,20.45
2056,15.40,20.27
2057,15.41,20.40
2058,15.37,20.36
2059,15.49,20.49
2060,15.68,20.43
2061,15.75,20.38
2062,15.73,20.26
2063,15.99,20.68
2064,15.30,20.23
2065,15.91,20.59
2066,15.70,20.54
2067,16.01,20.67
2068,15.72,20.61
2069,15.84,20.65
2070,15.66,20.29
2071,15.72,20.69
2072,15.62,20.49
2073,15.80,20.66
2074,15.81,20.71
2075,15.57,20.38
2076,15.95,20.73
2077,15.71,20.41
2078,16.29,20.87
2079,16.08,20.69
2080,15.68,20.43
2081,15.86,20.66
2082,16.13,20.91
2083,16.04,20.96
2084,16.10,20.92
2085,16.08,20.70
2086,16.22,20.96
2087,16.63,21.13
2088,16.54,21.04
2089,16.33,21.02
2090,16.53,21.09
2091,16.25,20.86
2092,16.31,21.07
2093,16.34,20.99
2094,16.09,20.83
2095,16.21,20.88
2096,16.73,21.29
2097,16.06,20.94
2098,16.58,21.26
2099,16.47,21.22
2100,16.55,21.05
