Variable:,tasmin
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
2015,11.47,10.55,22.97,10.88,5.16,9.19,14.65,5.29,4.15,11.20,21.75,16.77,11.99,18.70,17.52,5.91,11.84,10.70,5.45,7.73,13.38,17.89,10.92,5.59,9.43,3.68,5.01,10.88,4.92,7.69
2016,11.67,11.01,22.92,11.23,5.42,9.48,14.81,5.55,4.73,11.40,21.73,17.03,12.09,18.74,17.65,6.31,12.04,11.17,5.93,7.98,13.72,17.99,11.25,5.92,9.52,3.98,5.34,11.03,5.18,8.09
2017,11.45,10.56,22.83,10.97,5.11,9.17,14.62,5.16,3.96,11.24,21.69,16.78,11.92,18.70,17.54,5.83,11.72,10.78,5.42,7.71,13.56,17.83,10.90,5.61,9.34,3.39,4.90,11.00,4.69,7.73
2018,11.53,10.73,22.99,11.23,4.81,9.29,14.66,5.12,4.12,11.44,21.67,16.79,11.95,18.86,17.81,5.87,11.85,10.85,5.35,7.66,13.65,17.93,10.77,5.55,9.43,3.29,4.88,11.07,4.58,7.59
2019,11.43,10.61,22.84,10.95,5.27,9.11,14.50,5.35,4.22,11.15,21.53,16.68,11.82,18.63,17.56,6.07,11.80,10.77,5.50,7.73,13.41,17.91,10.86,5.65,9.24,3.80,5.10,10.96,4.95,7.66
2020,11.72,10.81,23.13,11.10,5.15,9.33,14.80,5.34,4.23,11.61,21.87,16.94,12.21,18.85,17.74,6.10,11.99,10.94,5.52,7.93,13.70,18.28,10.98,5.71,9.62,3.73,5.00,11.23,4.87,7.76
2021,11.92,11.22,23.18,11.51,5.69,9.70,14.96,5.96,4.81,11.75,21.80,17.47,12.20,19.16,17.93,6.50,12.47,11.57,6.12,8.30,14.04,17.93,11.50,6.05,9.75,4.28,5.82,11.64,5.40,8.33
2022,11.64,10.83,23.10,11.13,5.49,9.28,14.75,5.56,4.31,11.43,21.77,17.03,12.02,18.87,17.75,6.17,12.16,11.13,5.67,8.06,13.70,17.91,11.19,5.94,9.42,3.79,5.37,11.35,5.04,7.91
2023,11.95,11.11,23.19,11.42,5.19,9.77,14.99,5.72,4.68,11.86,21.97,17.18,12.38,19.07,17.96,6.28,12.15,11.37,6.09,8.30,14.14,18.20,11.52,5.74,10.03,3.81,5.30,11.47,5.33,8.30
2024,12.02,11.12,23.46,11.52,5.41,9.83,15.20,5.59,4.60,11.93,22.03,17.20,12.55,19.14,18.08,6.44,12.16,11.31,5.96,8.16,14.09,18.36,11.42,5.98,10.02,3.93,5.29,11.52,5.20,8.25
2025,12.37,11.64,23.73,11.83,6.30,10.17,15.37,6.36,5.17,12.13,22.28,17.74,12.69,19.63,18.41,7.01,12.76,11.80,6.57,8.74,14.47,18.56,11.97,6.73,10.38,4.66,6.18,12.01,5.89,8.75
2026,12.25,11.34,23.60,11.79,5.89,10.02,15.41,6.02,4.92,12.01,22.41,17.52,12.72,19.58,18.40,6.71,12.54,11.59,6.28,8.49,14.28,18.52,11.78,6.36,10.19,4.36,5.89,11.75,5.55,8.58
2027,12.30,11.28,23.41,11.68,5.67,10.04,15.37,6.05,4.79,12.27,22.31,17.42,12.78,19.32,18.25,6.52,12.40,11.49,6.21,8.35,14.33,18.74,11.75,6.10,10.24,4.30,5.74,11.71,5.60,8.50
2028,11.87,10.91,23.36,11.37,5.32,9.66,15.11,5.51,4.43,11.77,22.01,17.06,12.31,19.11,18.00,6.26,12.18,11.16,5.75,8.11,14.03,18.03,11.17,5.87,9.85,3.73,5.32,11.53,4.99,7.98
2029,12.13,11.28,23.49,11.65,5.60,9.87,15.24,5.92,4.93,11.99,22.18,17.42,12.61,19.37,18.19,6.64,12.28,11.50,6.27,8.36,14.20,18.46,11.65,6.03,9.96,4.27,5.60,11.56,5.59,8.48
2030,12.33,11.30,23.47,11.68,6.15,9.95,15.21,6.35,4.89,12.27,22.27,17.50,12.65,19.39,18.23,6.68,12.79,11.60,6.34,8.78,14.47,18.62,12.00,6.45,10.09,4.37,6.17,11.99,5.74,8.67
2031,12.11,11.13,23.48,11.60,5.73,9.85,15.24,5.95,4.77,11.94,22.22,17.20,12.59,19.19,18.22,6.53,12.53,11.44,6.08,8.22,14.08,18.50,11.43,6.20,10.06,4.20,5.75,11.59,5.35,8.28
2032,12.13,11.58,23.71,11.93,5.76,9.79,15.36,6.16,5.09,11.80,22.31,17.58,12.44,19.45,18.32,6.80,12.76,11.87,6.31,8.63,14.25,18.33,11.69,6.27,9.93,4.28,5.91,11.87,5.58,8.35
2033,11.99,11.22,23.57,11.57,5.57,9.69,15.20,5.71,4.74,11.75,22.31,17.48,12.50,19.40,18.15,6.45,12.30,11.43,6.01,8.06,13.97,18.35,11.21,6.01,9.84,4.12,5.49,11.53,5.27,8.05
2034,12.46,11.54,23.56,12.13,5.98,10.39,15.40,6.20,5.18,12.40,22.22,17.82,12.70,19.76,18.49,6.90,12.69,11.95,6.61,8.76,14.72,18.56,12.00,6.49,10.48,4.52,5.96,12.01,5.77,8.86
2035,12.19,11.42,23.62,11.75,6.10,9.83,15.30,6.03,5.02,11.96,22.37,17.48,12.56,19.50,18.31,6.93,12.60,11.67,6.25,8.38,14.22,18.46,11.47,6.51,9.91,4.51,5.84,11.85,5.59,8.38
2036,12.32,11.58,23.91,12.00,5.81,9.98,15.58,6.11,5.09,12.11,22.60,17.69,12.79,19.69,18.62,7.05,12.59,11.88,6.31,8.54,14.30,18.63,11.67,6.45,10.15,4.55,5.68,11.80,5.68,8.40
2037,12.39,11.53,23.73,11.84,6.03,10.18,15.45,6.19,5.18,12.31,22.35,17.60,12.81,19.54,18.41,6.82,12.61,11.81,6.43,8.49,14.47,18.67,11.74,6.36,10.33,4.53,5.89,11.92,5.73,8.54
2038,12.42,11.45,23.81,11.74,6.16,10.07,15.54,6.26,5.03,12.23,22.52,17.66,12.88,19.56,18.34,6.91,12.67,11.60,6.40,8.71,14.47,18.77,11.98,6.44,10.37,4.70,6.13,11.86,5.81,8.62
2039,12.28,11.53,23.72,11.89,6.37,10.07,15.41,6.28,5.22,11.97,22.30,17.52,12.64,19.47,18.35,7.05,12.58,11.84,6.55,8.57,14.23,18.55,11.74,6.71,10.09,4.69,6.15,11.62,5.80,8.59
2040,12.20,11.24,23.49,11.54,6.13,9.91,15.25,6.30,4.92,11.98,22.28,17.36,12.49,19.37,18.20,6.66,12.79,11.48,6.23,8.69,14.40,18.33,11.73,6.48,10.15,4.49,6.15,12.00,5.71,8.34
2041,12.45,11.30,23.53,11.65,6.15,9.96,15.45,6.24,4.99,12.39,22.54,17.50,13.01,19.27,18.14,6.81,12.78,11.54,6.26,8.68,14.41,18.94,11.92,6.54,10.32,4.56,5.97,11.94,5.77,8.35
2042,12.27,11.51,23.58,11.89,5.99,9.94,15.40,6.39,5.33,11.93,22.35,17.37,12.68,19.43,18.26,7.03,12.92,11.83,6.74,8.64,14.26,18.43,11.94,6.39,9.97,4.65,6.06,11.99,5.99,8.60
2043,12.18,11.40,23.59,11.91,5.77,10.09,15.30,6.05,5.07,12.03,22.14,17.51,12.39,19.47,18.30,6.77,12.65,11.66,6.52,8.83,14.46,18.10,11.98,6.29,10.18,4.35,5.65,11.88,5.75,8.69
2044,12.15,11.16,23.52,11.64,5.64,9.95,15.22,5.92,4.55,12.15,22.19,17.21,12.58,19.29,18.28,6.47,12.39,11.27,5.86,8.39,14.30,18.41,11.37,6.11,10.08,4.14,5.69,11.80,5.28,8.10
2045,12.17,11.35,23.63,11.62,5.39,9.91,15.40,5.63,4.68,12.09,22.35,17.61,12.76,19.49,18.29,6.50,12.31,11.46,6.07,8.14,14.16,18.57,11.46,6.01,10.18,3.87,5.35,11.50,5.22,8.33
2046,12.43,11.67,23.80,12.03,5.90,10.23,15.70,5.89,5.11,12.15,22.58,17.88,13.03,19.78,18.49,6.77,12.50,11.97,6.49,8.54,14.37,18.84,11.82,6.55,10.46,4.27,5.65,11.70,5.56,8.69
2047,12.48,11.54,23.90,11.93,6.08,10.26,15.63,6.24,5.07,12.38,22.46,17.72,12.87,19.72,18.60,6.89,12.54,11.83,6.44,8.85,14.65,18.68,11.89,6.61,10.49,4.42,6.07,12.01,5.72,8.59
2048,12.38,11.43,23.63,12.02,6.15,10.31,15.66,6.24,5.10,12.11,22.49,17.69,12.88,19.60,18.42,6.97,12.60,11.72,6.50,8.68,14.42,18.46,11.89,6.54,10.47,4.59,6.03,11.86,5.82,8.74
2049,12.08,11.19,23.67,11.62,5.81,9.84,15.25,5.98,4.70,11.88,22.20,17.51,12.46,19.39,18.27,6.42,12.46,11.57,6.14,8.42,14.20,18.31,11.58,6.17,9.99,4.10,5.70,11.73,5.47,8.40
2050,12.20,11.34,23.60,11.69,5.95,9.86,15.44,6.24,4.74,11.93,22.40,17.62,12.71,19.51,18.40,6.57,12.64,11.47,6.11,8.43,14.15,18.46,11.75,6.44,10.14,4.25,6.03,11.53,5.57,8.32
2051,12.53,11.49,23.86,11.99,5.83,10.44,15.58,6.07,5.15,12.50,22.55,17.61,12.99,19.58,18.49,6.74,12.62,11.74,6.62,8.74,14.65,18.85,11.97,6.41,10.73,4.38,5.76,12.08,5.77,8.89
2052,12.15,11.49,23.57,11.69,5.88,9.87,15.34,5.87,4.92,11.90,22.31,17.60,12.59,19.31,18.22,6.78,12.47,11.74,6.27,8.15,14.02,18.52,11.39,6.39,10.04,4.21,5.72,11.61,5.38,8.40
2053,12.37,11.48,23.82,11.85,6.08,10.03,15.48,6.11,5.11,12.23,22.41,17.67,12.78,19.54,18.45,6.87,12.77,11.78,6.32,8.55,14.48,18.64,11.71,6.58,10.17,4.56,5.91,12.09,5.62,8.50
