Variable:,tas
2015,26.97
2016,26.97
2017,26.99
2018,27.02
2019,27.05
2020,27.13
2021,27.18
2022,27.20
2023,27.12
2024,27.25
2025,27.25
2026,27.26
2027,27.41
2028,27.35
2029,27.45
2030,27.38
2031,27.30
2032,27.42
2033,27.39
2034,27.44
2035,27.25
2036,27.48
2037,27.56
2038,27.51
2039,27.53
2040,27.57
2041,27.45
2042,27.56
2043,27.66
2044,27.46
2045,27.53
2046,27.76
2047,27.63
2048,27.61
2049,27.75
2050,27.64
2051,27.70
2052,27.64
2053,27.52
2054,27.54
2055,27.57
2056,27.65
2057,27.75
2058,27.86
2059,27.76
2060,27.76
2061,27.65
2062,27.75
2063,27.63
2064,27.66
2065,27.53
2066,27.65
2067,27.74
2068,27.76
2069,27.74
2070,27.78
2071,27.66
2072,27.60
2073,27.72
2074,27.91
2075,27.70
2076,27.75
2077,27.66
2078,27.79
2079,27.72
2080,27.68
2081,27.83
2082,27.78
2083,27.66
2084,27.65
2085,27.62
2086,27.60
2087,27.64
2088,27.63
2089,27.60
2090,27.65
2091,27.81
2092,27.74
2093,27.69
2094,27.63
2095,27.77
2096,27.53
2097,27.70
2098,27.60
2099,27.68
2100,27.60
