Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
2015,25.08,27.18,25.44,27.18,25.41,23.88,26.49,26.12
2016,25.17,27.26,25.56,27.32,25.50,24.00,26.61,26.26
2017,25.30,27.47,25.67,27.50,25.68,24.12,26.72,26.36
2018,25.27,27.39,25.59,27.44,25.61,24.07,26.63,26.29
2019,25.25,27.37,25.64,27.37,25.59,24.07,26.68,26.32
2020,25.24,27.39,25.64,27.38,25.61,24.08,26.64,26.30
2021,25.40,27.56,25.80,27.58,25.76,24.22,26.86,26.48
2022,25.37,27.54,25.77,27.54,25.75,24.20,26.79,26.44
2023,25.36,27.49,25.74,27.52,25.69,24.16,26.79,26.43
2024,25.52,27.62,25.87,27.63,25.85,24.32,26.89,26.54
2025,25.44,27.57,25.83,27.59,25.79,24.26,26.87,26.51
2026,25.52,27.71,25.92,27.74,25.90,24.34,26.97,26.61
2027,25.46,27.58,25.81,27.57,25.82,24.28,26.82,26.47
2028,25.53,27.65,25.89,27.67,25.87,24.34,26.91,26.57
2029,25.67,27.83,26.06,27.83,26.05,24.50,27.07,26.73
2030,25.50,27.65,25.92,27.65,25.87,24.34,26.92,26.57
2031,25.64,27.78,26.00,27.83,26.00,24.46,27.04,26.70
2032,25.72,27.87,26.12,27.89,26.09,24.55,27.13,26.78
2033,25.55,27.60,25.88,27.63,25.87,24.37,26.88,26.54
2034,25.54,27.66,25.87,27.73,25.87,24.33,26.92,26.56
2035,25.63,27.76,26.00,27.77,25.98,24.45,27.00,26.65
2036,25.59,27.72,25.96,27.83,25.91,24.39,27.04,26.68
2037,25.82,27.95,26.20,27.99,26.15,24.63,27.27,26.89
2038,25.82,27.94,26.20,27.93,26.16,24.63,27.22,26.86
2039,25.82,27.92,26.18,27.94,26.16,24.63,27.19,26.84
2040,25.79,27.95,26.14,27.96,26.16,24.59,27.16,26.83
2041,25.81,27.96,26.20,27.97,26.17,24.63,27.23,26.87
2042,25.85,27.96,26.20,28.02,26.17,24.65,27.28,26.89
2043,25.81,27.94,26.16,27.94,26.17,24.62,27.18,26.82
2044,25.85,27.97,26.27,28.05,26.20,24.71,27.31,26.94
2045,25.90,28.06,26.30,28.06,26.27,24.73,27.33,26.98
2046,25.92,28.04,26.28,28.03,26.25,24.73,27.33,26.95
2047,26.03,28.21,26.41,28.21,26.41,24.85,27.41,27.09
2048,26.18,28.35,26.56,28.40,26.54,24.99,27.65,27.24
2049,26.00,28.15,26.36,28.18,26.35,24.80,27.34,27.00
2050,25.98,28.08,26.31,28.09,26.31,24.77,27.33,26.98
2051,25.99,28.15,26.34,28.18,26.35,24.79,27.41,27.04
2052,26.22,28.36,26.60,28.36,26.59,25.04,27.61,27.25
2053,26.13,28.24,26.47,28.29,26.49,24.95,27.47,27.13
2054,26.08,28.22,26.39,28.24,26.44,24.87,27.43,27.07
2055,26.17,28.34,26.45,28.37,26.53,24.93,27.48,27.14
2056,26.16,28.30,26.55,28.36,26.50,24.98,27.58,27.21
2057,26.41,28.55,26.69,28.59,26.76,25.19,27.68,27.36
2058,26.25,28.45,26.71,28.44,26.64,25.09,27.69,27.38
2059,26.39,28.58,26.77,28.64,26.77,25.21,27.81,27.45
2060,26.37,28.49,26.75,28.48,26.73,25.20,27.69,27.37
2061,26.21,28.31,26.55,28.31,26.55,25.03,27.55,27.23
2062,26.31,28.52,26.68,28.45,26.72,25.13,27.66,27.31
2063,26.34,28.51,26.69,28.55,26.71,25.14,27.71,27.37
2064,26.28,28.35,26.65,28.43,26.58,25.08,27.69,27.33
2065,26.54,28.72,26.90,28.59,26.95,25.37,27.87,27.54
