Variable:,tasmin
,Tonga,"Administrative unit not available"
2015,23.05,22.99
2016,22.90,22.89
2017,23.00,22.98
2018,22.88,22.87
2019,22.92,22.90
2020,22.96,22.94
2021,23.05,23.03
2022,23.06,23.04
2023,23.09,23.03
2024,23.17,23.17
2025,23.15,23.13
2026,23.17,23.11
2027,23.27,23.22
2028,23.34,23.30
2029,23.23,23.21
2030,23.26,23.23
2031,23.29,23.26
2032,23.25,23.24
2033,23.31,23.25
2034,23.28,23.24
2035,23.37,23.36
2036,23.32,23.28
2037,23.40,23.36
2038,23.23,23.21
2039,23.48,23.43
2040,23.45,23.40
2041,23.33,23.32
2042,23.35,23.32
2043,23.40,23.32
2044,23.37,23.34
2045,23.38,23.38
2046,23.32,23.32
2047,23.43,23.37
2048,23.46,23.43
2049,23.41,23.41
2050,23.34,23.33
2051,23.46,23.46
2052,23.62,23.60
2053,23.48,23.45
2054,23.32,23.29
2055,23.42,23.39
2056,23.38,23.37
2057,23.56,23.52
2058,23.44,23.42
2059,23.34,23.37
2060,23.59,23.57
2061,23.53,23.52
2062,23.43,23.42
2063,23.38,23.38
2064,23.55,23.53
2065,23.44,23.43
2066,23.44,23.41
2067,23.59,23.54
2068,23.52,23.50
2069,23.63,23.64
2070,23.56,23.52
2071,23.62,23.61
2072,23.45,23.42
2073,23.34,23.34
2074,23.56,23.53
2075,23.44,23.44
2076,23.49,23.45
2077,23.41,23.40
2078,23.43,23.42
2079,23.52,23.50
2080,23.50,23.46
2081,23.46,23.43
2082,23.43,23.45
2083,23.47,23.43
2084,23.56,23.53
2085,23.38,23.39
2086,23.43,23.37
2087,23.46,23.46
2088,23.64,23.61
2089,23.58,23.56
2090,23.41,23.40
2091,23.51,23.50
2092,23.55,23.50
2093,23.41,23.39
2094,23.56,23.53
2095,23.39,23.39
2096,23.48,23.46
2097,23.50,23.51
2098,23.44,23.45
2099,23.53,23.51
2100,23.50,23.55
