Variable:,tasmin
,Fiji,Central,Eastern,Northern,Western
2015,21.89,22.03,23.13,22.15,22.70
2016,21.67,21.77,22.91,21.97,22.45
2017,21.55,21.66,22.77,21.79,22.35
2018,22.08,22.19,23.30,22.35,22.83
2019,21.85,21.94,23.06,22.13,22.59
2020,21.87,22.00,23.05,22.09,22.65
2021,21.85,21.93,23.02,22.14,22.63
2022,22.00,22.17,23.27,22.25,22.84
2023,22.15,22.23,23.31,22.46,22.90
2024,21.99,22.11,23.23,22.26,22.77
2025,21.88,21.99,23.09,22.14,22.65
2026,22.18,22.26,23.38,22.49,22.91
2027,22.09,22.19,23.27,22.38,22.85
2028,22.11,22.19,23.29,22.38,22.89
2029,22.08,22.15,23.20,22.33,22.78
2030,21.87,21.99,23.09,22.15,22.66
2031,22.07,22.21,23.29,22.35,22.86
2032,22.11,22.21,23.31,22.38,22.86
2033,22.05,22.13,23.24,22.35,22.80
2034,22.04,22.19,23.29,22.29,22.84
2035,22.10,22.18,23.25,22.44,22.84
2036,22.19,22.33,23.40,22.44,23.00
2037,22.23,22.30,23.34,22.50,23.02
2038,22.16,22.27,23.31,22.42,22.95
2039,21.98,22.03,23.12,22.25,22.73
2040,22.20,22.29,23.38,22.49,22.98
2041,22.46,22.57,23.65,22.76,23.21
2042,22.37,22.39,23.48,22.69,23.07
2043,22.29,22.44,23.52,22.56,23.13
2044,22.09,22.16,23.25,22.39,22.85
2045,22.27,22.36,23.43,22.55,23.03
2046,22.20,22.33,23.42,22.43,23.06
2047,22.18,22.32,23.42,22.43,22.98
2048,22.23,22.38,23.44,22.48,23.06
2049,22.10,22.27,23.36,22.34,22.92
2050,22.24,22.40,23.52,22.49,23.06
2051,22.21,22.37,23.42,22.44,23.01
2052,22.10,22.16,23.30,22.44,22.83
2053,22.12,22.14,23.23,22.41,22.74
2054,22.23,22.35,23.45,22.49,23.01
2055,22.30,22.40,23.44,22.54,23.05
2056,22.17,22.34,23.40,22.39,23.02
2057,22.30,22.37,23.46,22.60,23.05
2058,22.15,22.24,23.37,22.44,22.90
2059,22.24,22.38,23.49,22.50,23.04
2060,22.22,22.36,23.47,22.48,23.02
2061,22.20,22.32,23.37,22.45,22.97
2062,22.19,22.27,23.42,22.51,22.91
2063,22.34,22.47,23.54,22.59,23.13
2064,22.29,22.43,23.48,22.53,23.06
2065,22.30,22.47,23.55,22.53,23.13
2066,22.20,22.30,23.38,22.47,22.98
2067,22.29,22.34,23.38,22.55,22.99
2068,22.33,22.47,23.60,22.59,23.12
2069,22.33,22.45,23.55,22.60,23.09
2070,22.15,22.29,23.37,22.42,22.95
2071,22.28,22.45,23.55,22.56,23.10
2072,22.18,22.27,23.36,22.43,22.98
2073,22.09,22.19,23.32,22.38,22.84
2074,21.94,22.00,23.13,22.26,22.65
2075,22.11,22.23,23.27,22.32,22.88
2076,22.18,22.28,23.40,22.48,22.95
2077,22.15,22.23,23.34,22.46,22.92
2078,21.99,22.09,23.22,22.29,22.74
2079,22.18,22.28,23.39,22.48,22.93
2080,22.11,22.24,23.34,22.37,22.87
2081,22.38,22.46,23.54,22.67,23.13
2082,22.18,22.29,23.39,22.49,22.96
2083,21.80,21.91,23.02,22.08,22.58
2084,22.11,22.19,23.30,22.40,22.85
2085,22.08,22.20,23.30,22.34,22.87
2086,22.02,22.11,23.22,22.32,22.76
2087,22.16,22.26,23.33,22.42,22.89
2088,22.01,22.14,23.19,22.23,22.81
2089,22.02,22.14,23.23,22.30,22.82
2090,21.95,22.02,23.11,22.25,22.70
2091,22.13,22.23,23.30,22.38,22.88
2092,22.09,22.25,23.38,22.36,22.89
2093,22.10,22.23,23.33,22.36,22.91
2094,21.98,22.08,23.20,22.30,22.75
2095,22.03,22.08,23.19,22.32,22.77
2096,22.16,22.30,23.41,22.42,22.95
2097,22.14,22.22,23.27,22.38,22.84
2098,21.97,22.07,23.13,22.24,22.74
2099,21.92,22.06,23.18,22.18,22.72
2100,21.86,21.98,23.09,22.14,22.65
