Variable:,tasmin
,Haiti,Artibonite,Centre,Nord,"Nord Est","Nord Ouest",Ouest,Sud,"Sud Est","Grande Anse",Nippes
2015,21.87,22.45,21.62,22.30,20.26,22.91,23.17,23.79,23.00,24.79,23.39
2016,21.87,22.46,21.62,22.30,20.21,22.92,23.22,23.81,23.04,24.80,23.42
2017,21.82,22.42,21.58,22.27,20.18,22.89,23.17,23.75,23.00,24.74,23.35
2018,21.97,22.57,21.73,22.42,20.35,23.00,23.30,23.87,23.13,24.84,23.48
2019,22.03,22.64,21.79,22.49,20.39,23.09,23.38,23.95,23.20,24.92,23.56
2020,22.06,22.65,21.80,22.50,20.42,23.13,23.36,23.93,23.20,24.92,23.53
2021,22.06,22.68,21.82,22.53,20.46,23.11,23.36,23.94,23.19,24.93,23.54
2022,22.10,22.68,21.85,22.53,20.47,23.14,23.44,24.03,23.26,25.02,23.63
2023,22.11,22.71,21.87,22.56,20.47,23.16,23.45,23.99,23.29,24.97,23.60
2024,22.18,22.81,21.94,22.66,20.59,23.25,23.49,24.07,23.32,25.06,23.68
2025,22.15,22.75,21.90,22.60,20.53,23.18,23.46,24.02,23.29,24.99,23.63
2026,22.15,22.75,21.91,22.60,20.53,23.19,23.47,24.07,23.30,25.05,23.67
2027,22.10,22.70,21.86,22.54,20.45,23.15,23.48,24.06,23.30,25.03,23.67
2028,22.21,22.80,21.95,22.65,20.58,23.26,23.50,24.08,23.33,25.07,23.68
2029,22.19,22.79,21.95,22.63,20.54,23.24,23.54,24.11,23.37,25.09,23.71
2030,22.23,22.83,21.97,22.68,20.58,23.29,23.55,24.15,23.37,25.14,23.75
2031,22.26,22.92,22.02,22.78,20.66,23.32,23.55,24.10,23.38,25.09,23.70
2032,22.19,22.76,21.95,22.61,20.57,23.20,23.51,24.09,23.34,25.06,23.70
2033,22.32,22.96,22.08,22.82,20.70,23.38,23.62,24.16,23.46,25.15,23.77
2034,22.36,22.99,22.11,22.85,20.81,23.40,23.59,24.18,23.42,25.16,23.78
2035,22.34,22.97,22.10,22.83,20.74,23.41,23.64,24.20,23.46,25.19,23.81
2036,22.49,23.12,22.24,22.98,20.90,23.55,23.76,24.34,23.59,25.31,23.95
2037,22.49,23.09,22.24,22.94,20.87,23.53,23.79,24.36,23.62,25.34,23.96
2038,22.41,23.03,22.17,22.88,20.80,23.49,23.72,24.28,23.55,25.26,23.88
2039,22.44,23.11,22.22,22.98,20.87,23.49,23.72,24.24,23.55,25.23,23.84
2040,22.35,22.95,22.10,22.80,20.74,23.40,23.65,24.22,23.48,25.21,23.83
2041,22.37,22.96,22.13,22.81,20.75,23.39,23.70,24.26,23.53,25.24,23.86
2042,22.41,23.01,22.16,22.86,20.78,23.47,23.74,24.34,23.56,25.33,23.94
2043,22.43,23.01,22.19,22.86,20.79,23.47,23.77,24.35,23.60,25.34,23.96
2044,22.50,23.12,22.23,22.99,20.96,23.52,23.69,24.27,23.52,25.30,23.86
2045,22.53,23.16,22.30,23.01,20.94,23.59,23.83,24.38,23.66,25.39,23.98
2046,22.60,23.20,22.35,23.04,20.94,23.66,23.96,24.52,23.78,25.50,24.13
2047,22.53,23.12,22.28,22.98,20.98,23.55,23.77,24.34,23.61,25.32,23.94
2048,22.61,23.17,22.37,23.02,21.05,23.61,23.87,24.45,23.71,25.44,24.05
