Variable:,tas
,"San Marino","Administrative unit not available"
2015,12.71,14.45
2016,12.38,13.99
2017,12.70,14.33
2018,12.59,14.24
2019,12.35,14.07
2020,12.46,14.31
2021,12.49,14.31
2022,12.53,14.31
2023,12.89,14.51
2024,12.82,14.47
2025,13.09,14.83
2026,12.90,14.63
2027,12.73,14.38
2028,12.90,14.53
2029,12.99,14.64
2030,13.13,14.66
2031,13.18,14.82
2032,12.73,14.48
2033,13.10,14.55
2034,13.26,14.85
2035,12.95,14.72
2036,13.22,14.86
2037,13.18,14.68
2038,13.02,14.74
2039,13.30,14.86
2040,13.17,14.90
2041,13.11,14.82
2042,13.10,14.78
2043,13.40,15.11
2044,13.30,15.00
2045,13.31,14.94
2046,13.44,15.12
2047,13.17,14.94
2048,13.46,15.04
2049,13.53,15.13
2050,13.45,15.10
2051,13.50,15.14
2052,13.65,15.26
2053,13.61,15.25
2054,13.25,14.92
2055,13.24,14.82
2056,13.41,15.06
2057,13.42,15.24
2058,13.53,15.21
2059,13.60,15.22
2060,13.57,15.28
2061,13.78,15.48
2062,13.22,15.00
2063,13.53,15.15
2064,13.64,15.35
2065,13.40,15.07
2066,13.49,15.17
2067,13.66,15.28
2068,13.59,15.22
2069,13.88,15.46
2070,13.49,15.17
2071,13.54,15.08
2072,13.45,15.03
2073,13.55,15.16
2074,13.25,14.95
2075,13.68,15.29
2076,13.55,15.13
2077,13.45,15.28
2078,13.40,14.94
2079,13.63,15.27
2080,13.58,15.11
2081,13.46,15.05
2082,13.68,15.22
2083,13.45,15.07
2084,13.50,15.25
2085,13.79,15.32
2086,13.78,15.51
2087,13.27,14.93
2088,13.46,15.06
2089,13.54,15.31
2090,13.79,15.56
2091,13.48,15.15
2092,13.53,15.11
2093,13.65,15.33
2094,13.58,15.18
2095,13.44,15.15
2096,13.32,15.04
2097,13.27,14.90
2098,13.67,15.23
2099,13.47,15.18
2100,13.30,15.01
