Variable:,tasmax
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
2015,34.79,34.83,33.15,31.67,35.26,30.33,29.76
2016,34.78,34.76,33.05,31.57,35.22,30.21,29.64
2017,34.84,34.80,33.14,31.69,35.24,30.37,29.81
2018,34.76,34.74,33.03,31.59,35.23,30.28,29.73
2019,35.00,35.07,33.30,31.80,35.54,30.44,29.86
2020,34.87,34.87,33.21,31.73,35.30,30.40,29.83
2021,34.97,35.00,33.29,31.82,35.45,30.48,29.92
2022,35.05,35.04,33.38,31.94,35.51,30.64,30.09
2023,35.09,35.11,33.42,31.93,35.56,30.58,30.01
2024,35.15,35.16,33.47,32.02,35.63,30.71,30.15
2025,35.09,35.12,33.43,31.96,35.55,30.62,30.05
2026,35.17,35.18,33.47,31.99,35.64,30.64,30.07
2027,35.22,35.22,33.48,32.03,35.72,30.72,30.16
2028,35.14,35.08,33.42,31.99,35.57,30.69,30.14
2029,35.26,35.25,33.58,32.11,35.68,30.77,30.20
2030,35.05,34.99,33.36,31.91,35.42,30.59,30.03
2031,35.37,35.37,33.66,32.20,35.85,30.87,30.31
2032,35.19,35.16,33.49,32.07,35.61,30.78,30.23
2033,35.35,35.27,33.61,32.12,35.72,30.77,30.20
2034,35.25,35.18,33.55,32.15,35.64,30.88,30.34
2035,35.32,35.28,33.62,32.18,35.74,30.87,30.32
2036,35.40,35.42,33.67,32.17,35.91,30.81,30.24
2037,35.59,35.62,33.82,32.32,36.14,30.96,30.38
2038,35.73,35.73,33.99,32.49,36.21,31.12,30.54
2039,35.53,35.54,33.75,32.27,36.07,30.94,30.37
2040,35.64,35.63,33.87,32.43,36.14,31.12,30.57
2041,35.61,35.60,33.87,32.39,36.09,31.04,30.47
2042,35.59,35.51,33.85,32.39,35.96,31.07,30.51
2043,35.55,35.50,33.89,32.47,35.93,31.18,30.64
2044,35.67,35.68,33.95,32.47,36.17,31.11,30.54
2045,35.57,35.56,33.82,32.35,36.06,31.01,30.44
2046,35.78,35.78,33.98,32.48,36.32,31.12,30.55
2047,35.93,35.99,34.18,32.64,36.49,31.25,30.66
2048,36.03,35.99,34.28,32.77,36.43,31.39,30.81
2049,35.88,35.85,34.16,32.69,36.32,31.35,30.78
2050,35.66,35.65,33.99,32.56,36.10,31.25,30.70
2051,35.72,35.68,34.02,32.61,36.17,31.33,30.79
2052,36.00,36.00,34.20,32.70,36.51,31.34,30.77
2053,35.98,35.92,34.26,32.80,36.40,31.47,30.91
2054,35.99,35.95,34.30,32.80,36.39,31.44,30.86
2055,36.19,36.19,34.39,32.84,36.72,31.43,30.84
2056,36.12,36.13,34.40,32.95,36.60,31.64,31.08
2057,36.24,36.29,34.40,32.88,36.83,31.49,30.90
2058,36.28,36.22,34.43,32.91,36.74,31.52,30.94
2059,36.17,36.12,34.35,32.87,36.64,31.51,30.94
2060,36.33,36.28,34.53,33.04,36.80,31.69,31.12
2061,36.10,36.10,34.36,32.88,36.57,31.54,30.97
2062,36.20,36.11,34.44,33.01,36.58,31.71,31.16
2063,36.31,36.25,34.50,33.01,36.73,31.66,31.09
2064,36.29,36.33,34.51,32.99,36.84,31.60,31.02
2065,36.32,36.23,34.59,33.13,36.67,31.81,31.25
2066,36.25,36.25,34.44,32.95,36.79,31.59,31.02
2067,36.41,36.43,34.64,33.16,36.92,31.81,31.24
2068,36.44,36.42,34.66,33.16,36.94,31.80,31.22
2069,36.44,36.46,34.63,33.09,36.99,31.70,31.11
2070,36.47,36.46,34.66,33.20,37.00,31.87,31.31
2071,36.36,36.37,34.55,33.05,36.93,31.69,31.11
2072,36.48,36.48,34.72,33.23,36.98,31.87,31.30
2073,36.83,36.77,34.94,33.43,37.36,32.05,31.47
2074,36.60,36.57,34.86,33.32,37.03,31.92,31.33
2075,36.38,36.35,34.62,33.12,36.82,31.75,31.17
2076,36.55,36.51,34.73,33.24,37.04,31.89,31.32
2077,36.68,36.73,34.87,33.30,37.24,31.86,31.26
2078,36.75,36.68,34.92,33.41,37.20,32.03,31.45
2079,36.49,36.43,34.69,33.25,36.97,31.93,31.38
2080,36.62,36.67,34.88,33.33,37.16,31.92,31.32
2081,36.59,36.63,34.77,33.29,37.19,31.93,31.36
2082,36.72,36.69,34.92,33.34,37.18,31.91,31.30
2083,36.79,36.89,35.01,33.47,37.42,32.06,31.47
2084,36.65,36.71,34.91,33.39,37.22,32.01,31.43
2085,36.86,36.85,35.09,33.57,37.34,32.18,31.59
2086,36.69,36.69,34.85,33.31,37.23,31.92,31.33
2087,36.73,36.77,34.97,33.45,37.28,32.08,31.50
2088,36.70,36.72,34.96,33.46,37.22,32.10,31.53
2089,36.63,36.72,34.89,33.35,37.21,31.95,31.36
2090,36.76,36.71,34.98,33.46,37.21,32.09,31.51
2091,36.82,36.84,35.04,33.56,37.37,32.20,31.63
2092,36.82,36.79,35.03,33.51,37.27,32.13,31.55
2093,36.86,36.84,35.02,33.51,37.37,32.14,31.56
2094,36.89,36.89,35.01,33.43,37.42,31.99,31.38
2095,37.02,37.05,35.22,33.68,37.59,32.29,31.70
2096,36.82,36.77,35.03,33.45,37.24,32.02,31.41
2097,36.56,36.52,34.72,33.20,37.08,31.82,31.24
2098,36.87,36.84,35.03,33.55,37.39,32.22,31.65
2099,36.90,36.90,35.07,33.51,37.43,32.10,31.50
2100,36.70,36.63,34.87,33.38,37.18,32.03,31.46
