Variable:,tasmax
,Niue,"Administrative unit not available"
2015,27.71,26.92
2016,27.57,26.75
2017,27.73,26.94
2018,27.58,26.79
2019,27.69,26.93
2020,27.82,26.98
2021,27.77,26.99
2022,27.76,26.97
2023,27.79,26.99
2024,27.82,27.02
2025,27.93,27.13
2026,27.98,27.19
2027,27.88,27.09
2028,27.74,26.97
2029,27.83,27.00
2030,27.96,27.15
2031,27.87,27.04
2032,27.79,27.03
2033,28.04,27.28
2034,27.94,27.14
2035,28.08,27.30
2036,27.99,27.24
2037,28.07,27.24
2038,28.15,27.36
2039,28.23,27.43
2040,28.01,27.22
2041,28.13,27.34
2042,28.06,27.27
2043,28.30,27.47
2044,28.23,27.43
2045,28.31,27.51
2046,28.12,27.30
2047,28.19,27.39
2048,28.16,27.34
2049,28.24,27.46
2050,28.23,27.43
2051,28.32,27.54
2052,28.33,27.53
2053,28.35,27.56
2054,28.37,27.58
2055,28.43,27.59
2056,28.35,27.57
2057,28.39,27.59
2058,28.51,27.73
2059,28.52,27.75
2060,28.43,27.64
2061,28.52,27.71
2062,28.43,27.64
2063,28.49,27.75
2064,28.44,27.63
2065,28.51,27.74
2066,28.49,27.68
2067,28.53,27.75
2068,28.41,27.62
2069,28.62,27.92
2070,28.64,27.85
2071,28.63,27.86
2072,28.58,27.77
2073,28.51,27.74
2074,28.62,27.83
2075,28.73,27.97
2076,28.79,27.97
2077,28.68,27.85
2078,28.91,28.13
2079,28.65,27.83
2080,28.62,27.80
2081,28.65,27.83
2082,28.69,27.90
2083,28.67,27.88
2084,28.76,27.99
2085,28.80,28.01
2086,28.78,27.99
2087,28.88,28.08
2088,28.70,27.89
2089,28.83,28.07
2090,28.64,27.80
2091,28.84,28.03
2092,28.73,27.96
2093,28.87,28.08
2094,29.00,28.18
2095,28.90,28.16
2096,28.85,28.08
2097,28.69,27.95
2098,28.77,27.93
2099,28.97,28.15
2100,29.00,28.17
