Variable:,tas
,"Wallis and Futuna","Administrative unit not available"
2015,27.28,26.94
2016,27.28,26.96
2017,27.30,26.99
2018,27.31,26.96
2019,27.42,27.11
2020,27.41,27.12
2021,27.42,27.12
2022,27.42,27.10
2023,27.43,27.14
2024,27.53,27.20
2025,27.55,27.29
2026,27.54,27.23
2027,27.51,27.23
2028,27.52,27.20
2029,27.61,27.28
2030,27.56,27.24
2031,27.66,27.32
2032,27.62,27.29
2033,27.62,27.34
2034,27.56,27.29
2035,27.74,27.42
2036,27.58,27.34
2037,27.70,27.38
2038,27.74,27.39
2039,27.78,27.52
2040,27.72,27.40
2041,27.75,27.43
2042,27.79,27.45
2043,27.73,27.40
2044,27.78,27.52
2045,27.77,27.47
2046,27.86,27.42
2047,27.84,27.54
2048,27.82,27.49
2049,27.98,27.64
2050,27.78,27.47
2051,27.83,27.52
2052,27.87,27.57
2053,27.78,27.49
2054,27.78,27.46
2055,27.78,27.47
2056,27.81,27.45
2057,27.86,27.56
2058,27.85,27.50
2059,27.85,27.53
2060,27.95,27.63
2061,27.87,27.58
2062,27.85,27.50
2063,27.80,27.48
2064,27.93,27.62
2065,27.80,27.51
2066,27.82,27.48
2067,27.89,27.62
2068,27.86,27.55
2069,27.95,27.62
2070,27.90,27.57
2071,27.99,27.62
2072,27.91,27.63
2073,27.94,27.56
2074,27.85,27.56
2075,27.92,27.53
2076,28.00,27.68
2077,27.84,27.52
2078,27.79,27.45
2079,27.91,27.55
2080,27.89,27.59
2081,27.88,27.57
2082,27.90,27.57
2083,27.86,27.55
2084,27.82,27.50
2085,27.81,27.50
2086,27.81,27.48
2087,27.81,27.47
2088,27.89,27.59
2089,27.90,27.63
2090,27.84,27.52
2091,27.84,27.53
2092,27.87,27.52
2093,27.82,27.51
2094,27.86,27.58
2095,27.89,27.53
2096,27.77,27.50
2097,27.77,27.46
2098,27.77,27.46
2099,27.88,27.55
2100,27.86,27.55
