Variable:,tas
2015,22.79
2016,22.86
2017,22.88
2018,23.02
2019,22.91
2020,23.04
2021,22.99
2022,23.02
2023,23.05
2024,23.18
2025,23.19
2026,23.10
2027,23.07
2028,23.21
2029,23.13
2030,23.20
2031,23.16
2032,23.17
2033,23.17
2034,23.20
2035,23.28
2036,23.33
2037,23.33
2038,23.27
2039,23.23
2040,23.27
2041,23.19
2042,23.39
2043,23.37
2044,23.27
2045,23.33
2046,23.34
2047,23.33
2048,23.27
2049,23.43
2050,23.46
2051,23.45
2052,23.42
2053,23.27
2054,23.30
2055,23.34
2056,23.47
2057,23.37
2058,23.49
2059,23.45
2060,23.49
2061,23.39
2062,23.43
2063,23.35
2064,23.33
2065,23.26
2066,23.28
2067,23.44
2068,23.45
2069,23.42
2070,23.51
2071,23.44
2072,23.33
2073,23.47
2074,23.50
2075,23.41
2076,23.49
2077,23.44
2078,23.35
2079,23.53
2080,23.47
2081,23.41
2082,23.53
2083,23.52
2084,23.39
2085,23.39
2086,23.48
2087,23.54
2088,23.42
2089,23.24
2090,23.40
2091,23.36
2092,23.39
2093,23.34
2094,23.37
2095,23.49
2096,23.40
2097,23.48
2098,23.37
2099,23.39
2100,23.40
