Variable:,tasmin
,"British Indian Ocean Territory","Administrative unit not available"
2015,24.95,24.68
2016,24.90,24.68
2017,24.86,24.60
2018,25.05,24.82
2019,25.04,24.78
2020,25.10,24.83
2021,25.07,24.81
2022,25.08,24.83
2023,25.10,24.85
2024,25.13,24.89
2025,25.19,24.90
2026,25.24,24.99
2027,25.19,24.93
2028,25.16,24.94
2029,25.23,24.98
2030,25.19,24.92
2031,25.25,24.99
2032,25.28,25.02
2033,25.35,25.09
2034,25.28,25.03
2035,25.32,25.07
2036,25.44,25.20
2037,25.38,25.14
2038,25.34,25.08
2039,25.39,25.17
2040,25.35,25.05
2041,25.42,25.14
2042,25.43,25.17
2043,25.46,25.22
2044,25.48,25.21
2045,25.40,25.14
2046,25.56,25.30
2047,25.43,25.20
2048,25.44,25.15
2049,25.63,25.34
2050,25.60,25.33
2051,25.60,25.31
2052,25.43,25.18
2053,25.60,25.34
2054,25.52,25.26
2055,25.56,25.32
2056,25.53,25.32
2057,25.55,25.26
2058,25.53,25.25
2059,25.47,25.21
2060,25.64,25.38
2061,25.56,25.30
2062,25.59,25.36
2063,25.44,25.16
2064,25.57,25.27
2065,25.44,25.22
2066,25.68,25.45
2067,25.63,25.38
2068,25.62,25.34
2069,25.58,25.34
2070,25.69,25.40
2071,25.62,25.37
2072,25.55,25.26
2073,25.60,25.34
2074,25.56,25.36
2075,25.57,25.32
2076,25.71,25.45
2077,25.62,25.36
2078,25.77,25.48
2079,25.69,25.43
2080,25.63,25.33
2081,25.59,25.34
2082,25.61,25.35
2083,25.58,25.29
2084,25.66,25.33
2085,25.45,25.19
2086,25.67,25.39
2087,25.51,25.26
2088,25.61,25.35
2089,25.46,25.20
2090,25.43,25.16
2091,25.55,25.25
2092,25.57,25.35
2093,25.58,25.31
2094,25.56,25.37
2095,25.57,25.30
2096,25.45,25.18
2097,25.67,25.35
2098,25.50,25.23
2099,25.53,25.30
2100,25.57,25.34
