Variable:,tas
,Nauru,"Administrative unit not available"
2015,27.63,27.53
2016,27.80,27.71
2017,27.92,27.79
2018,27.74,27.68
2019,27.67,27.59
2020,27.73,27.64
2021,27.95,27.86
2022,27.90,27.81
2023,27.96,27.90
2024,27.95,27.86
2025,27.89,27.79
2026,28.04,27.99
2027,28.12,28.01
2028,28.09,27.98
2029,28.09,27.97
2030,28.07,27.99
2031,28.22,28.13
2032,28.16,28.07
2033,28.27,28.12
2034,28.15,28.05
2035,28.07,27.98
2036,28.19,28.07
2037,28.42,28.29
2038,28.38,28.29
2039,28.27,28.17
2040,28.16,28.07
2041,28.34,28.25
2042,28.37,28.27
2043,28.32,28.25
2044,28.24,28.14
2045,28.34,28.26
2046,28.42,28.32
2047,28.47,28.38
2048,28.64,28.58
2049,28.57,28.51
2050,28.44,28.33
2051,28.65,28.57
2052,28.64,28.53
2053,28.61,28.51
2054,28.69,28.59
2055,28.68,28.60
2056,28.75,28.63
2057,28.85,28.75
2058,28.76,28.68
2059,28.80,28.68
2060,28.79,28.71
2061,28.74,28.70
2062,28.69,28.59
2063,28.86,28.76
2064,28.78,28.68
2065,28.78,28.66
2066,28.88,28.75
2067,28.79,28.63
2068,28.93,28.83
2069,28.90,28.81
2070,28.85,28.76
2071,28.87,28.79
2072,28.90,28.80
2073,29.15,29.03
2074,28.90,28.86
2075,28.92,28.81
2076,28.92,28.84
2077,29.12,29.05
2078,29.14,29.07
2079,29.01,28.89
2080,29.03,28.94
2081,29.06,28.98
2082,29.05,28.96
2083,29.13,29.00
2084,29.20,29.14
2085,29.12,29.02
2086,29.26,29.18
2087,29.15,29.02
2088,29.00,28.91
2089,29.26,29.14
2090,29.17,29.07
2091,29.25,29.18
2092,29.16,29.06
2093,29.12,29.02
2094,29.15,29.00
2095,29.25,29.15
2096,29.19,29.11
2097,29.26,29.17
2098,29.19,29.10
2099,29.30,29.21
2100,29.34,29.21
