Variable:,tasmin
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
2015,20.22,22.41,24.83,20.04,19.49,23.17,20.21,21.20,18.85
2016,20.26,22.40,24.72,20.07,19.52,23.12,20.29,21.21,18.87
2017,20.35,22.52,24.90,20.20,19.63,23.27,20.35,21.35,18.92
2018,20.42,22.63,24.90,20.25,19.66,23.36,20.45,21.44,19.05
2019,20.60,22.71,24.99,20.44,19.89,23.42,20.58,21.55,19.12
2020,20.62,22.67,24.97,20.45,19.89,23.42,20.62,21.56,19.19
2021,20.55,22.68,25.02,20.37,19.84,23.42,20.53,21.50,19.16
2022,20.53,22.65,24.93,20.34,19.82,23.38,20.43,21.44,19.12
2023,20.55,22.64,24.99,20.41,19.85,23.40,20.51,21.54,19.17
2024,20.67,22.75,25.10,20.54,19.98,23.54,20.58,21.65,19.35
2025,20.76,22.81,25.08,20.59,20.04,23.54,20.82,21.67,19.35
2026,20.74,22.84,25.19,20.58,20.03,23.60,20.70,21.69,19.42
2027,20.65,22.89,25.20,20.43,19.85,23.61,20.69,21.66,19.28
2028,20.89,22.99,25.27,20.73,20.19,23.73,20.86,21.84,19.45
2029,20.85,22.99,25.28,20.70,20.12,23.75,20.86,21.86,19.44
2030,20.72,22.83,25.16,20.55,20.00,23.62,20.64,21.72,19.40
2031,20.92,22.90,25.30,20.76,20.27,23.70,20.84,21.85,19.58
2032,20.87,22.95,25.28,20.71,20.19,23.71,20.79,21.84,19.49
2033,20.91,22.98,25.30,20.77,20.23,23.77,20.84,21.89,19.55
2034,20.92,22.96,25.32,20.76,20.25,23.73,20.87,21.87,19.53
2035,20.89,22.95,25.23,20.72,20.18,23.68,20.84,21.81,19.46
2036,21.00,23.12,25.36,20.82,20.29,23.82,20.97,21.91,19.57
2037,20.98,23.05,25.29,20.86,20.26,23.77,20.99,21.94,19.58
2038,21.02,23.13,25.44,20.86,20.31,23.88,21.00,21.97,19.63
2039,21.04,23.23,25.49,20.85,20.28,23.94,21.10,22.04,19.52
2040,20.87,22.94,25.29,20.70,20.16,23.72,20.83,21.84,19.55
2041,20.88,22.95,25.27,20.71,20.18,23.68,20.83,21.80,19.62
2042,21.03,23.14,25.50,20.90,20.29,23.91,21.05,22.05,19.68
2043,21.08,23.20,25.51,20.87,20.38,23.98,20.98,22.05,19.79
2044,21.12,23.20,25.49,20.93,20.39,23.91,21.14,22.08,19.67
2045,21.03,23.17,25.52,20.88,20.29,23.94,21.04,22.06,19.59
2046,21.09,23.10,25.45,20.99,20.41,23.87,21.03,22.01,19.79
2047,21.04,23.18,25.45,20.86,20.32,23.91,21.02,22.01,19.62
2048,21.02,23.18,25.51,20.85,20.28,23.93,20.99,21.97,19.62
2049,21.05,23.17,25.59,20.96,20.35,23.99,20.98,22.10,19.71
2050,21.30,23.42,25.72,21.15,20.59,24.14,21.30,22.28,19.86
2051,21.15,23.32,25.62,20.96,20.43,24.09,21.06,22.16,19.85
2052,21.08,23.13,25.43,20.93,20.41,23.86,20.99,22.01,19.64
2053,21.01,23.10,25.43,20.92,20.31,23.92,21.00,22.06,19.61
2054,21.03,23.07,25.36,20.84,20.34,23.83,20.96,21.94,19.58
2055,21.04,23.12,25.54,20.89,20.34,23.88,21.02,21.99,19.65
2056,21.16,23.22,25.51,21.01,20.46,23.96,21.10,22.11,19.69
2057,21.06,23.12,25.54,20.93,20.41,23.90,20.95,21.99,19.67
2058,21.11,23.25,25.52,20.94,20.40,23.98,21.10,22.10,19.76
2059,21.14,23.29,25.71,21.00,20.41,24.04,21.17,22.13,19.67
2060,21.22,23.34,25.67,21.10,20.51,24.07,21.20,22.18,19.85
2061,21.18,23.20,25.59,21.02,20.48,23.98,21.15,22.13,19.78
2062,21.10,23.25,25.57,20.97,20.40,23.98,21.07,22.08,19.70
2063,21.15,23.26,25.57,21.03,20.41,24.04,21.11,22.16,19.74
2064,21.19,23.29,25.56,21.06,20.47,24.04,21.18,22.23,19.89
2065,21.06,23.29,25.64,20.94,20.35,24.02,20.96,22.04,19.69
2066,21.20,23.31,25.60,21.04,20.50,24.04,21.12,22.12,19.91
2067,21.33,23.44,25.60,21.18,20.59,24.10,21.34,22.28,19.99
2068,21.18,23.32,25.56,20.99,20.47,24.04,21.04,22.14,19.83
2069,21.14,23.21,25.55,21.00,20.47,23.97,21.04,22.08,19.86
2070,21.25,23.25,25.52,21.09,20.53,24.00,21.23,22.22,19.93
2071,21.15,23.35,25.77,20.97,20.41,24.11,21.11,22.12,19.67
2072,21.02,23.21,25.54,20.86,20.29,23.93,20.98,21.98,19.58
2073,21.24,23.32,25.53,21.06,20.52,24.03,21.25,22.18,19.80
2074,21.24,23.31,25.63,21.05,20.55,24.06,21.17,22.19,19.82
2075,21.17,23.29,25.62,21.02,20.46,24.06,21.12,22.12,19.80
2076,21.15,23.25,25.55,21.04,20.45,23.96,21.09,22.13,19.82
2077,21.17,23.35,25.66,21.06,20.44,24.09,21.09,22.21,19.81
2078,21.34,23.40,25.70,21.17,20.64,24.11,21.36,22.25,19.89
2079,21.19,23.30,25.61,21.04,20.46,24.04,21.16,22.14,19.82
2080,21.04,23.20,25.52,20.90,20.32,23.93,20.99,22.04,19.72
2081,21.10,23.24,25.60,20.99,20.40,23.98,21.06,22.10,19.81
2082,21.32,23.33,25.60,21.15,20.62,24.06,21.28,22.22,19.93
2083,21.07,23.17,25.56,20.90,20.37,23.98,21.01,22.06,19.63
2084,21.13,23.22,25.55,20.98,20.42,23.99,21.13,22.12,19.67
2085,21.00,23.20,25.60,20.82,20.22,24.00,20.97,22.00,19.60
2086,21.14,23.26,25.65,20.98,20.41,24.07,21.04,22.12,19.77
2087,21.02,23.30,25.59,20.82,20.28,24.05,20.93,22.00,19.68
2088,21.08,23.21,25.54,20.94,20.34,23.98,21.09,22.12,19.64
2089,21.06,23.22,25.51,20.92,20.31,23.94,21.11,22.03,19.65
2090,21.03,23.12,25.45,20.91,20.32,23.85,21.03,22.04,19.61
2091,21.09,23.22,25.70,20.96,20.36,24.08,21.04,22.15,19.69
2092,21.07,23.16,25.46,20.88,20.32,23.90,21.05,22.01,19.60
2093,21.08,23.22,25.54,20.88,20.34,23.99,21.07,22.09,19.58
2094,21.06,23.27,25.52,20.89,20.32,23.92,21.08,22.01,19.64
2095,21.06,23.25,25.60,20.89,20.33,24.02,21.06,22.03,19.63
2096,20.76,22.96,25.30,20.63,20.00,23.74,20.78,21.83,19.33
2097,20.99,23.21,25.65,20.81,20.23,23.98,20.96,21.99,19.66
2098,21.07,23.17,25.64,20.88,20.36,23.96,21.03,22.03,19.72
2099,21.17,23.32,25.70,21.00,20.41,24.06,21.20,22.17,19.80
2100,21.02,23.17,25.49,20.85,20.25,23.88,21.01,21.98,19.69
