Variable:,tas
,"Macao SAR, China","Administrative unit not available"
2015,23.75,23.18
2016,23.66,23.11
2017,23.69,23.13
2018,24.03,23.45
2019,23.89,23.32
2020,24.06,23.50
2021,24.02,23.52
2022,24.09,23.49
2023,24.03,23.45
2024,24.10,23.56
2025,24.11,23.60
2026,24.18,23.66
2027,24.14,23.64
2028,24.10,23.53
2029,24.20,23.59
2030,24.35,23.78
2031,24.25,23.69
2032,24.25,23.77
2033,24.31,23.96
2034,24.25,23.69
2035,24.22,23.60
2036,24.45,23.95
2037,24.50,23.99
2038,24.46,23.99
2039,24.48,23.97
2040,24.47,24.03
2041,24.41,23.88
2042,24.54,24.03
2043,24.63,24.16
2044,24.33,23.82
2045,24.48,24.00
2046,24.60,24.10
2047,24.51,23.93
2048,24.71,24.15
2049,24.54,23.97
2050,24.58,24.11
2051,24.52,24.00
2052,24.50,24.06
2053,24.53,24.10
2054,24.68,24.25
2055,24.59,24.03
2056,24.68,24.14
2057,24.58,24.07
2058,24.59,24.11
2059,24.91,24.42
2060,24.75,24.19
2061,24.62,24.05
2062,24.59,24.15
2063,24.79,24.26
2064,24.82,24.33
2065,24.67,24.13
2066,24.85,24.25
2067,24.67,24.21
2068,24.65,24.22
2069,24.66,24.13
2070,24.80,24.28
2071,24.81,24.30
2072,24.65,24.18
2073,24.81,24.27
2074,24.88,24.38
2075,24.81,24.35
2076,24.73,24.14
2077,24.96,24.41
2078,24.75,24.34
2079,24.74,24.20
2080,24.75,24.25
2081,24.62,24.07
2082,24.73,24.28
2083,24.79,24.32
2084,24.68,24.25
2085,24.70,24.22
2086,24.86,24.35
2087,24.80,24.28
2088,24.59,24.05
2089,24.77,24.18
2090,24.79,24.28
2091,24.76,24.29
2092,24.74,24.26
2093,24.59,24.16
2094,24.64,24.12
2095,24.74,24.33
2096,24.68,24.32
2097,24.79,24.24
2098,24.69,24.16
2099,24.62,24.18
2100,24.79,24.28
