Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
2039,3.95,9.43,4.61,4.98,9.49,9.29,2.43,8.25,8.85,9.14,0.66,7.27,7.89,9.62,8.08,8.27,7.72,6.69,2.28,3.70,7.26,8.40
2040,4.44,9.57,5.25,5.39,9.47,9.63,3.51,8.54,8.98,9.36,1.07,7.54,8.08,9.91,8.13,8.26,7.79,7.21,3.04,4.40,7.40,8.72
2041,3.93,9.20,4.84,5.01,9.24,9.25,2.65,8.01,8.56,8.94,0.48,7.26,7.52,9.48,7.80,8.03,7.53,6.97,2.55,3.97,7.13,8.32
2042,3.89,9.11,4.65,4.85,8.99,9.07,2.54,7.86,8.39,8.83,0.71,7.14,7.45,9.37,7.61,7.86,7.34,6.75,2.41,3.81,6.94,8.18
2043,4.08,9.20,4.85,5.02,9.21,9.27,2.86,8.09,8.59,8.97,0.74,7.28,7.64,9.52,7.85,8.10,7.60,6.85,2.79,4.09,7.17,8.35
2044,3.69,8.72,4.54,4.72,8.89,8.84,2.57,7.58,8.12,8.46,0.34,6.79,7.19,8.97,7.33,7.61,7.08,6.58,2.28,3.82,6.61,8.04
2045,4.40,9.36,5.12,5.30,9.36,9.49,3.15,8.39,8.83,9.17,1.24,7.51,7.91,9.68,8.05,8.17,7.72,7.17,3.03,4.37,7.37,8.66
2046,3.55,8.73,4.34,4.57,8.98,8.64,2.28,7.47,8.19,8.42,0.22,6.67,7.12,8.99,7.39,7.62,7.06,6.23,2.24,3.69,6.63,7.65
2047,4.06,9.09,5.01,5.24,9.24,9.09,2.90,7.91,8.55,8.81,0.67,7.36,7.65,9.38,7.91,8.10,7.67,7.05,2.55,4.03,7.24,8.32
2048,4.25,9.14,5.06,5.12,9.25,9.17,2.93,8.03,8.57,8.89,1.11,7.42,7.71,9.50,7.92,8.06,7.60,7.09,2.96,4.25,7.26,8.36
2049,4.30,9.16,5.19,5.35,9.29,9.16,3.09,8.08,8.66,8.91,1.04,7.49,7.86,9.43,8.09,8.25,7.79,7.10,2.96,4.30,7.40,8.37
2050,3.95,9.06,4.54,4.67,9.10,9.07,2.46,7.83,8.45,8.76,0.94,7.10,7.45,9.38,7.67,7.87,7.33,6.71,2.51,3.76,6.94,8.23
2051,3.45,8.82,4.24,4.28,8.83,8.83,1.95,7.69,8.23,8.58,0.11,6.96,7.40,9.20,7.51,7.55,6.95,6.45,1.94,3.25,6.73,7.97
2052,4.01,9.23,4.90,5.08,9.31,9.29,2.83,8.22,8.72,8.99,0.47,7.46,7.86,9.53,7.95,8.12,7.57,7.03,2.57,4.16,7.21,8.53
2053,3.58,8.83,4.35,4.60,8.86,8.81,2.31,7.61,8.21,8.55,0.25,6.81,7.14,9.12,7.35,7.54,7.08,6.45,2.14,3.52,6.67,7.90
2054,4.11,8.84,5.06,5.21,8.92,8.94,2.91,7.81,8.29,8.62,0.85,7.26,7.54,9.13,7.74,7.91,7.48,7.00,2.84,4.27,7.11,8.17
2055,4.01,9.14,4.86,5.01,9.25,9.15,2.42,7.95,8.55,8.91,0.88,7.27,7.60,9.47,7.86,8.13,7.65,6.92,2.46,3.75,7.18,8.24
2056,3.82,9.19,4.67,4.89,9.28,9.20,2.59,7.92,8.57,8.94,0.34,6.95,7.48,9.54,7.68,8.12,7.50,6.63,2.38,3.94,6.86,8.20
2057,4.17,9.27,4.89,4.98,9.28,9.42,2.86,8.23,8.77,9.06,0.93,7.49,7.94,9.60,8.03,8.04,7.53,7.04,2.76,3.99,7.25,8.60
2058,4.00,9.16,4.82,5.02,9.30,9.21,2.72,8.15,8.69,8.93,0.58,7.33,7.80,9.40,7.91,8.13,7.60,6.93,2.56,4.00,7.16,8.35
2059,4.00,9.02,5.03,5.16,9.10,9.06,2.60,7.89,8.45,8.79,0.75,7.32,7.60,9.35,7.83,8.00,7.62,6.94,2.48,3.99,7.25,8.20
2060,3.55,8.62,4.46,4.69,8.79,8.67,2.16,7.52,8.14,8.37,0.15,6.91,7.30,8.91,7.54,7.80,7.33,6.50,2.12,3.66,6.84,7.86
2061,4.00,8.88,4.53,4.78,8.91,8.82,2.60,7.64,8.27,8.58,1.04,6.99,7.40,9.19,7.58,7.82,7.29,6.57,2.74,3.96,6.86,8.02
