Variable:,tas
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
2015,27.58,27.54,28.14,27.41,27.18,28.64
2016,27.45,27.39,27.92,27.31,27.10,28.48
2017,27.56,27.41,28.03,27.36,27.12,28.70
2018,27.59,27.49,28.11,27.43,27.20,28.68
2019,27.64,27.62,28.09,27.47,27.20,28.67
2020,27.54,27.49,27.97,27.44,27.20,28.57
2021,27.62,27.57,28.08,27.51,27.29,28.67
2022,27.79,27.74,28.31,27.58,27.38,28.89
2023,27.70,27.67,28.10,27.65,27.41,28.71
2024,27.85,27.76,28.30,27.66,27.46,28.99
2025,27.77,27.68,28.22,27.62,27.43,28.84
2026,27.86,27.80,28.34,27.62,27.42,28.98
2027,27.94,27.88,28.40,27.76,27.57,29.07
2028,27.97,27.89,28.46,27.74,27.58,29.10
2029,28.15,28.06,28.65,27.87,27.70,29.25
2030,27.95,27.87,28.46,27.66,27.53,29.12
2031,28.03,28.00,28.57,27.76,27.62,29.14
2032,28.12,28.06,28.66,27.84,27.73,29.24
2033,28.08,28.03,28.52,27.76,27.66,29.14
2034,28.03,27.97,28.48,27.86,27.67,29.19
2035,28.07,27.99,28.50,27.88,27.68,29.17
2036,28.05,27.96,28.49,27.83,27.66,29.18
2037,28.20,28.14,28.63,28.08,27.82,29.26
2038,28.36,28.28,28.80,28.14,27.94,29.45
2039,28.30,28.29,28.73,28.03,27.90,29.38
2040,28.28,28.25,28.77,28.04,27.85,29.45
2041,28.39,28.32,28.89,28.15,27.95,29.51
2042,28.44,28.38,28.95,28.10,28.01,29.58
2043,28.27,28.19,28.70,28.04,27.87,29.39
2044,28.36,28.27,28.77,28.10,27.97,29.42
2045,28.42,28.38,28.87,28.16,27.99,29.49
2046,28.49,28.46,28.99,28.23,28.10,29.59
2047,28.68,28.62,29.17,28.30,28.21,29.79
2048,28.67,28.61,29.17,28.38,28.21,29.78
2049,28.57,28.50,29.05,28.24,28.11,29.73
2050,28.46,28.40,28.95,28.16,28.02,29.57
2051,28.57,28.47,29.12,28.19,28.07,29.77
2052,28.72,28.65,29.19,28.46,28.31,29.80
2053,28.55,28.56,29.03,28.38,28.22,29.63
2054,28.72,28.61,29.25,28.39,28.25,29.91
2055,28.72,28.64,29.21,28.40,28.29,29.93
2056,28.78,28.66,29.29,28.38,28.25,30.02
2057,28.94,28.87,29.46,28.59,28.48,30.08
2058,28.90,28.91,29.32,28.53,28.47,29.91
2059,28.92,28.85,29.30,28.56,28.45,29.93
2060,28.91,28.84,29.42,28.54,28.42,29.92
2061,28.84,28.78,29.28,28.51,28.40,29.87
2062,28.79,28.71,29.32,28.53,28.31,29.95
2063,29.01,28.89,29.48,28.70,28.54,30.16
2064,28.98,29.01,29.48,28.70,28.56,30.04
2065,29.00,28.95,29.51,28.53,28.50,30.08
2066,29.00,28.97,29.48,28.68,28.54,30.08
2067,29.08,29.06,29.58,28.78,28.63,30.15
2068,29.04,29.03,29.51,28.73,28.54,30.20
2069,29.12,29.11,29.58,28.71,28.64,30.19
2070,29.13,29.10,29.61,28.65,28.63,30.21
2071,29.08,29.04,29.58,28.66,28.58,30.20
2072,29.07,28.98,29.57,28.72,28.61,30.24
2073,29.16,29.11,29.55,28.78,28.71,30.21
2074,29.22,29.13,29.69,28.67,28.67,30.44
2075,29.16,29.08,29.69,28.68,28.62,30.37
2076,29.30,29.21,29.87,28.80,28.70,30.52
2077,29.36,29.29,29.85,28.89,28.85,30.54
2078,29.28,29.20,29.74,28.79,28.83,30.37
2079,29.17,29.15,29.68,28.70,28.67,30.29
2080,29.29,29.29,29.78,28.92,28.83,30.44
2081,29.28,29.27,29.73,28.86,28.76,30.32
2082,29.22,29.21,29.76,28.89,28.80,30.46
2083,29.39,29.37,29.80,28.89,28.94,30.35
2084,29.34,29.24,29.87,28.83,28.83,30.55
2085,29.42,29.38,29.86,28.99,28.90,30.42
2086,29.43,29.38,29.94,29.13,28.92,30.52
2087,29.39,29.33,29.90,28.91,28.86,30.57
2088,29.40,29.38,29.93,29.03,28.94,30.44
2089,29.50,29.47,29.92,29.02,28.97,30.56
2090,29.32,29.19,29.82,29.01,28.89,30.44
2091,29.41,29.30,29.82,29.10,28.87,30.44
2092,29.55,29.40,30.09,29.18,29.10,30.72
2093,29.49,29.45,30.03,29.03,29.00,30.54
2094,29.45,29.42,30.04,29.02,28.92,30.58
2095,29.49,29.40,29.93,29.04,28.99,30.58
2096,29.40,29.37,29.91,28.99,28.92,30.52
2097,29.40,29.33,29.91,28.96,28.87,30.60
2098,29.33,29.29,29.81,29.07,28.88,30.32
2099,29.46,29.37,29.98,29.16,28.95,30.64
2100,29.59,29.54,30.02,29.15,29.12,30.67
