Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
2015,16.81,17.79,20.98,17.99,20.98,20.99,20.98
2016,16.71,17.66,20.77,17.87,20.77,20.79,20.77
2017,16.75,17.74,20.95,17.92,20.95,20.95,20.95
2018,16.82,17.79,20.95,17.96,20.95,20.95,20.95
2019,16.52,17.50,20.74,17.71,20.74,20.75,20.74
2020,16.85,17.79,20.93,18.04,20.93,20.98,20.93
2021,16.93,17.90,21.01,18.07,21.01,21.02,21.01
2022,17.20,18.13,21.13,18.29,21.13,21.14,21.13
2023,17.07,18.04,21.19,18.24,21.19,21.21,21.19
2024,17.12,18.07,21.20,18.29,21.20,21.23,21.20
2025,17.21,18.17,21.30,18.35,21.30,21.31,21.30
2026,17.08,18.05,21.25,18.26,21.25,21.26,21.25
2027,17.19,18.16,21.32,18.34,21.32,21.32,21.32
2028,16.86,17.80,20.94,18.07,20.94,21.00,20.94
2029,17.23,18.19,21.35,18.39,21.35,21.36,21.35
2030,17.36,18.32,21.44,18.48,21.44,21.43,21.44
2031,17.22,18.21,21.46,18.43,21.46,21.48,21.46
2032,17.06,18.05,21.30,18.29,21.30,21.34,21.30
2033,17.02,18.01,21.23,18.21,21.23,21.25,21.23
2034,17.30,18.26,21.41,18.46,21.41,21.43,21.41
2035,17.62,18.57,21.67,18.74,21.67,21.67,21.67
2036,17.36,18.30,21.34,18.48,21.34,21.36,21.34
2037,17.19,18.15,21.33,18.37,21.33,21.35,21.33
2038,17.35,18.32,21.47,18.48,21.47,21.47,21.47
2039,17.18,18.13,21.26,18.35,21.26,21.30,21.26
2040,17.26,18.23,21.43,18.45,21.43,21.45,21.43
2041,17.10,18.06,21.25,18.27,21.25,21.26,21.25
2042,17.16,18.11,21.25,18.31,21.25,21.27,21.25
2043,17.20,18.14,21.26,18.34,21.26,21.27,21.26
2044,17.31,18.26,21.41,18.41,21.41,21.38,21.41
2045,17.31,18.28,21.45,18.47,21.45,21.45,21.45
2046,17.30,18.24,21.34,18.43,21.34,21.35,21.34
2047,17.49,18.41,21.48,18.60,21.48,21.48,21.48
2048,17.36,18.31,21.44,18.52,21.44,21.47,21.44
2049,17.21,18.16,21.31,18.38,21.31,21.34,21.31
2050,17.36,18.34,21.51,18.49,21.51,21.50,21.51
2051,17.39,18.31,21.38,18.52,21.38,21.40,21.38
2052,17.05,18.01,21.16,18.19,21.16,21.16,21.16
2053,17.49,18.44,21.55,18.66,21.55,21.59,21.55
2054,17.24,18.20,21.34,18.37,21.34,21.34,21.34
2055,17.28,18.26,21.46,18.44,21.46,21.46,21.46
2056,17.51,18.48,21.65,18.70,21.65,21.68,21.65
2057,16.94,17.93,21.13,18.09,21.13,21.12,21.13
2058,17.08,18.03,21.11,18.18,21.11,21.11,21.11
2059,17.13,18.05,21.08,18.27,21.08,21.12,21.08
2060,17.34,18.33,21.56,18.52,21.56,21.56,21.56
2061,17.26,18.23,21.42,18.47,21.42,21.46,21.42
2062,17.30,18.25,21.39,18.44,21.39,21.38,21.39
2063,17.56,18.49,21.52,18.61,21.52,21.49,21.52
2064,17.26,18.24,21.43,18.45,21.43,21.45,21.43
2065,17.16,18.15,21.34,18.25,21.34,21.29,21.34
2066,17.25,18.22,21.32,18.34,21.32,21.29,21.32
2067,17.12,18.09,21.30,18.27,21.30,21.29,21.30
2068,17.46,18.43,21.55,18.60,21.55,21.56,21.55
2069,17.45,18.40,21.49,18.57,21.49,21.49,21.49
2070,17.34,18.32,21.52,18.54,21.52,21.55,21.52
2071,17.05,18.02,21.18,18.23,21.18,21.21,21.18
2072,17.49,18.42,21.42,18.57,21.42,21.42,21.42
2073,16.94,17.91,21.13,18.17,21.13,21.18,21.13
2074,17.22,18.21,21.38,18.36,21.38,21.36,21.38
2075,16.96,17.95,21.18,18.18,21.18,21.22,21.18
2076,17.44,18.44,21.70,18.59,21.70,21.67,21.70
2077,17.31,18.27,21.40,18.43,21.40,21.39,21.40
2078,16.98,17.97,21.20,18.16,21.20,21.20,21.20
2079,17.10,18.10,21.36,18.30,21.36,21.37,21.36
2080,17.25,18.22,21.36,18.38,21.36,21.35,21.36
2081,17.02,17.93,20.97,18.15,20.97,21.01,20.97
2082,16.94,17.93,21.17,18.14,21.17,21.19,21.17
2083,17.06,18.03,21.15,18.24,21.15,21.18,21.15
2084,17.16,18.13,21.28,18.32,21.28,21.29,21.28
2085,17.33,18.26,21.31,18.43,21.31,21.32,21.31
2086,17.19,18.13,21.18,18.29,21.18,21.19,21.18
2087,16.92,17.89,21.04,18.08,21.04,21.06,21.04
2088,17.22,18.22,21.47,18.38,21.47,21.45,21.47
2089,17.20,18.14,21.23,18.35,21.23,21.26,21.23
2090,17.02,18.00,21.17,18.16,21.17,21.16,21.17
2091,16.91,17.89,21.12,18.11,21.12,21.14,21.12
2092,17.10,18.01,21.03,18.25,21.03,21.08,21.03
2093,17.33,18.29,21.47,18.48,21.47,21.47,21.47
2094,16.99,17.93,21.06,18.15,21.06,21.08,21.06
2095,16.88,17.84,21.00,18.04,21.00,21.01,21.00
2096,16.84,17.79,20.92,18.04,20.92,20.98,20.92
2097,17.02,17.98,21.13,18.18,21.13,21.15,21.13
2098,17.12,18.13,21.44,18.30,21.44,21.42,21.44
2099,17.15,18.09,21.12,18.28,21.12,21.14,21.12
2100,16.81,17.76,20.85,17.98,20.85,20.90,20.85
