Variable:,tasmin
,"Macao SAR, China","Administrative unit not available"
2015,21.08,20.61
2016,21.02,20.57
2017,21.02,20.55
2018,21.34,20.92
2019,21.19,20.73
2020,21.43,20.96
2021,21.36,20.97
2022,21.39,20.91
2023,21.36,20.90
2024,21.47,21.09
2025,21.46,21.06
2026,21.55,21.11
2027,21.51,21.01
2028,21.45,21.04
2029,21.51,21.08
2030,21.71,21.25
2031,21.58,21.10
2032,21.61,21.26
2033,21.71,21.28
2034,21.59,21.17
2035,21.53,21.07
2036,21.78,21.41
2037,21.85,21.47
2038,21.83,21.37
2039,21.91,21.53
2040,21.80,21.36
2041,21.76,21.29
2042,21.88,21.45
2043,21.98,21.60
2044,21.65,21.18
2045,21.82,21.39
2046,21.97,21.57
2047,21.83,21.37
2048,22.06,21.55
2049,21.85,21.37
2050,21.87,21.51
2051,21.89,21.42
2052,21.84,21.39
2053,21.91,21.45
2054,21.92,21.51
2055,21.89,21.37
2056,21.97,21.53
2057,21.96,21.49
2058,21.88,21.51
2059,22.16,21.79
2060,22.05,21.61
2061,21.99,21.52
2062,22.00,21.61
2063,22.10,21.70
2064,22.07,21.61
2065,22.04,21.59
2066,22.09,21.74
2067,22.10,21.71
2068,21.95,21.57
2069,22.01,21.60
2070,22.17,21.73
2071,22.17,21.69
2072,22.02,21.61
2073,22.11,21.62
2074,22.19,21.79
2075,22.16,21.80
2076,22.10,21.58
2077,22.23,21.76
2078,22.11,21.70
2079,22.06,21.65
2080,22.08,21.61
2081,21.98,21.54
2082,22.02,21.60
2083,22.16,21.73
2084,22.07,21.68
2085,22.10,21.64
2086,22.16,21.64
2087,22.11,21.67
2088,21.96,21.59
2089,21.96,21.58
2090,21.95,21.53
2091,22.09,21.73
2092,22.08,21.62
2093,21.93,21.52
2094,22.03,21.53
2095,22.10,21.74
2096,21.92,21.49
2097,22.12,21.61
2098,21.92,21.55
2099,21.97,21.54
2100,22.13,21.65
