Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2015,8.49,9.22,10.90,3.55,15.29,4.09,10.73,15.01,12.44,16.32,0.61,7.79,8.64,4.04,15.56,3.20,5.14,8.12,3.34,9.40,2.53,12.55,13.86,1.61,8.61
2016,8.60,9.14,10.82,3.78,15.69,4.01,10.84,15.34,12.54,16.75,0.84,7.70,8.84,4.16,15.89,3.09,4.98,8.46,3.46,9.53,2.55,12.70,14.15,1.57,9.18
2017,8.70,9.17,10.84,3.93,15.96,4.09,11.04,15.55,12.52,16.64,1.02,7.86,9.06,4.28,15.92,3.16,5.08,8.52,3.67,9.73,2.64,12.81,14.24,1.48,9.23
2018,8.67,9.36,11.18,3.78,15.56,4.27,10.94,15.36,12.70,16.55,0.82,7.81,8.86,4.12,16.01,3.13,5.20,8.38,3.51,9.47,2.68,12.69,14.15,1.74,9.10
2019,8.63,9.34,11.13,3.64,15.39,4.30,10.88,15.09,12.64,16.42,0.81,7.77,8.75,4.25,15.69,3.32,5.18,8.35,3.54,9.49,2.82,12.72,13.92,1.57,8.99
2020,8.76,9.50,11.13,3.83,15.38,4.36,11.10,15.13,12.78,16.44,1.05,8.02,8.92,4.32,15.70,3.40,5.29,8.51,3.47,9.73,2.92,12.86,14.14,1.95,9.12
2021,8.85,9.29,10.95,4.13,15.82,4.44,11.05,15.31,12.73,16.98,1.07,7.93,9.32,4.44,15.90,3.31,5.32,8.66,3.92,9.70,3.00,12.88,14.38,1.68,9.43
2022,8.61,9.19,10.96,3.77,15.47,4.20,10.92,15.14,12.45,16.55,0.82,7.75,8.88,4.18,15.92,3.17,5.07,8.26,3.51,9.61,2.81,12.63,14.06,1.59,9.00
2023,8.82,9.62,11.15,3.97,15.65,4.12,11.35,15.51,13.06,16.59,1.10,8.12,9.14,4.40,16.27,3.10,5.19,8.45,3.85,10.00,2.45,13.12,14.33,1.51,9.19
2024,8.72,9.20,10.94,4.02,15.56,4.29,11.05,15.36,12.73,16.46,1.08,7.71,9.15,4.37,15.77,3.39,5.19,8.49,3.69,9.59,2.74,12.91,14.25,1.71,9.23
2025,8.73,9.18,10.65,4.07,15.82,4.18,11.10,15.22,12.54,16.70,1.13,7.76,9.22,4.39,15.74,3.13,5.03,8.64,3.91,9.84,2.77,12.78,14.23,1.77,9.33
2026,8.91,9.57,11.26,4.11,15.87,4.24,11.34,15.49,12.82,16.82,1.32,8.15,9.18,4.54,16.02,3.28,5.26,8.74,3.78,10.02,2.83,13.06,14.52,1.71,9.36
2027,8.84,9.44,11.24,4.06,15.78,4.34,11.22,15.65,12.87,16.86,1.03,7.87,9.17,4.40,16.19,3.32,5.20,8.56,3.82,9.68,2.81,13.06,14.29,1.81,9.24
2028,9.07,9.66,11.35,4.35,16.28,4.20,11.42,15.99,13.06,17.45,1.33,8.23,9.41,4.62,16.60,3.33,5.22,8.84,4.08,10.13,2.92,13.29,14.64,1.71,9.43
2029,8.97,9.38,10.89,4.26,15.96,4.43,11.27,15.64,12.94,17.03,1.42,8.09,9.35,4.74,16.09,3.53,5.40,8.75,4.13,9.98,2.84,13.20,14.43,1.83,9.31
2030,8.89,9.41,11.21,4.20,16.14,4.22,11.10,15.71,12.82,17.09,1.13,8.08,9.30,4.51,16.65,3.35,5.25,8.73,3.87,9.86,2.62,12.93,14.44,1.68,9.42
2031,8.88,9.61,11.30,4.05,15.84,4.34,11.32,15.52,12.90,16.92,1.10,8.00,9.07,4.34,16.12,3.31,5.26,8.64,3.61,9.83,2.83,13.10,14.30,1.83,9.29
2032,8.86,9.50,11.12,4.01,15.90,4.28,11.13,15.67,12.79,16.80,0.94,8.11,9.17,4.57,16.01,3.39,5.35,8.49,3.88,9.88,2.73,12.99,14.37,1.82,9.13
