Variable:,tasmax
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
2015,33.89,35.64,33.84,30.81,34.45,36.08,33.27,31.98
2016,33.87,35.57,33.88,30.78,34.55,35.98,33.08,31.92
2017,33.93,35.65,33.87,30.95,34.57,36.16,33.31,31.98
2018,33.90,35.61,33.91,30.93,34.50,36.11,33.19,31.96
2019,34.02,35.76,33.94,31.07,34.58,36.32,33.45,32.07
2020,33.98,35.72,33.92,30.89,34.61,36.08,33.24,32.06
2021,33.88,35.52,33.91,30.84,34.55,35.93,33.16,31.94
2022,34.15,35.90,34.07,31.13,34.64,36.33,33.55,32.23
2023,34.26,36.02,34.24,31.28,34.83,36.44,33.65,32.35
2024,34.25,36.01,34.19,31.23,34.80,36.41,33.59,32.35
2025,34.13,35.88,34.09,31.04,34.73,36.25,33.44,32.21
2026,34.12,35.81,34.09,31.04,34.83,36.22,33.31,32.16
2027,34.16,35.90,34.15,31.07,34.80,36.32,33.36,32.25
2028,34.11,35.84,34.08,31.02,34.88,36.22,33.34,32.17
2029,34.36,36.09,34.40,31.31,35.02,36.53,33.60,32.41
2030,34.22,35.95,34.22,31.11,34.86,36.42,33.50,32.26
2031,34.27,35.91,34.35,31.25,35.00,36.40,33.53,32.34
2032,34.31,36.00,34.28,31.22,34.94,36.43,33.57,32.35
2033,34.37,36.09,34.37,31.32,35.03,36.55,33.65,32.43
2034,34.37,36.09,34.31,31.29,34.93,36.52,33.67,32.40
2035,34.36,36.03,34.36,31.26,35.02,36.46,33.63,32.44
2036,34.43,36.08,34.46,31.46,35.16,36.58,33.74,32.49
2037,34.46,36.16,34.48,31.34,35.03,36.58,33.66,32.55
2038,34.57,36.22,34.60,31.50,35.26,36.64,33.92,32.65
2039,34.65,36.39,34.56,31.62,35.25,36.82,33.98,32.74
2040,34.51,36.18,34.54,31.53,35.25,36.62,33.79,32.59
2041,34.61,36.36,34.60,31.50,35.27,36.75,33.97,32.66
2042,34.63,36.35,34.65,31.60,35.18,36.76,33.84,32.76
2043,34.67,36.39,34.65,31.57,35.32,36.76,33.93,32.76
2044,34.68,36.41,34.66,31.56,35.37,36.88,34.04,32.71
