Variable:,tasmax
,Gibraltar,"Administrative unit not available"
2015,21.86,22.53
2016,21.84,22.63
2017,21.80,22.54
2018,21.82,22.56
2019,21.93,22.69
2020,21.92,22.63
2021,22.00,22.69
2022,22.09,22.73
2023,21.95,22.71
2024,22.07,22.77
2025,22.10,22.85
2026,22.08,22.73
2027,22.37,23.09
2028,22.40,23.06
2029,22.29,22.88
2030,22.31,23.00
2031,22.28,22.84
2032,22.43,23.01
2033,22.34,22.98
2034,22.43,23.15
2035,22.61,23.15
2036,22.51,23.15
2037,22.42,23.14
2038,22.50,23.18
2039,22.60,23.25
2040,22.41,23.10
2041,22.38,23.10
2042,22.72,23.37
2043,22.55,23.13
2044,22.50,23.09
2045,22.53,23.22
2046,22.55,23.16
2047,22.72,23.37
2048,22.66,23.44
2049,22.88,23.46
2050,22.86,23.60
2051,22.88,23.46
2052,22.77,23.38
2053,22.93,23.57
2054,23.15,23.71
2055,22.94,23.56
2056,22.92,23.52
2057,22.93,23.62
2058,23.00,23.58
2059,22.97,23.73
2060,23.21,23.84
2061,23.15,23.81
2062,23.39,23.85
2063,23.53,24.03
2064,23.17,23.72
2065,23.12,23.79
2066,23.26,23.90
2067,23.18,23.77
2068,23.18,23.84
2069,23.17,23.86
2070,23.50,24.11
2071,23.26,23.91
2072,23.30,23.99
2073,23.41,24.15
2074,23.49,24.17
2075,23.29,23.86
2076,23.27,23.99
2077,23.31,23.90
2078,23.71,24.16
2079,23.43,24.05
2080,23.33,24.00
2081,23.60,24.10
2082,23.66,24.12
2083,23.61,24.17
2084,23.59,24.29
2085,23.74,24.36
2086,23.60,24.23
2087,23.90,24.38
2088,23.93,24.56
2089,23.65,24.24
2090,23.99,24.57
2091,23.91,24.50
2092,23.85,24.23
2093,23.67,24.24
2094,23.85,24.40
2095,23.61,24.32
2096,23.98,24.65
2097,23.87,24.40
2098,23.81,24.40
2099,23.77,24.28
2100,23.80,24.53
