Variable:,tasmax
,"St. Helena",Ascension,"Saint Helena","Tristan Da Cunha"
2015,20.87,26.45,22.25,15.28
2016,20.86,26.40,22.15,15.33
2017,20.83,26.43,22.14,15.28
2018,20.89,26.47,22.20,15.31
2019,20.87,26.53,22.22,15.20
2020,20.90,26.49,22.31,15.24
2021,20.88,26.46,22.25,15.28
2022,20.95,26.52,22.28,15.41
2023,20.97,26.62,22.31,15.41
2024,21.05,26.71,22.44,15.43
2025,21.01,26.54,22.29,15.52
2026,21.07,26.58,22.38,15.57
2027,21.01,26.64,22.30,15.48
2028,21.10,26.68,22.44,15.57
2029,21.10,26.77,22.44,15.45
2030,21.07,26.63,22.39,15.52
2031,21.10,26.68,22.39,15.58
2032,21.16,26.77,22.46,15.57
2033,21.22,26.85,22.54,15.72
2034,21.21,26.83,22.51,15.69
2035,21.24,26.80,22.51,15.72
2036,21.26,26.84,22.55,15.75
2037,21.29,26.97,22.62,15.65
2038,21.34,26.97,22.70,15.67
2039,21.27,26.86,22.65,15.65
2040,21.37,26.99,22.71,15.78
2041,21.39,26.98,22.71,15.84
2042,21.47,27.06,22.82,15.92
2043,21.29,26.98,22.60,15.72
2044,21.34,26.93,22.71,15.80
2045,21.44,27.06,22.84,15.79
2046,21.43,27.09,22.85,15.82
2047,21.42,27.11,22.80,15.75
2048,21.53,27.17,22.91,15.92
2049,21.50,27.22,22.77,15.95
2050,21.48,27.11,22.77,15.97
2051,21.50,27.11,22.84,15.91
2052,21.54,27.16,22.80,16.02
2053,21.58,27.13,22.89,16.05
2054,21.65,27.29,22.94,16.09
2055,21.62,27.30,22.92,16.00
2056,21.63,27.29,23.08,16.00
2057,21.67,27.38,23.05,16.01
2058,21.67,27.33,22.96,16.15
2059,21.68,27.40,22.99,16.06
2060,21.70,27.44,23.07,16.05
2061,21.69,27.30,23.06,16.18
2062,21.70,27.22,23.04,16.18
2063,21.77,27.52,23.08,16.21
2064,21.76,27.31,23.10,16.27
2065,21.71,27.35,23.08,16.07
2066,21.79,27.47,23.06,16.33
2067,21.77,27.41,23.08,16.26
2068,21.81,27.60,23.02,16.25
2069,21.91,27.55,23.26,16.29
2070,21.79,27.45,23.08,16.26
2071,21.83,27.52,23.05,16.39
2072,21.87,27.50,23.15,16.39
2073,21.96,27.71,23.26,16.31
2074,21.90,27.69,23.14,16.32
2075,21.77,27.40,23.11,16.19
2076,21.95,27.61,23.33,16.31
2077,22.05,27.83,23.41,16.40
2078,21.92,27.64,23.24,16.33
2079,21.96,27.70,23.33,16.29
2080,21.99,27.70,23.31,16.42
2081,21.97,27.65,23.30,16.32
2082,21.95,27.70,23.08,16.49
2083,21.97,27.63,23.25,16.41
2084,22.02,27.69,23.31,16.46
2085,22.13,27.76,23.45,16.51
2086,22.06,27.76,23.36,16.45
2087,22.02,27.74,23.26,16.53
2088,22.07,27.80,23.48,16.42
2089,22.07,27.77,23.36,16.55
2090,22.03,27.68,23.27,16.55
2091,22.17,27.79,23.41,16.67
2092,22.07,27.81,23.35,16.44
2093,22.03,27.63,23.33,16.52
2094,22.06,27.75,23.28,16.53
2095,22.15,27.85,23.43,16.57
2096,22.23,27.95,23.46,16.75
2097,22.16,27.82,23.45,16.58
2098,22.17,27.89,23.54,16.49
2099,22.21,27.95,23.55,16.62
2100,22.19,27.82,23.49,16.62
