Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2015,9.85,10.34,12.71,14.17,14.12,9.81,7.90,13.77,11.86,8.22,9.14,12.73,7.60,12.03,13.91,16.23,12.08,3.62,11.54,3.55,10.57
2016,9.52,10.07,12.47,14.12,13.84,9.45,7.42,13.45,11.53,7.77,8.84,12.46,7.23,11.88,13.59,16.10,11.70,3.15,11.19,3.10,10.15
2017,9.68,10.33,12.64,14.14,14.03,9.61,7.64,13.69,11.63,7.86,9.14,12.71,7.27,12.02,13.72,16.10,11.95,3.31,11.49,3.11,10.31
2018,9.77,10.28,12.63,14.20,13.99,9.72,7.76,13.70,11.82,8.08,9.09,12.63,7.46,12.01,13.79,16.24,11.99,3.52,11.48,3.21,10.49
2019,9.52,10.04,12.56,14.07,13.87,9.42,7.38,13.48,11.59,7.77,8.78,12.49,7.26,11.85,13.78,16.03,11.76,3.17,11.19,3.09,10.04
2020,9.75,10.31,12.72,14.24,14.14,9.61,7.77,13.78,11.64,7.93,9.13,12.79,7.29,12.10,13.76,16.24,11.93,3.50,11.51,3.18,10.41
2021,9.80,10.34,12.75,14.30,14.14,9.71,7.80,13.77,11.72,8.02,9.09,12.78,7.42,12.11,13.86,16.32,12.00,3.50,11.51,3.31,10.53
2022,9.71,10.31,12.69,14.15,14.07,9.66,7.63,13.66,11.68,7.93,9.05,12.73,7.35,12.08,13.81,16.16,11.90,3.33,11.42,3.20,10.40
2023,10.00,10.53,12.94,14.61,14.34,9.92,7.99,13.92,11.91,8.23,9.29,12.98,7.56,12.30,13.97,16.52,12.13,3.66,11.66,3.39,10.72
2024,9.92,10.44,12.91,14.44,14.23,9.83,7.91,13.87,11.81,8.14,9.22,12.82,7.38,12.25,14.01,16.43,12.12,3.67,11.63,3.16,10.67
2025,10.15,10.70,13.09,14.60,14.45,10.04,8.18,14.05,12.07,8.40,9.50,13.10,7.76,12.45,14.20,16.63,12.30,3.84,11.80,3.63,10.90
2026,10.02,10.63,12.93,14.49,14.30,9.96,7.97,13.98,11.91,8.20,9.47,12.96,7.57,12.33,14.05,16.58,12.20,3.68,11.77,3.44,10.73
2027,9.91,10.45,12.94,14.48,14.29,9.84,7.89,13.85,11.90,8.11,9.14,12.90,7.49,12.28,14.05,16.51,12.10,3.50,11.55,3.29,10.66
2028,10.05,10.67,12.98,14.56,14.35,10.02,7.95,14.01,12.01,8.31,9.40,13.00,7.66,12.34,14.12,16.57,12.28,3.66,11.72,3.52,10.75
2029,10.04,10.57,13.09,14.59,14.41,9.97,7.96,13.94,11.98,8.26,9.39,13.02,7.64,12.46,14.01,16.52,12.25,3.69,11.76,3.51,10.68
2030,10.18,10.77,13.15,14.71,14.50,10.09,8.09,14.15,12.05,8.38,9.56,13.15,7.74,12.54,14.27,16.66,12.38,3.84,11.90,3.66,10.72
2031,10.00,10.73,13.01,14.47,14.38,9.98,7.81,14.10,11.87,8.12,9.54,13.10,7.52,12.41,14.04,16.46,12.28,3.53,11.93,3.37,10.58
2032,9.94,10.59,12.91,14.47,14.25,9.83,7.84,13.89,11.80,8.09,9.38,12.88,7.50,12.27,14.09,16.45,12.11,3.57,11.70,3.40,10.52
2033,10.03,10.50,12.92,14.54,14.22,9.86,8.01,13.94,12.02,8.37,9.20,12.82,7.76,12.25,14.18,16.50,12.20,3.85,11.64,3.63,10.73
2034,10.20,10.72,13.03,14.58,14.40,10.17,8.28,14.02,12.14,8.52,9.58,13.11,7.89,12.44,14.07,16.65,12.36,4.02,11.88,3.78,10.94
2035,10.07,10.64,13.10,14.62,14.42,9.99,7.97,14.06,12.03,8.23,9.40,13.08,7.71,12.53,14.26,16.58,12.31,3.65,11.82,3.60,10.69
2036,10.26,10.95,13.29,14.82,14.67,10.12,8.13,14.26,12.14,8.43,9.70,13.32,7.81,12.69,14.34,16.68,12.42,3.92,12.07,3.69,10.86
2037,10.11,10.58,12.98,14.59,14.40,10.12,8.02,14.04,12.25,8.44,9.27,13.04,7.84,12.35,14.29,16.63,12.36,3.80,11.68,3.64,10.85
2038,10.16,10.66,13.19,14.68,14.51,10.10,8.04,14.07,12.24,8.41,9.45,13.13,7.88,12.53,14.27,16.57,12.32,3.79,11.79,3.73,10.74
2039,10.22,10.84,13.20,14.62,14.52,10.15,8.18,14.17,12.18,8.39,9.62,13.18,7.84,12.54,14.27,16.66,12.41,3.85,11.94,3.73,10.92
2040,10.16,10.73,13.15,14.59,14.52,10.23,8.12,14.09,12.09,8.26,9.58,13.16,7.68,12.54,14.20,16.71,12.46,3.80,11.92,3.51,10.99
2041,10.08,10.68,13.02,14.59,14.42,9.91,8.04,14.06,11.99,8.23,9.49,13.08,7.73,12.46,14.15,16.62,12.26,3.73,11.81,3.71,10.70
2042,10.16,10.72,13.14,14.61,14.48,10.09,8.07,14.08,12.10,8.39,9.51,13.12,7.79,12.52,14.21,16.60,12.38,3.84,11.83,3.65,10.82
2043,10.45,11.00,13.41,14.90,14.82,10.39,8.41,14.39,12.50,8.69,9.74,13.47,8.14,12.78,14.58,16.87,12.68,4.13,12.10,4.00,11.20
2044,10.30,10.92,13.18,14.69,14.62,10.25,8.24,14.27,12.31,8.54,9.65,13.30,8.01,12.57,14.30,16.81,12.52,3.95,12.01,3.90,10.91
2045,10.26,10.90,13.19,14.75,14.61,10.27,8.18,14.27,12.30,8.48,9.68,13.24,7.94,12.53,14.24,16.71,12.54,3.86,12.05,3.82,11.02
2046,10.44,11.04,13.34,14.79,14.71,10.40,8.36,14.41,12.49,8.77,9.80,13.34,8.09,12.72,14.56,16.87,12.70,4.17,12.22,3.92,11.01
2047,10.37,11.04,13.27,14.95,14.64,10.33,8.07,14.46,12.43,8.52,9.77,13.29,8.03,12.66,14.55,17.00,12.66,3.94,12.20,3.87,10.92
2048,10.40,10.96,13.35,14.81,14.71,10.32,8.32,14.26,12.36,8.64,9.79,13.36,8.08,12.73,14.40,16.82,12.55,4.08,12.07,4.00,11.09
2049,10.49,11.03,13.46,14.98,14.80,10.50,8.41,14.39,12.38,8.74,9.89,13.44,8.09,12.86,14.48,16.93,12.68,4.16,12.22,4.03,11.07
2050,10.41,10.90,13.33,14.90,14.71,10.46,8.37,14.31,12.47,8.70,9.72,13.33,8.06,12.68,14.46,16.88,12.71,4.16,12.12,3.92,11.09
2051,10.49,11.01,13.42,14.95,14.80,10.46,8.37,14.42,12.50,8.79,9.77,13.43,8.17,12.78,14.66,16.98,12.70,4.17,12.15,4.02,11.17
2052,10.59,11.12,13.63,15.06,14.90,10.53,8.53,14.52,12.52,8.81,10.00,13.55,8.21,13.02,14.61,17.07,12.79,4.19,12.36,4.08,11.27
2053,10.51,11.19,13.59,15.03,14.97,10.41,8.36,14.58,12.44,8.65,9.86,13.59,8.08,12.94,14.67,17.06,12.76,4.07,12.34,3.90,11.03
2054,10.36,10.90,13.33,14.89,14.69,10.27,8.33,14.30,12.33,8.57,9.60,13.39,8.02,12.72,14.50,16.86,12.53,4.01,12.02,3.87,11.02
2055,10.32,10.94,13.24,14.83,14.65,10.16,8.37,14.29,12.25,8.43,9.62,13.31,7.96,12.64,14.47,16.91,12.46,3.92,11.99,3.88,10.97
2056,10.36,11.00,13.41,14.82,14.80,10.28,8.32,14.41,12.36,8.47,9.77,13.42,7.91,12.75,14.44,16.84,12.57,4.00,12.17,3.73,10.95
2057,10.50,11.08,13.50,14.93,14.86,10.38,8.32,14.56,12.45,8.67,9.86,13.49,8.13,12.94,14.61,16.96,12.79,4.12,12.26,4.07,11.06
2058,10.40,10.89,13.44,14.97,14.78,10.34,8.35,14.32,12.33,8.55,9.76,13.37,7.99,12.77,14.43,16.95,12.58,4.06,12.07,3.77,11.03
2059,10.48,11.08,13.44,14.93,14.82,10.44,8.42,14.49,12.54,8.68,9.81,13.46,8.15,12.80,14.48,16.87,12.70,4.13,12.23,3.93,11.17
2060,10.59,11.08,13.60,15.06,14.95,10.58,8.60,14.47,12.60,8.80,10.02,13.56,8.21,12.98,14.62,17.00,12.83,4.33,12.29,4.04,11.28
2061,10.73,11.35,13.77,15.23,15.09,10.66,8.61,14.69,12.62,8.94,10.14,13.74,8.37,13.16,14.74,17.16,12.93,4.35,12.48,4.31,11.44
2062,10.43,11.06,13.47,14.96,14.81,10.33,8.38,14.40,12.39,8.54,9.81,13.46,8.02,12.85,14.42,16.88,12.63,4.02,12.14,3.83,11.03
2063,10.59,11.14,13.55,15.01,14.90,10.52,8.57,14.52,12.56,8.84,9.90,13.55,8.24,12.96,14.60,16.97,12.80,4.29,12.26,4.13,11.30
2064,10.45,11.04,13.46,15.04,14.82,10.46,8.31,14.42,12.38,8.64,9.86,13.49,7.99,12.85,14.44,16.95,12.74,4.02,12.23,3.77,11.04
2065,10.31,10.85,13.22,14.82,14.63,10.18,8.21,14.22,12.38,8.54,9.57,13.24,8.05,12.64,14.44,16.90,12.44,3.91,11.97,3.90,10.90
2066,10.54,11.14,13.52,15.06,14.89,10.48,8.44,14.49,12.51,8.78,9.92,13.53,8.15,12.85,14.57,17.07,12.78,4.14,12.28,3.96,11.21
2067,10.63,11.11,13.44,14.99,14.84,10.58,8.59,14.49,12.65,9.02,9.93,13.46,8.36,12.81,14.68,17.00,12.81,4.43,12.25,4.27,11.28
2068,10.64,11.12,13.59,15.08,14.96,10.58,8.64,14.54,12.60,8.92,9.86,13.65,8.32,13.03,14.69,17.04,12.78,4.37,12.28,4.14,11.46
2069,10.83,11.40,13.71,15.21,15.09,10.77,8.89,14.74,12.76,9.07,10.18,13.72,8.39,13.15,14.76,17.22,12.99,4.60,12.49,4.23,11.63
2070,10.58,11.17,13.39,14.98,14.82,10.48,8.55,14.65,12.61,8.87,9.87,13.49,8.29,12.79,14.80,17.11,12.82,4.30,12.31,4.25,11.20
2071,10.36,10.95,13.28,14.78,14.67,10.30,8.32,14.31,12.25,8.61,9.68,13.32,7.88,12.71,14.39,16.76,12.55,4.10,12.07,3.84,11.08
2072,10.41,11.03,13.36,14.91,14.70,10.36,8.37,14.37,12.40,8.61,9.79,13.30,8.04,12.74,14.47,16.83,12.61,3.99,12.13,3.91,11.05
2073,10.37,10.91,13.30,14.85,14.72,10.33,8.27,14.40,12.37,8.61,9.66,13.31,7.95,12.63,14.51,16.87,12.72,4.01,12.12,3.81,11.06
2074,10.22,10.81,13.33,14.89,14.66,10.07,8.03,14.28,12.20,8.37,9.51,13.29,7.85,12.67,14.35,16.88,12.51,3.71,11.95,3.71,10.69
2075,10.72,11.37,13.60,15.17,14.98,10.62,8.67,14.71,12.66,8.95,10.11,13.64,8.33,12.99,14.73,17.18,12.94,4.37,12.45,4.23,11.38
2076,10.54,11.07,13.36,14.91,14.73,10.61,8.52,14.38,12.52,8.83,9.90,13.41,8.18,12.76,14.56,17.00,12.81,4.19,12.21,4.01,11.31
2077,10.56,11.20,13.51,15.04,14.88,10.53,8.51,14.57,12.57,8.76,9.96,13.54,8.11,12.90,14.65,16.96,12.86,4.25,12.32,3.90,11.20
2078,10.34,10.86,13.41,14.91,14.70,10.23,8.34,14.25,12.34,8.58,9.57,13.26,7.99,12.72,14.38,16.86,12.50,4.03,11.93,3.86,11.10
2079,10.50,11.01,13.38,14.91,14.76,10.42,8.51,14.41,12.50,8.78,9.80,13.39,8.18,12.76,14.66,16.90,12.71,4.23,12.18,4.09,11.23
2080,10.49,11.08,13.41,14.94,14.77,10.39,8.52,14.42,12.35,8.75,9.81,13.45,8.03,12.78,14.47,16.95,12.65,4.17,12.18,3.95,11.11
2081,10.45,10.96,13.37,14.84,14.72,10.43,8.36,14.36,12.45,8.75,9.75,13.33,8.12,12.76,14.59,16.99,12.61,4.14,12.11,3.93,11.15
2082,10.57,11.08,13.43,14.95,14.82,10.56,8.49,14.49,12.58,8.84,9.92,13.42,8.22,12.81,14.60,17.11,12.85,4.26,12.23,4.08,11.21
2083,10.40,10.96,13.43,14.84,14.81,10.37,8.40,14.38,12.35,8.61,9.74,13.37,7.96,12.77,14.39,16.90,12.65,4.05,12.08,3.81,11.16
2084,10.46,11.05,13.56,15.11,14.95,10.36,8.33,14.56,12.33,8.55,9.79,13.57,7.90,12.92,14.67,17.08,12.69,3.96,12.23,3.76,11.00
2085,10.61,11.26,13.59,15.12,14.97,10.55,8.53,14.63,12.51,8.76,9.96,13.64,8.17,12.94,14.67,16.98,12.90,4.23,12.35,4.05,11.30
2086,10.87,11.48,13.89,15.23,15.24,10.86,8.91,14.84,12.81,9.05,10.26,13.89,8.48,13.17,14.83,17.21,13.11,4.52,12.63,4.40,11.60
2087,10.29,10.88,13.29,14.86,14.61,10.16,8.22,14.24,12.28,8.48,9.58,13.23,7.97,12.67,14.46,16.84,12.44,3.83,11.98,3.88,10.88
2088,10.35,10.93,13.21,14.78,14.63,10.36,8.38,14.23,12.38,8.62,9.80,13.30,7.94,12.62,14.43,16.71,12.56,4.02,12.11,3.65,11.16
2089,10.54,11.10,13.46,14.93,14.85,10.43,8.61,14.52,12.52,8.76,9.79,13.49,8.18,12.87,14.71,17.03,12.75,4.23,12.22,4.07,11.26
2090,10.77,11.40,13.64,15.08,15.01,10.80,8.73,14.76,12.85,9.07,10.18,13.69,8.51,13.00,14.81,17.11,13.07,4.49,12.56,4.34,11.54
2091,10.47,10.98,13.48,15.02,14.82,10.36,8.43,14.43,12.45,8.65,9.81,13.44,8.14,12.83,14.58,17.01,12.67,4.13,12.14,3.98,11.11
