Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2015,13.84,10.90,12.24,0.51,11.10,6.72,12.77,4.37,4.23,5.58,6.06,15.70,5.54,12.43,17.69,13.31,20.71,15.61,11.43,7.51,17.08,0.60,11.17,13.45,17.60,19.14
2016,13.98,11.08,12.52,0.63,11.40,6.93,13.02,4.59,4.27,5.83,6.19,16.10,5.72,12.73,18.00,13.63,20.87,15.64,11.67,7.66,17.35,0.69,11.34,13.56,17.88,19.13
2017,14.07,11.19,12.58,0.64,11.40,6.91,13.13,4.59,4.36,5.76,6.27,16.04,5.69,12.77,17.96,13.64,21.00,15.75,11.66,7.72,17.44,0.74,11.38,13.73,17.98,19.25
2018,14.01,11.04,12.55,0.65,11.37,6.92,13.02,4.55,4.35,5.81,6.25,16.05,5.67,12.71,18.01,13.65,20.89,15.76,11.60,7.66,17.44,0.68,11.34,13.55,17.96,19.24
2019,14.07,11.18,12.52,0.78,11.45,6.98,13.04,4.58,4.40,5.82,6.28,15.97,5.76,12.72,17.83,13.58,20.98,15.73,11.74,7.73,17.25,0.76,11.43,13.66,17.79,19.24
2020,14.02,11.15,12.52,0.65,11.39,6.94,13.05,4.61,4.35,5.77,6.30,15.97,5.72,12.73,17.90,13.60,20.91,15.70,11.67,7.72,17.35,0.67,11.45,13.54,17.87,19.22
2021,14.11,11.16,12.77,0.70,11.55,7.03,13.22,4.62,4.37,5.92,6.37,16.26,5.77,12.95,18.22,13.84,20.97,15.87,11.79,7.78,17.61,0.70,11.45,13.77,18.10,19.35
2022,14.23,11.31,12.71,0.81,11.53,7.11,13.16,4.72,4.52,5.97,6.48,16.14,5.92,12.85,18.08,13.76,21.18,15.91,11.83,7.91,17.49,0.96,11.61,13.77,18.00,19.38
2023,14.19,11.30,12.77,0.90,11.57,7.12,13.25,4.80,4.57,6.00,6.44,16.17,5.87,12.94,18.16,13.83,21.06,15.88,11.85,7.84,17.57,0.95,11.55,13.80,18.08,19.38
2024,14.36,11.41,12.90,1.04,11.71,7.30,13.36,4.82,4.70,6.20,6.59,16.31,6.06,13.11,18.26,13.96,21.21,16.10,11.93,8.04,17.68,1.02,11.73,13.86,18.23,19.61
2025,14.22,11.30,12.72,0.87,11.47,7.07,13.29,4.72,4.52,5.95,6.45,16.12,5.88,12.94,18.23,13.77,21.14,15.90,11.77,7.85,17.63,0.88,11.57,13.74,18.17,19.40
