Variable:,tas
,"Solomon Islands","Administrative unit not available"
2015,26.43,26.88
2016,26.43,26.89
2017,26.44,26.87
2018,26.47,26.91
2019,26.47,26.92
2020,26.52,26.95
2021,26.57,27.02
2022,26.57,27.00
2023,26.64,27.08
2024,26.64,27.07
2025,26.62,27.07
2026,26.70,27.15
2027,26.65,27.09
2028,26.69,27.12
2029,26.72,27.16
2030,26.79,27.24
2031,26.72,27.16
2032,26.80,27.26
2033,26.86,27.31
2034,26.80,27.22
2035,26.90,27.35
2036,26.91,27.36
2037,26.84,27.27
2038,26.90,27.34
2039,26.92,27.36
2040,26.97,27.43
2041,26.95,27.38
2042,27.05,27.49
2043,26.92,27.37
2044,27.07,27.51
2045,27.08,27.54
2046,27.07,27.51
2047,27.15,27.59
2048,27.16,27.58
2049,27.22,27.65
2050,27.21,27.66
2051,27.16,27.61
2052,27.26,27.68
2053,27.26,27.71
2054,27.33,27.76
2055,27.26,27.69
2056,27.33,27.75
2057,27.38,27.81
2058,27.34,27.77
2059,27.29,27.73
2060,27.43,27.88
2061,27.42,27.86
2062,27.33,27.75
2063,27.48,27.92
2064,27.43,27.86
2065,27.43,27.86
2066,27.54,27.98
2067,27.50,27.92
2068,27.52,27.98
2069,27.52,27.94
2070,27.48,27.95
2071,27.64,28.05
2072,27.56,28.02
2073,27.58,28.03
2074,27.62,28.05
2075,27.63,28.08
2076,27.63,28.06
2077,27.65,28.11
2078,27.76,28.21
2079,27.65,28.09
2080,27.68,28.12
2081,27.71,28.15
2082,27.73,28.17
2083,27.74,28.18
2084,27.73,28.18
2085,27.75,28.20
2086,27.78,28.24
2087,27.71,28.14
2088,27.69,28.13
2089,27.80,28.24
2090,27.64,28.08
2091,27.83,28.29
2092,27.83,28.29
2093,27.91,28.35
2094,27.92,28.37
2095,27.76,28.21
2096,27.88,28.32
2097,27.77,28.21
2098,27.78,28.23
2099,27.85,28.30
2100,27.96,28.41
