Variable:,tasmax
,"Kyrgyz Republic",Batken,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek,Chuy
2086,11.86,13.33,17.69,10.05,9.78,11.57,8.96,10.71,11.22
2087,11.98,13.51,17.99,10.01,9.67,11.91,9.00,10.93,11.45
2088,11.66,13.22,17.63,9.73,9.45,11.56,8.66,10.66,11.20
2089,11.77,13.44,17.67,9.94,9.70,11.53,8.88,10.63,11.17
2090,12.09,13.58,18.04,10.33,9.95,11.83,9.11,10.96,11.49
2091,11.98,13.45,17.95,10.09,9.73,11.92,8.99,10.80,11.41
2092,12.04,13.54,18.09,10.13,9.83,11.95,8.98,11.07,11.61
2093,11.97,13.52,17.91,10.08,9.73,11.83,8.95,10.86,11.41
2094,12.00,13.75,17.95,10.06,9.90,11.72,9.04,10.97,11.49
2095,12.01,13.47,18.00,10.10,9.76,12.03,9.05,10.86,11.44
2096,12.00,13.68,18.05,10.07,9.95,11.86,8.92,10.86,11.42
2097,12.07,13.53,17.99,10.19,9.85,11.94,9.11,11.13,11.60
2098,12.09,13.57,18.11,10.20,9.89,12.08,9.14,10.82,11.46
2099,12.13,13.51,18.12,10.22,9.84,11.96,9.21,11.10,11.62
2100,11.93,13.51,17.85,9.95,9.68,11.79,9.03,10.79,11.37
