Variable:,tasmin
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2015,19.31,12.31,20.73,18.59,16.42,22.29,16.47,15.69,16.81
2016,19.31,12.22,20.75,18.59,16.38,22.29,16.40,15.67,16.79
2017,19.47,12.43,20.93,18.72,16.51,22.48,16.56,15.86,16.99
2018,19.47,12.40,20.86,18.72,16.62,22.51,16.67,15.86,16.98
2019,19.50,12.36,20.94,18.71,16.50,22.57,16.42,15.84,16.81
2020,19.42,12.41,20.84,18.69,16.60,22.41,16.62,15.81,16.94
2021,19.46,12.34,20.88,18.73,16.51,22.51,16.54,15.79,16.82
2022,19.59,12.55,21.02,18.86,16.73,22.62,16.67,15.92,16.98
2023,19.65,12.61,21.06,18.92,16.80,22.67,16.62,16.01,17.04
2024,19.73,12.61,21.12,18.93,16.70,22.79,16.78,16.10,17.12
2025,19.64,12.56,21.05,18.91,16.70,22.63,16.65,16.03,17.03
2026,19.64,12.51,21.13,18.88,16.66,22.64,16.68,16.02,17.10
2027,19.67,12.62,21.12,18.91,16.83,22.70,16.79,16.07,17.16
2028,19.77,12.71,21.18,19.03,16.85,22.78,16.85,16.16,17.27
2029,19.87,12.81,21.29,19.12,17.02,22.90,16.94,16.24,17.30
2030,19.75,12.59,21.16,19.01,16.79,22.79,16.83,16.11,17.22
2031,19.87,12.79,21.23,19.14,16.97,22.85,17.01,16.29,17.29
2032,19.92,12.86,21.32,19.16,16.97,22.96,16.83,16.29,17.34
2033,19.97,12.86,21.36,19.24,17.03,23.01,16.93,16.31,17.29
2034,19.89,12.89,21.33,19.15,17.06,22.89,16.88,16.28,17.33
2035,19.90,12.81,21.35,19.17,17.03,22.94,16.99,16.26,17.26
2036,19.89,12.86,21.32,19.15,17.02,22.91,16.98,16.28,17.31
2037,19.98,13.02,21.37,19.26,17.20,22.96,17.17,16.41,17.47
2038,20.07,13.03,21.47,19.33,17.21,23.09,17.16,16.45,17.53
2039,20.04,12.95,21.43,19.30,17.12,23.01,17.14,16.46,17.55
2040,20.02,12.89,21.37,19.29,17.09,23.05,17.01,16.37,17.47
