Variable:,tasmin
,Gabon,Estuaire,Haut-Ogooue,Moyen-Ogooue,Ngounie,Nyanga,Ogooue-Ivindo,Ogooue-lolo,Ogooue-Maritime,Woleu-Ntem
2015,21.37,23.38,20.37,22.91,22.38,22.83,21.09,21.31,23.53,20.75
2016,21.40,23.38,20.39,22.89,22.38,22.83,21.15,21.37,23.48,20.86
2017,21.62,23.52,20.66,23.06,22.54,22.99,21.39,21.59,23.65,21.05
2018,21.52,23.49,20.52,23.01,22.55,23.13,21.24,21.49,23.71,20.93
2019,21.46,23.47,20.44,22.97,22.46,22.95,21.20,21.43,23.62,20.91
2020,21.83,23.83,20.79,23.34,22.82,23.28,21.54,21.79,23.92,21.28
2021,21.65,23.61,20.58,23.13,22.61,23.11,21.42,21.58,23.75,21.12
2022,21.70,23.62,20.66,23.19,22.68,23.14,21.47,21.67,23.76,21.16
2023,21.62,23.58,20.66,23.09,22.60,23.06,21.35,21.63,23.72,21.01
2024,21.69,23.64,20.68,23.13,22.65,23.11,21.45,21.65,23.80,21.12
2025,21.81,23.79,20.85,23.30,22.80,23.20,21.53,21.82,23.86,21.22
2026,21.89,23.73,20.94,23.27,22.81,23.21,21.69,21.90,23.85,21.31
2027,21.59,23.55,20.60,23.07,22.57,23.04,21.33,21.56,23.70,21.01
2028,21.87,23.78,20.86,23.31,22.81,23.34,21.67,21.89,23.90,21.30
2029,21.84,23.79,20.75,23.30,22.82,23.27,21.60,21.80,23.92,21.29
2030,21.77,23.72,20.79,23.23,22.72,23.21,21.53,21.78,23.88,21.20
2031,21.99,23.93,20.99,23.44,22.92,23.45,21.74,21.93,24.05,21.45
2032,21.87,23.76,20.88,23.28,22.81,23.28,21.64,21.85,23.88,21.35
2033,21.87,23.72,20.87,23.24,22.73,23.25,21.69,21.83,23.84,21.35
2034,21.81,23.82,20.83,23.30,22.77,23.35,21.55,21.75,23.97,21.25
2035,22.09,24.00,21.11,23.57,23.10,23.55,21.82,22.07,24.13,21.49
2036,22.06,23.97,21.04,23.49,22.98,23.50,21.86,22.00,24.12,21.51
2037,21.88,23.85,20.88,23.35,22.86,23.33,21.64,21.84,23.97,21.32
2038,22.12,24.04,21.16,23.57,23.07,23.49,21.90,22.10,24.14,21.58
2039,21.92,23.91,20.94,23.43,22.87,23.23,21.66,21.91,23.95,21.37
2040,21.96,23.87,21.00,23.40,22.91,23.42,21.71,21.91,24.03,21.41
2041,22.15,24.04,21.10,23.55,23.04,23.52,21.97,22.10,24.16,21.66
2042,21.84,23.80,20.90,23.27,22.75,23.28,21.57,21.79,23.94,21.29
2043,21.82,23.75,20.82,23.27,22.78,23.29,21.57,21.76,23.91,21.25
2044,21.95,23.86,20.97,23.39,22.95,23.45,21.68,21.91,24.06,21.36
2045,22.16,24.05,21.14,23.54,23.07,23.57,21.96,22.13,24.14,21.64
2046,22.09,24.02,21.11,23.53,23.03,23.47,21.89,22.07,24.13,21.54
2047,22.20,24.04,21.26,23.55,23.06,23.58,22.01,22.20,24.18,21.67
2048,22.18,24.04,21.18,23.58,23.10,23.57,21.97,22.15,24.18,21.67
2049,21.83,23.77,20.83,23.27,22.76,23.33,21.60,21.79,23.92,21.29
2050,21.99,23.90,20.99,23.42,22.90,23.38,21.78,21.95,24.03,21.44
2051,22.08,24.03,21.14,23.50,22.99,23.48,21.88,22.07,24.13,21.46
2052,21.94,23.87,20.99,23.37,22.82,23.26,21.73,21.91,23.90,21.38
2053,21.85,23.80,20.85,23.28,22.79,23.22,21.61,21.79,23.91,21.31
2054,21.94,23.90,20.96,23.42,22.87,23.39,21.69,21.91,24.01,21.39
2055,21.89,23.84,20.90,23.33,22.86,23.35,21.62,21.87,24.01,21.30
2056,21.94,23.89,20.87,23.37,22.84,23.28,21.72,21.87,23.95,21.44
2057,21.93,23.86,20.92,23.36,22.84,23.28,21.70,21.86,23.97,21.42
2058,21.94,23.90,20.99,23.41,22.93,23.40,21.70,21.94,24.07,21.34
2059,22.06,23.98,21.06,23.50,22.99,23.46,21.86,22.06,24.09,21.49
2060,21.81,23.90,20.76,23.33,22.79,23.42,21.56,21.74,24.07,21.25
2061,21.98,23.95,20.94,23.48,23.00,23.48,21.78,21.99,24.16,21.38
2062,21.93,23.85,20.93,23.34,22.81,23.24,21.72,21.90,23.90,21.42
2063,22.01,23.92,21.04,23.41,22.92,23.33,21.80,21.97,24.03,21.47
2064,21.87,23.87,20.81,23.35,22.86,23.36,21.65,21.80,24.02,21.34
2065,21.65,23.64,20.59,23.19,22.70,23.05,21.39,21.63,23.74,21.06
2066,21.82,23.77,20.82,23.31,22.82,23.22,21.55,21.79,23.86,21.27
2067,22.00,23.96,20.99,23.50,23.03,23.46,21.74,22.02,24.09,21.40
2068,22.05,23.99,21.08,23.51,23.00,23.39,21.81,22.04,24.07,21.47
2069,21.96,23.83,20.95,23.38,22.91,23.38,21.75,21.92,24.01,21.37
2070,21.91,23.78,20.94,23.35,22.88,23.36,21.69,21.90,23.97,21.33
2071,22.09,24.01,21.10,23.51,23.00,23.48,21.88,22.04,24.17,21.53
2072,21.76,23.73,20.69,23.22,22.74,23.33,21.49,21.70,23.95,21.21
2073,21.81,23.75,20.81,23.27,22.78,23.21,21.55,21.77,23.85,21.26
2074,22.01,23.91,21.02,23.43,22.95,23.47,21.78,21.97,24.09,21.48
2075,21.78,23.75,20.77,23.22,22.76,23.31,21.53,21.73,23.94,21.21
2076,21.80,23.79,20.75,23.28,22.78,23.33,21.55,21.74,23.93,21.24
2077,21.94,23.87,20.99,23.37,22.89,23.42,21.71,21.95,24.05,21.36
2078,21.63,23.59,20.66,23.07,22.65,23.21,21.34,21.63,23.76,21.07
2079,21.81,23.80,20.84,23.34,22.79,23.20,21.57,21.80,23.93,21.22
2080,21.95,24.01,21.01,23.50,22.88,23.18,21.71,21.98,23.97,21.36
2081,21.71,23.68,20.70,23.17,22.67,23.37,21.45,21.69,24.01,21.14
2082,21.85,23.82,20.82,23.35,22.86,23.32,21.59,21.85,23.94,21.29
2083,21.92,23.86,20.86,23.37,22.83,23.27,21.72,21.90,23.95,21.42
2084,21.90,23.83,20.87,23.34,22.85,23.32,21.70,21.90,23.96,21.35
2085,21.64,23.61,20.57,23.12,22.71,23.23,21.36,21.58,23.83,21.06
2086,21.93,23.88,20.85,23.43,22.93,23.21,21.69,21.90,23.86,21.42
2087,21.95,23.89,20.96,23.45,22.96,23.28,21.69,21.95,23.91,21.37
2088,21.69,23.69,20.72,23.19,22.67,23.14,21.41,21.67,23.80,21.14
2089,21.68,23.66,20.68,23.19,22.72,23.17,21.40,21.67,23.82,21.09
2090,21.80,23.80,20.80,23.29,22.82,23.36,21.53,21.78,23.96,21.20
2091,21.96,23.92,21.00,23.45,22.96,23.33,21.67,21.91,23.99,21.39
2092,21.66,23.71,20.70,23.18,22.65,23.17,21.35,21.60,23.86,21.09
2093,21.71,23.67,20.72,23.18,22.68,23.15,21.44,21.71,23.80,21.12
2094,21.85,23.85,20.82,23.36,22.84,23.28,21.59,21.85,23.95,21.31
2095,21.72,23.71,20.69,23.20,22.72,23.18,21.46,21.66,23.87,21.13
2096,21.65,23.66,20.60,23.17,22.69,23.15,21.36,21.64,23.77,21.07
2097,21.65,23.65,20.66,23.15,22.61,23.10,21.38,21.64,23.75,21.07
2098,21.62,23.56,20.63,23.04,22.52,23.11,21.39,21.60,23.68,21.10
2099,21.77,23.66,20.85,23.18,22.75,23.24,21.49,21.78,23.82,21.18
2100,21.79,23.87,20.77,23.35,22.85,23.37,21.51,21.71,23.99,21.18
