Variable:,tasmax
2015,25.36
2016,25.46
2017,25.58
2018,25.55
2019,25.53
2020,25.42
2021,25.48
2022,25.75
2023,25.66
2024,25.59
2025,25.51
2026,25.57
2027,25.63
2028,25.80
2029,25.72
2030,25.76
2031,25.85
2032,25.82
2033,25.84
2034,25.89
2035,25.91
2036,25.78
2037,26.02
2038,26.12
2039,26.02
2040,25.93
2041,25.97
2042,26.03
2043,26.02
2044,26.16
2045,26.00
2046,26.03
2047,26.20
2048,26.25
2049,26.14
2050,26.11
2051,26.17
2052,26.18
2053,26.18
2054,26.16
2055,26.27
2056,26.22
2057,26.34
2058,26.24
2059,26.43
2060,26.63
2061,26.31
2062,26.32
2063,26.56
2064,26.43
2065,26.51
2066,26.48
2067,26.63
2068,26.52
2069,26.45
2070,26.49
2071,26.47
2072,26.55
2073,26.65
2074,26.54
2075,26.51
2076,26.60
2077,26.66
2078,26.58
2079,26.65
2080,26.61
2081,26.73
2082,26.74
2083,26.64
2084,26.73
2085,26.72
2086,26.66
2087,26.74
2088,26.63
2089,26.77
2090,26.75
2091,26.80
2092,26.82
2093,26.72
2094,26.72
2095,26.79
2096,26.83
2097,26.84
2098,26.96
2099,26.85
2100,26.83
