Variable:,tasmin
,"Congo (Democratic Republic of the)",Bandundu,Bas-Congo,Equateur,"Kasai Occidental","Kasai Oriental",Katanga,Kinshasa,Maniema,Nord-Kivu,Orientale,Sud-Kivu
2015,18.93,19.62,20.55,20.50,18.69,19.10,16.63,19.83,19.36,16.50,19.53,17.45
2016,18.94,19.52,20.51,20.53,18.65,19.09,16.58,19.75,19.40,16.63,19.59,17.48
2017,19.28,19.93,20.77,20.84,19.07,19.47,17.02,20.05,19.71,16.93,19.81,17.83
2018,19.14,19.90,20.79,20.73,18.96,19.32,16.87,20.01,19.52,16.66,19.67,17.61
2019,19.06,19.84,20.63,20.64,18.96,19.34,16.66,19.93,19.52,16.70,19.60,17.57
2020,19.39,20.00,20.99,20.98,19.11,19.55,17.09,20.25,19.78,16.97,20.00,17.89
2021,19.25,19.92,20.75,20.84,19.04,19.45,16.91,20.06,19.68,16.85,19.85,17.81
2022,19.26,19.99,20.83,20.83,19.03,19.43,17.02,20.13,19.65,16.84,19.80,17.71
2023,19.25,19.99,20.80,20.90,19.07,19.45,16.86,20.15,19.70,16.82,19.81,17.72
2024,19.38,20.07,20.90,20.98,19.13,19.55,17.02,20.21,19.85,16.99,19.98,17.87
2025,19.46,20.17,20.91,21.04,19.29,19.67,17.16,20.25,19.93,17.18,19.98,18.04
2026,19.51,20.25,21.10,21.13,19.32,19.65,17.13,20.41,19.92,17.17,20.13,18.03
2027,19.29,20.00,20.74,20.84,19.11,19.47,16.94,20.11,19.75,16.91,19.90,17.84
2028,19.52,20.19,21.06,21.08,19.34,19.75,17.24,20.35,19.95,17.06,20.10,17.96
2029,19.37,20.08,21.02,20.98,19.11,19.53,17.13,20.31,19.73,16.96,19.94,17.85
2030,19.48,20.18,20.92,20.98,19.34,19.68,17.22,20.30,19.97,17.02,20.03,18.07
2031,19.69,20.36,21.18,21.28,19.51,19.95,17.31,20.40,20.15,17.27,20.29,18.21
2032,19.45,20.18,21.07,21.01,19.27,19.67,17.19,20.37,19.94,17.00,19.98,17.94
2033,19.42,20.17,20.90,21.04,19.19,19.53,17.02,20.24,19.82,16.99,20.06,17.89
2034,19.50,20.21,21.05,21.07,19.29,19.74,17.10,20.35,20.02,17.10,20.10,18.13
2035,19.68,20.46,21.33,21.28,19.48,19.95,17.25,20.70,20.22,17.24,20.24,18.30
2036,19.69,20.32,21.13,21.26,19.47,19.92,17.33,20.40,20.18,17.25,20.30,18.27
2037,19.56,20.28,21.12,21.11,19.41,19.77,17.26,20.46,20.02,17.11,20.09,18.16
2038,19.75,20.44,21.28,21.32,19.56,19.99,17.35,20.61,20.27,17.29,20.34,18.31
