Variable:,tas
,Nauru,"Administrative unit not available"
2015,27.78,27.68
2016,27.82,27.73
2017,27.86,27.80
2018,27.89,27.80
2019,27.96,27.86
2020,28.02,27.92
2021,27.93,27.81
2022,27.84,27.70
2023,28.05,27.98
2024,28.03,27.93
2025,27.95,27.84
2026,27.93,27.87
2027,28.00,27.88
2028,28.04,27.95
2029,27.98,27.89
2030,27.98,27.88
2031,28.09,27.95
2032,28.11,28.04
2033,28.12,28.01
2034,27.91,27.83
2035,28.14,28.05
2036,28.29,28.20
2037,28.43,28.33
2038,28.23,28.14
2039,28.27,28.16
2040,28.05,27.96
2041,28.16,28.08
2042,28.46,28.38
2043,28.39,28.27
2044,28.28,28.19
2045,28.26,28.15
2046,28.33,28.24
2047,28.39,28.28
2048,28.27,28.18
2049,28.46,28.35
2050,28.45,28.35
2051,28.33,28.25
2052,28.28,28.17
2053,28.24,28.15
2054,28.38,28.27
2055,28.44,28.37
2056,28.33,28.15
2057,28.51,28.39
2058,28.35,28.27
2059,28.38,28.28
2060,28.48,28.40
2061,28.34,28.26
2062,28.57,28.48
2063,28.18,28.11
2064,28.34,28.25
2065,28.30,28.21
2066,28.37,28.29
2067,28.26,28.16
2068,28.33,28.25
2069,28.64,28.52
2070,28.40,28.30
2071,28.53,28.43
2072,28.26,28.17
2073,28.55,28.48
2074,28.49,28.42
2075,28.36,28.27
2076,28.37,28.28
2077,28.46,28.35
2078,28.40,28.28
2079,28.32,28.20
2080,28.46,28.37
2081,28.43,28.34
2082,28.60,28.49
2083,28.56,28.47
2084,28.53,28.41
2085,28.30,28.19
2086,28.54,28.43
2087,28.35,28.26
2088,28.35,28.26
2089,28.37,28.29
2090,28.47,28.36
2091,28.52,28.42
2092,28.22,28.14
2093,28.33,28.19
2094,28.41,28.31
2095,28.34,28.24
2096,28.39,28.29
2097,28.23,28.13
2098,28.39,28.28
2099,28.26,28.18
2100,28.36,28.28
