Variable:,tasmax
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,26.35,26.43,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.96,25.94
2016,26.43,26.49,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.09,26.07
2017,26.58,26.64,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.22,26.20
2018,26.53,26.61,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.18,26.16
2019,26.47,26.56,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.13,26.11
2020,26.35,26.42,25.99,25.99,25.99,25.99,25.99,25.99,25.99,26.01,25.99
2021,26.44,26.50,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.08,26.06
2022,26.65,26.66,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.35,26.33
2023,26.63,26.69,26.28,26.28,26.28,26.28,26.28,26.28,26.28,26.30,26.28
2024,26.62,26.64,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.23,26.21
2025,26.51,26.57,26.10,26.10,26.10,26.10,26.10,26.10,26.10,26.12,26.10
2026,26.52,26.60,26.10,26.10,26.10,26.10,26.10,26.10,26.10,26.12,26.10
2027,26.67,26.70,26.28,26.28,26.28,26.28,26.28,26.28,26.28,26.30,26.28
2028,26.74,26.82,26.39,26.39,26.39,26.39,26.39,26.39,26.39,26.41,26.39
2029,26.74,26.86,26.31,26.31,26.31,26.31,26.31,26.31,26.31,26.33,26.31
2030,26.69,26.69,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.35,26.33
2031,26.77,26.71,26.45,26.45,26.45,26.45,26.45,26.45,26.45,26.47,26.45
2032,26.76,26.81,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.44,26.42
2033,26.81,26.82,26.46,26.46,26.46,26.46,26.46,26.46,26.46,26.48,26.46
2034,26.84,26.85,26.48,26.48,26.48,26.48,26.48,26.48,26.48,26.50,26.48
2035,26.86,26.93,26.48,26.48,26.48,26.48,26.48,26.48,26.48,26.50,26.48
2036,26.77,26.86,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.40,26.38
2037,26.96,27.02,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.62,26.60
2038,27.02,27.02,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.71,26.69
2039,26.95,26.95,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.63,26.61
2040,26.86,26.86,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.52,26.50
2041,26.96,26.99,26.54,26.54,26.54,26.54,26.54,26.54,26.54,26.56,26.54
2042,27.01,27.11,26.63,26.63,26.63,26.63,26.63,26.63,26.63,26.65,26.63
2043,26.89,27.00,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.61,26.59
2044,26.99,27.04,26.72,26.72,26.72,26.72,26.72,26.72,26.72,26.74,26.72
2045,26.96,27.00,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.63,26.61
2046,26.93,27.07,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.59,26.57
2047,27.19,27.13,26.81,26.81,26.81,26.81,26.81,26.81,26.81,26.83,26.81
2048,27.21,27.23,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.88,26.86
2049,27.11,27.16,26.73,26.73,26.73,26.73,26.73,26.73,26.73,26.75,26.73
2050,27.01,27.08,26.70,26.70,26.70,26.70,26.70,26.70,26.70,26.72,26.70
2051,27.17,27.24,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.80,26.78
2052,27.19,27.30,26.81,26.81,26.81,26.81,26.81,26.81,26.81,26.83,26.81
2053,27.10,27.18,26.72,26.72,26.72,26.72,26.72,26.72,26.72,26.74,26.72
2054,27.10,27.22,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.80,26.78
2055,27.21,27.29,26.81,26.81,26.81,26.81,26.81,26.81,26.81,26.83,26.81
2056,27.11,27.27,26.80,26.80,26.80,26.80,26.80,26.80,26.80,26.82,26.80
2057,27.31,27.34,26.94,26.94,26.94,26.94,26.94,26.94,26.94,26.96,26.94
2058,27.27,27.29,26.85,26.85,26.85,26.85,26.85,26.85,26.85,26.88,26.85
2059,27.39,27.46,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.02,27.00
2060,27.52,27.52,27.17,27.17,27.17,27.17,27.17,27.17,27.17,27.19,27.17
2061,27.26,27.24,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.93,26.91
2062,27.23,27.26,26.90,26.90,26.90,26.90,26.90,26.90,26.90,26.92,26.90
2063,27.54,27.51,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.16,27.14
2064,27.39,27.45,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.05,27.03
2065,27.50,27.54,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.09,27.07
2066,27.42,27.48,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.07,27.05
2067,27.57,27.57,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.23,27.21
2068,27.48,27.49,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.13,27.11
2069,27.54,27.61,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.08,27.05
2070,27.45,27.45,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.13,27.11
2071,27.37,27.45,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.08,27.06
2072,27.49,27.48,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.16,27.14
2073,27.68,27.71,27.28,27.28,27.28,27.28,27.28,27.28,27.28,27.30,27.28
2074,27.45,27.50,27.10,27.10,27.10,27.10,27.10,27.10,27.10,27.12,27.10
2075,27.35,27.49,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.09,27.07
2076,27.60,27.62,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.22,27.20
2077,27.63,27.72,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.26,27.24
2078,27.57,27.60,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.21,27.19
2079,27.65,27.68,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.28,27.26
2080,27.59,27.71,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.24,27.22
2081,27.61,27.66,27.28,27.28,27.28,27.28,27.28,27.28,27.28,27.30,27.28
2082,27.66,27.82,27.32,27.32,27.32,27.32,27.32,27.32,27.32,27.34,27.32
2083,27.72,27.74,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.30,27.27
2084,27.68,27.77,27.35,27.35,27.35,27.35,27.35,27.35,27.35,27.37,27.35
2085,27.64,27.68,27.29,27.29,27.29,27.29,27.29,27.29,27.29,27.31,27.29
2086,27.52,27.63,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.23,27.21
2087,27.65,27.76,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.29,27.27
2088,27.63,27.74,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.22,27.20
2089,27.69,27.75,27.35,27.35,27.35,27.35,27.35,27.35,27.35,27.37,27.35
2090,27.71,27.80,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.36,27.34
2091,27.78,27.81,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.38,27.36
2092,27.78,27.80,27.44,27.44,27.44,27.44,27.44,27.44,27.44,27.46,27.44
2093,27.61,27.62,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.29,27.27
2094,27.64,27.68,27.32,27.32,27.32,27.32,27.32,27.32,27.32,27.34,27.32
2095,27.73,27.82,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.35,27.33
2096,27.77,27.84,27.42,27.42,27.42,27.42,27.42,27.42,27.42,27.44,27.42
2097,27.82,27.87,27.44,27.44,27.44,27.44,27.44,27.44,27.44,27.46,27.44
2098,27.88,27.89,27.54,27.54,27.54,27.54,27.54,27.54,27.54,27.56,27.54
2099,27.88,27.92,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.48,27.46
2100,27.83,27.89,27.42,27.42,27.42,27.42,27.42,27.42,27.42,27.44,27.42
