Variable:,tas
2015,24.32
2016,24.45
2017,24.66
2018,24.59
2019,24.72
2020,24.56
2021,24.61
2022,24.78
2023,24.71
2024,24.87
2025,24.82
2026,24.84
2027,25.03
2028,24.89
2029,24.89
2030,24.87
2031,24.95
2032,25.00
2033,24.79
2034,25.07
2035,25.13
2036,24.96
2037,25.10
2038,25.18
2039,25.22
2040,25.21
2041,25.20
2042,25.29
2043,25.30
2044,25.25
2045,25.35
2046,25.39
2047,25.46
2048,25.44
2049,25.37
2050,25.49
2051,25.50
2052,25.57
2053,25.54
2054,25.64
2055,25.61
2056,25.70
2057,25.88
2058,25.69
2059,25.77
2060,25.84
2061,25.81
2062,25.85
2063,26.08
2064,25.90
2065,25.92
2066,25.89
2067,25.84
2068,25.91
2069,26.02
2070,26.00
2071,25.87
2072,25.93
2073,26.41
2074,26.29
2075,26.00
2076,26.07
2077,25.97
2078,26.27
2079,26.21
2080,26.10
2081,26.25
2082,26.14
2083,26.35
2084,26.23
2085,26.26
2086,26.27
2087,26.33
2088,26.47
2089,26.39
2090,26.40
2091,26.42
2092,26.39
2093,26.32
2094,26.43
2095,26.31
2096,26.49
2097,26.41
2098,26.55
2099,26.34
2100,26.29
