Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2015,13.90,11.01,12.40,0.58,11.27,6.81,12.94,4.48,4.25,5.67,6.14,15.89,5.57,12.61,17.83,13.47,20.77,15.61,11.58,7.56,17.26,0.62,11.26,13.52,17.80,19.09
2016,13.90,11.02,12.47,0.59,11.26,6.83,12.99,4.37,4.22,5.71,6.17,15.89,5.63,12.67,17.90,13.51,20.76,15.62,11.46,7.59,17.30,0.53,11.31,13.38,17.79,19.10
2017,13.90,10.92,12.45,0.56,11.30,6.85,12.90,4.47,4.24,5.72,6.16,15.99,5.57,12.63,17.83,13.54,20.77,15.61,11.60,7.59,17.25,0.63,11.27,13.50,17.79,19.09
2018,13.97,11.00,12.51,0.72,11.38,6.96,13.01,4.58,4.33,5.82,6.23,15.99,5.70,12.70,17.99,13.60,20.84,15.61,11.68,7.68,17.34,0.73,11.30,13.59,17.85,19.14
2019,14.15,11.22,12.71,0.75,11.48,7.08,13.20,4.71,4.44,5.89,6.40,16.13,5.80,12.90,18.15,13.74,21.04,15.83,11.84,7.80,17.52,0.83,11.51,13.80,18.03,19.36
2020,14.12,11.19,12.70,0.77,11.51,7.07,13.20,4.68,4.40,5.92,6.34,16.15,5.80,12.90,18.12,13.75,21.02,15.79,11.78,7.79,17.52,0.82,11.49,13.75,18.05,19.33
2021,14.17,11.28,12.59,0.66,11.39,6.95,13.16,4.59,4.41,5.86,6.38,16.00,5.81,12.79,17.94,13.65,21.10,15.91,11.72,7.83,17.39,0.83,11.54,13.67,17.94,19.38
2022,14.11,11.16,12.60,0.77,11.48,7.08,13.09,4.71,4.41,5.95,6.38,16.07,5.77,12.79,18.00,13.72,21.00,15.76,11.78,7.78,17.45,0.83,11.43,13.76,18.03,19.31
2023,14.18,11.30,12.69,0.74,11.49,7.04,13.25,4.73,4.47,5.91,6.36,16.17,5.78,12.92,18.17,13.73,21.11,15.89,11.73,7.79,17.49,0.86,11.54,13.69,18.05,19.33
2024,14.33,11.43,12.91,0.91,11.73,7.25,13.44,4.89,4.57,6.14,6.63,16.33,6.04,13.14,18.37,13.95,21.23,15.97,12.05,8.01,17.79,0.93,11.74,13.88,18.24,19.50
2025,14.30,11.33,12.76,0.94,11.65,7.16,13.28,4.91,4.64,6.04,6.48,16.20,5.98,12.98,18.25,13.81,21.22,15.99,12.05,7.94,17.69,1.03,11.59,13.98,18.21,19.45
2026,14.30,11.36,12.84,0.98,11.71,7.25,13.30,4.88,4.63,6.08,6.58,16.33,5.97,13.01,18.23,13.91,21.21,15.95,12.00,8.01,17.57,0.97,11.68,13.91,18.06,19.51
2027,14.21,11.16,12.74,0.87,11.59,7.10,13.21,4.84,4.58,5.95,6.42,16.26,5.85,12.91,18.21,13.86,21.07,15.96,11.94,7.84,17.60,1.01,11.47,13.86,18.18,19.40
2028,14.33,11.37,12.85,0.96,11.70,7.24,13.34,4.90,4.66,6.11,6.57,16.32,6.02,13.01,18.24,13.91,21.22,16.02,12.02,8.01,17.69,1.05,11.70,14.03,18.22,19.51
2029,14.43,11.48,12.98,1.12,11.80,7.36,13.50,4.99,4.76,6.24,6.66,16.39,6.10,13.18,18.43,14.05,21.32,16.07,12.06,8.07,17.80,1.13,11.76,13.96,18.35,19.60
2030,14.29,11.29,12.81,0.88,11.61,7.16,13.33,4.87,4.58,6.06,6.48,16.31,5.95,13.04,18.36,13.90,21.19,15.92,11.97,7.92,17.72,1.01,11.65,14.04,18.23,19.48
2031,14.42,11.48,13.00,1.10,11.77,7.34,13.45,4.92,4.75,6.22,6.72,16.37,6.14,13.15,18.34,14.06,21.27,16.11,12.10,8.17,17.76,1.11,11.84,14.01,18.34,19.63
2032,14.37,11.41,12.85,1.12,11.73,7.31,13.38,4.92,4.74,6.17,6.61,16.29,6.05,13.06,18.28,13.93,21.23,16.10,11.99,8.03,17.64,1.14,11.72,13.90,18.22,19.59
2033,14.47,11.50,12.99,1.19,11.85,7.43,13.51,5.02,4.84,6.24,6.70,16.47,6.15,13.19,18.43,14.09,21.35,16.14,12.07,8.13,17.87,1.12,11.80,14.01,18.38,19.65
2034,14.46,11.51,13.04,1.09,11.86,7.35,13.51,4.90,4.78,6.20,6.70,16.53,6.11,13.23,18.47,14.09,21.35,16.20,12.07,8.11,17.85,1.12,11.76,14.04,18.30,19.69
2035,14.46,11.51,12.94,1.16,11.79,7.42,13.48,5.01,4.80,6.24,6.69,16.37,6.12,13.19,18.44,14.04,21.34,16.18,12.06,8.12,17.80,1.13,11.81,14.00,18.39,19.70
2036,14.63,11.71,13.12,1.26,11.93,7.49,13.66,5.16,5.00,6.39,6.86,16.47,6.29,13.36,18.59,14.17,21.53,16.32,12.24,8.27,18.02,1.36,11.96,14.19,18.61,19.80
2037,14.55,11.61,13.00,1.19,11.89,7.44,13.52,5.08,4.92,6.34,6.78,16.48,6.23,13.24,18.38,14.07,21.45,16.24,12.21,8.22,17.80,1.26,11.90,14.22,18.34,19.73
2038,14.49,11.55,13.05,1.21,11.92,7.44,13.58,5.13,4.81,6.29,6.69,16.60,6.08,13.32,18.52,14.15,21.36,16.22,12.11,8.10,17.93,1.23,11.85,14.05,18.47,19.64
2039,14.61,11.65,13.10,1.39,12.00,7.57,13.59,5.22,5.03,6.43,6.84,16.56,6.27,13.30,18.49,14.19,21.42,16.33,12.23,8.27,17.95,1.39,12.00,14.20,18.48,19.84
2040,14.45,11.55,12.88,1.12,11.75,7.31,13.53,4.93,4.82,6.17,6.70,16.32,6.12,13.12,18.31,13.99,21.33,16.20,12.01,8.14,17.75,1.20,11.80,13.96,18.24,19.65
2041,14.54,11.59,13.08,1.24,11.97,7.50,13.54,5.18,4.90,6.38,6.77,16.58,6.24,13.26,18.44,14.20,21.42,16.19,12.27,8.22,17.83,1.32,11.87,14.20,18.35,19.71
2042,14.70,11.77,13.28,1.44,12.08,7.66,13.73,5.28,5.02,6.53,6.94,16.72,6.33,13.48,18.72,14.36,21.59,16.30,12.38,8.33,18.13,1.41,12.08,14.31,18.70,19.88
2043,14.66,11.66,13.14,1.29,12.00,7.53,13.61,5.21,5.00,6.43,6.91,16.55,6.39,13.29,18.47,14.22,21.54,16.40,12.31,8.31,17.88,1.37,12.02,14.20,18.41,19.91
2044,14.55,11.57,13.11,1.33,11.91,7.52,13.60,5.22,4.94,6.37,6.76,16.58,6.23,13.30,18.57,14.20,21.41,16.22,12.21,8.22,17.95,1.33,11.83,14.12,18.49,19.71
2045,14.66,11.71,13.21,1.35,11.99,7.60,13.74,5.26,5.01,6.45,6.92,16.58,6.36,13.43,18.65,14.28,21.52,16.32,12.31,8.36,18.05,1.38,12.01,14.27,18.54,19.83
2046,14.89,11.92,13.41,1.62,12.28,7.93,13.92,5.43,5.17,6.72,7.06,16.92,6.50,13.62,18.78,14.49,21.78,16.57,12.55,8.48,18.14,1.57,12.22,14.41,18.67,20.06
2047,14.61,11.66,13.12,1.38,12.07,7.65,13.63,5.28,5.04,6.46,6.87,16.75,6.32,13.32,18.55,14.27,21.44,16.30,12.39,8.33,17.97,1.39,11.95,14.37,18.47,19.81
2048,14.75,11.78,13.21,1.41,12.11,7.65,13.71,5.33,5.03,6.47,6.92,16.72,6.32,13.45,18.66,14.30,21.69,16.44,12.43,8.29,18.03,1.46,12.07,14.38,18.49,19.89
2049,14.85,11.93,13.40,1.52,12.15,7.75,13.92,5.40,5.17,6.66,7.08,16.78,6.52,13.58,18.83,14.50,21.75,16.48,12.53,8.49,18.23,1.58,12.18,14.41,18.74,20.04
2050,14.95,11.99,13.36,1.70,12.34,7.93,13.92,5.43,5.29,6.79,7.15,17.04,6.66,13.63,18.74,14.47,21.85,16.63,12.58,8.61,18.13,1.62,12.30,14.56,18.57,20.14
2051,14.77,11.84,13.32,1.49,12.21,7.76,13.81,5.25,5.05,6.61,7.01,16.78,6.44,13.53,18.76,14.39,21.65,16.44,12.48,8.41,18.10,1.38,12.18,14.41,18.61,20.01
2052,14.70,11.73,13.21,1.38,12.10,7.68,13.71,5.25,5.06,6.53,6.90,16.80,6.40,13.41,18.58,14.39,21.60,16.38,12.37,8.34,17.95,1.42,12.03,14.30,18.50,19.87
2053,14.75,11.80,13.20,1.43,12.16,7.71,13.71,5.31,5.06,6.51,6.94,16.73,6.42,13.43,18.64,14.30,21.64,16.47,12.41,8.39,18.01,1.45,12.10,14.34,18.49,19.97
2054,14.56,11.65,13.14,1.38,12.02,7.62,13.71,5.25,4.96,6.43,6.76,16.63,6.21,13.39,18.67,14.25,21.39,16.18,12.31,8.20,18.03,1.38,11.87,14.20,18.54,19.71
2055,14.69,11.66,13.15,1.44,12.04,7.66,13.61,5.29,5.06,6.51,6.92,16.61,6.39,13.33,18.53,14.24,21.57,16.39,12.32,8.35,17.96,1.48,12.01,14.22,18.51,19.89
2056,14.83,11.87,13.40,1.64,12.27,7.82,13.88,5.48,5.28,6.67,7.01,16.84,6.54,13.61,18.87,14.47,21.65,16.55,12.54,8.45,18.24,1.66,12.19,14.41,18.76,19.96
2057,14.72,11.78,13.25,1.43,12.10,7.68,13.75,5.34,5.05,6.51,6.95,16.71,6.38,13.49,18.69,14.31,21.61,16.42,12.36,8.34,18.09,1.43,12.10,14.22,18.58,19.85
2058,14.76,11.83,13.28,1.39,12.11,7.62,13.78,5.30,5.10,6.55,7.02,16.68,6.48,13.47,18.67,14.38,21.61,16.49,12.47,8.48,18.04,1.47,12.15,14.44,18.54,19.97
2059,14.78,11.78,13.37,1.58,12.16,7.71,13.85,5.50,5.20,6.61,6.98,16.80,6.46,13.57,18.89,14.46,21.62,16.48,12.49,8.43,18.28,1.60,12.07,14.38,18.69,19.98
2060,14.84,11.84,13.38,1.55,12.19,7.77,13.86,5.39,5.13,6.64,7.02,16.81,6.45,13.53,18.70,14.44,21.75,16.48,12.43,8.37,18.14,1.56,12.19,14.31,18.70,20.05
2061,14.78,11.86,13.34,1.57,12.18,7.78,13.74,5.35,5.18,6.60,7.05,16.80,6.44,13.51,18.77,14.34,21.65,16.46,12.45,8.44,18.06,1.56,12.16,14.34,18.60,19.95
2062,14.69,11.67,13.19,1.46,12.32,7.74,13.60,5.31,5.00,6.58,6.87,16.88,6.33,13.40,18.63,14.33,21.56,16.35,12.43,8.27,18.03,1.43,12.02,14.39,18.54,19.87
2063,14.67,11.74,13.20,1.24,11.95,7.50,13.68,5.14,4.93,6.38,6.95,16.64,6.33,13.38,18.66,14.24,21.60,16.38,12.24,8.36,18.14,1.25,12.05,14.20,18.61,19.89
2064,14.83,11.77,13.30,1.47,12.20,7.71,13.69,5.45,5.14,6.55,7.00,16.85,6.45,13.46,18.60,14.38,21.79,16.52,12.52,8.47,17.97,1.49,12.14,14.49,18.44,20.06
2065,14.67,11.75,13.18,1.33,12.04,7.64,13.71,5.15,4.95,6.54,6.87,16.65,6.42,13.43,18.67,14.26,21.55,16.32,12.29,8.34,18.03,1.30,12.06,14.22,18.51,19.85
2066,14.92,11.99,13.56,1.55,12.30,7.87,14.08,5.46,5.20,6.77,7.18,16.99,6.59,13.80,19.14,14.62,21.79,16.60,12.54,8.61,18.46,1.58,12.28,14.49,18.87,20.08
2067,14.92,12.00,13.33,1.63,12.26,7.82,13.93,5.39,5.23,6.67,7.17,16.76,6.60,13.59,18.83,14.46,21.83,16.63,12.56,8.58,18.17,1.59,12.33,14.50,18.72,20.12
2068,14.84,11.92,13.32,1.57,12.22,7.81,13.85,5.40,5.19,6.67,7.06,16.75,6.48,13.51,18.81,14.41,21.73,16.51,12.51,8.46,18.17,1.57,12.16,14.48,18.61,20.02
2069,14.86,11.93,13.47,1.53,12.11,7.72,13.92,5.36,5.15,6.60,7.15,16.77,6.50,13.65,18.88,14.52,21.75,16.48,12.48,8.54,18.29,1.49,12.21,14.44,18.78,20.09
2070,14.90,11.96,13.50,1.60,12.33,7.86,13.97,5.43,5.22,6.73,7.14,17.02,6.57,13.71,18.87,14.59,21.76,16.58,12.53,8.53,18.32,1.59,12.28,14.50,18.92,20.07
2071,14.85,11.89,13.29,1.60,12.23,7.82,13.80,5.49,5.23,6.62,7.08,16.75,6.51,13.49,18.69,14.36,21.71,16.51,12.60,8.49,18.10,1.67,12.20,14.50,18.62,20.10
2072,14.71,11.73,13.27,1.52,12.12,7.70,13.77,5.35,5.12,6.54,6.92,16.77,6.36,13.48,18.82,14.36,21.56,16.36,12.38,8.32,18.16,1.45,12.03,14.30,18.57,19.92
2073,14.92,11.95,13.47,1.67,12.42,7.95,13.90,5.52,5.24,6.81,7.13,17.05,6.63,13.63,18.80,14.63,21.79,16.62,12.70,8.59,18.22,1.64,12.24,14.63,18.73,20.11
2074,14.88,11.92,13.27,1.48,12.18,7.71,13.80,5.37,5.26,6.54,7.11,16.79,6.49,13.50,18.70,14.33,21.74,16.70,12.46,8.52,18.04,1.57,12.28,14.41,18.58,20.17
2075,14.78,11.87,13.32,1.48,12.18,7.72,13.79,5.39,5.16,6.61,7.06,16.75,6.51,13.49,18.68,14.40,21.63,16.47,12.45,8.44,18.05,1.51,12.20,14.42,18.59,19.99
