Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,24.45,24.76,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.07,24.05
2016,24.47,24.71,24.12,24.12,24.12,24.12,24.12,24.12,24.12,24.14,24.12
2017,24.48,24.76,24.10,24.10,24.10,24.10,24.10,24.10,24.10,24.12,24.10
2018,24.70,24.95,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.30,24.28
2019,24.57,24.89,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.18,24.16
2020,24.68,24.93,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.31,24.29
2021,24.63,24.83,24.24,24.24,24.24,24.24,24.24,24.24,24.24,24.26,24.24
2022,24.62,24.90,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.27,24.25
2023,24.72,25.00,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.34,24.32
2024,24.84,25.12,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.44,24.42
2025,24.76,25.02,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.44,24.42
2026,24.72,25.03,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.37,24.35
2027,24.71,24.95,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.30,24.28
2028,24.91,25.13,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.50,24.48
2029,24.79,25.04,24.37,24.37,24.37,24.37,24.37,24.37,24.37,24.39,24.37
2030,24.79,25.07,24.40,24.40,24.40,24.40,24.40,24.40,24.40,24.42,24.40
2031,24.74,24.97,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.38,24.36
2032,24.85,25.08,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.46,24.44
2033,24.78,25.06,24.40,24.40,24.40,24.40,24.40,24.40,24.40,24.42,24.40
2034,24.82,25.09,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.46,24.44
2035,24.88,25.10,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.55,24.53
2036,24.97,25.21,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.64,24.62
2037,24.91,25.16,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.59,24.57
2038,24.93,25.18,24.55,24.55,24.55,24.55,24.55,24.55,24.55,24.57,24.55
2039,24.93,25.21,24.49,24.49,24.49,24.49,24.49,24.49,24.49,24.51,24.49
2040,24.90,25.12,24.49,24.49,24.49,24.49,24.49,24.49,24.49,24.51,24.49
2041,24.80,25.16,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.45,24.43
2042,25.00,25.29,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.68,24.66
2043,24.97,25.25,24.58,24.58,24.58,24.58,24.58,24.58,24.58,24.60,24.58
2044,24.92,25.15,24.50,24.50,24.50,24.50,24.50,24.50,24.50,24.52,24.50
2045,24.97,25.23,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.59,24.57
2046,24.98,25.26,24.58,24.58,24.58,24.58,24.58,24.58,24.58,24.60,24.58
2047,24.97,25.23,24.58,24.58,24.58,24.58,24.58,24.58,24.58,24.60,24.58
2048,24.89,25.12,24.50,24.50,24.50,24.50,24.50,24.50,24.50,24.52,24.50
2049,24.97,25.25,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.67,24.66
2050,25.14,25.40,24.73,24.73,24.73,24.73,24.73,24.73,24.73,24.75,24.73
