Variable:,tasmin
,Svalbard,"Administrative unit not available"
2015,-8.41,-7.55
2016,-8.72,-7.76
2017,-8.14,-7.29
2018,-7.94,-7.10
2019,-7.65,-6.80
2020,-7.24,-6.40
2021,-8.03,-7.21
2022,-7.94,-7.15
2023,-8.16,-7.34
2024,-7.66,-6.91
2025,-8.03,-7.26
2026,-7.52,-6.72
2027,-7.93,-7.14
2028,-7.52,-6.68
2029,-7.92,-7.11
2030,-6.87,-6.09
2031,-7.09,-6.31
2032,-7.84,-6.96
2033,-7.21,-6.40
2034,-7.03,-6.27
2035,-7.27,-6.56
2036,-6.95,-6.18
2037,-6.42,-5.68
2038,-6.89,-6.07
2039,-6.79,-6.02
2040,-6.40,-5.65
2041,-5.74,-5.11
2042,-6.78,-6.02
2043,-6.11,-5.39
2044,-6.45,-5.78
2045,-6.74,-6.03
2046,-6.40,-5.62
2047,-6.72,-5.96
2048,-6.33,-5.52
2049,-6.94,-6.12
2050,-6.85,-6.07
2051,-6.12,-5.41
2052,-6.29,-5.51
2053,-6.09,-5.29
2054,-5.86,-5.08
2055,-6.00,-5.27
2056,-5.34,-4.67
2057,-6.31,-5.38
2058,-5.76,-5.06
2059,-5.77,-5.10
2060,-5.68,-4.93
2061,-5.18,-4.49
2062,-6.03,-5.24
2063,-5.25,-4.48
2064,-4.56,-3.80
2065,-5.40,-4.58
2066,-6.02,-5.24
2067,-5.86,-5.11
2068,-5.95,-5.19
2069,-5.69,-4.99
2070,-5.62,-4.85
2071,-5.49,-4.75
2072,-5.03,-4.30
2073,-5.52,-4.74
2074,-5.02,-4.14
2075,-4.86,-4.08
2076,-5.04,-4.28
2077,-4.64,-3.87
2078,-4.79,-3.96
2079,-5.02,-4.28
2080,-5.16,-4.43
2081,-5.10,-4.43
2082,-5.86,-5.04
2083,-5.15,-4.44
2084,-5.33,-4.52
2085,-5.29,-4.39
2086,-5.76,-4.91
2087,-5.54,-4.75
2088,-5.32,-4.54
2089,-4.86,-4.25
2090,-4.97,-4.26
2091,-5.13,-4.44
2092,-5.42,-4.67
2093,-5.76,-4.97
2094,-5.45,-4.69
2095,-5.51,-4.67
2096,-4.78,-3.96
2097,-4.98,-4.26
2098,-5.87,-5.09
2099,-5.44,-4.74
2100,-5.50,-4.66
