Variable:,tas
,"New Caledonia","Administrative unit not available"
2015,23.08,23.48
2016,22.92,23.36
2017,22.91,23.33
2018,23.10,23.52
2019,23.08,23.47
2020,23.06,23.48
2021,23.11,23.52
2022,23.05,23.43
2023,23.04,23.46
2024,23.13,23.56
2025,23.16,23.56
2026,23.24,23.65
2027,23.22,23.66
2028,23.44,23.85
2029,23.21,23.62
2030,23.29,23.71
2031,23.37,23.77
2032,23.14,23.53
2033,23.20,23.61
2034,23.27,23.69
2035,23.42,23.83
2036,23.41,23.81
2037,23.31,23.74
2038,23.43,23.81
2039,23.22,23.66
2040,23.47,23.82
2041,23.53,23.93
2042,23.17,23.58
2043,23.27,23.69
2044,23.36,23.77
2045,23.50,23.89
2046,23.37,23.78
2047,23.44,23.86
2048,23.29,23.72
2049,23.40,23.81
2050,23.42,23.84
2051,23.27,23.67
2052,23.23,23.66
2053,23.29,23.64
2054,23.27,23.66
2055,23.37,23.76
2056,23.32,23.75
2057,23.22,23.60
2058,23.53,23.94
2059,23.48,23.90
2060,23.39,23.80
2061,23.26,23.69
2062,23.20,23.59
2063,23.27,23.64
2064,23.32,23.73
2065,23.35,23.79
2066,23.32,23.72
2067,23.30,23.70
2068,23.40,23.79
2069,23.29,23.68
2070,23.31,23.70
2071,23.41,23.77
2072,23.31,23.71
2073,23.39,23.79
2074,23.20,23.68
2075,23.39,23.80
2076,23.35,23.73
2077,23.26,23.65
2078,23.18,23.63
2079,23.07,23.47
2080,23.31,23.66
2081,23.35,23.72
2082,23.28,23.72
2083,23.33,23.73
2084,23.21,23.63
2085,23.24,23.64
2086,23.11,23.51
2087,22.92,23.34
2088,23.41,23.82
2089,23.19,23.61
2090,23.17,23.56
2091,23.31,23.70
2092,23.30,23.69
2093,23.10,23.56
2094,23.15,23.54
2095,23.10,23.49
2096,23.22,23.65
2097,23.11,23.51
2098,23.19,23.58
2099,23.26,23.67
2100,23.35,23.76
