Variable:,tas
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
2015,3.24,7.05,4.65,1.11,3.42,5.69,5.34
2016,3.25,7.18,4.78,0.88,3.50,5.83,5.51
2017,3.26,7.05,4.61,1.20,3.45,5.88,5.36
2018,3.96,7.63,5.25,2.00,4.13,6.49,5.98
2019,3.40,7.22,5.07,1.00,3.62,6.12,5.67
2020,3.44,7.81,4.82,1.20,3.56,6.32,5.76
2021,2.86,6.92,4.08,0.94,3.02,5.30,4.84
2022,3.45,7.43,4.99,1.07,3.61,6.19,5.76
2023,3.04,6.77,4.35,0.75,3.24,5.64,5.41
2024,3.28,7.40,4.65,1.02,3.35,6.05,5.69
2025,3.01,7.40,4.79,0.46,2.96,6.13,5.47
2026,3.04,6.84,4.45,0.80,3.14,5.70,5.35
2027,3.06,7.15,4.57,0.78,3.19,5.71,5.35
2028,3.86,7.67,5.28,1.73,4.07,6.30,5.87
2029,3.49,7.37,4.79,1.33,3.69,5.99,5.74
2030,2.98,6.73,4.47,0.83,3.15,5.60,5.05
2031,3.63,7.46,5.12,1.36,3.84,6.34,5.84
2032,3.18,7.33,4.96,0.65,3.36,6.09,5.48
2033,3.62,7.69,5.01,1.51,3.69,6.28,5.84
2034,4.33,8.11,5.72,2.14,4.50,6.93,6.51
2035,3.91,7.85,5.56,1.48,4.02,6.91,6.29
2036,3.78,7.63,5.26,1.65,3.96,6.46,5.82
2037,4.20,7.78,5.65,2.08,4.35,6.71,6.26
2038,3.50,7.46,4.98,1.12,3.67,6.33,5.86
2039,3.80,7.79,5.21,1.65,3.90,6.62,5.89
2040,4.14,8.11,5.60,1.92,4.26,7.04,6.36
2041,3.81,7.64,5.46,1.40,3.98,6.57,6.04
2042,3.73,7.30,5.15,1.68,3.91,6.13,5.73
2043,3.92,7.81,5.42,1.64,4.11,6.66,6.13
2044,3.43,7.40,5.01,1.12,3.58,6.15,5.66
2045,4.19,7.83,5.39,2.09,4.53,6.58,6.31
2046,3.21,7.34,4.54,1.06,3.23,5.85,5.48
2047,3.79,7.75,5.42,1.46,3.91,6.46,6.00
2048,4.22,7.67,5.62,2.03,4.46,6.71,6.33
2049,3.97,7.75,5.48,1.81,4.07,6.56,6.07
2050,4.07,7.58,5.43,2.04,4.26,6.47,6.06
2051,3.53,6.87,4.92,1.37,3.78,5.97,5.55
2052,3.34,7.76,4.89,1.04,3.42,6.07,5.67
2053,3.47,7.20,5.02,1.17,3.47,6.36,5.74
2054,3.86,7.56,5.29,1.70,3.95,6.42,6.07
2055,4.23,7.95,5.65,2.16,4.36,6.76,6.27
2056,3.46,7.79,5.06,1.06,3.48,6.51,5.88
2057,3.87,7.59,5.29,1.80,4.04,6.43,5.86
2058,3.80,7.80,5.35,1.53,4.02,6.47,5.93
2059,3.98,7.61,5.58,1.65,4.20,6.61,6.13
2060,3.85,7.41,5.33,1.55,4.09,6.31,5.98
2061,4.13,7.48,5.52,2.05,4.37,6.62,6.07
2062,3.50,7.34,4.81,1.49,3.56,6.02,5.56
2063,3.54,7.38,4.98,1.35,3.75,6.11,5.59
2064,4.23,7.78,5.58,2.25,4.41,6.70,6.16
2065,4.41,8.06,5.95,2.24,4.66,6.89,6.40
2066,3.88,7.43,5.46,1.59,4.10,6.50,5.99
2067,3.80,7.42,5.13,1.84,3.84,6.30,5.83
2068,4.19,7.83,5.67,2.02,4.30,6.75,6.30
2069,3.94,7.47,5.51,1.72,4.16,6.47,5.99
2070,3.31,7.45,4.49,1.22,3.57,5.86,5.52
2071,3.48,7.31,4.97,1.20,3.70,6.03,5.75
2072,3.47,7.65,4.89,1.28,3.57,6.21,5.70
2073,3.80,7.74,5.36,1.47,3.95,6.61,6.05
2074,3.48,7.34,4.73,1.63,3.58,5.82,5.37
2075,3.60,7.30,5.14,1.41,3.60,6.38,5.72
2076,3.89,7.80,5.29,1.81,3.93,6.49,6.00
2077,3.62,7.64,5.18,1.27,3.79,6.42,5.91
2078,4.00,7.45,5.68,1.61,4.15,6.74,6.24
2079,2.93,7.01,4.41,0.74,3.03,5.68,5.12
2080,3.62,7.67,5.30,1.20,3.77,6.43,5.91
2081,4.14,7.80,5.53,2.04,4.26,6.72,6.21
2082,3.75,7.59,5.23,1.64,3.90,6.24,5.81
2083,3.82,7.66,5.06,1.71,3.93,6.43,6.11
2084,3.81,6.93,5.38,1.58,4.06,6.26,5.85
2085,3.86,7.78,5.54,1.36,4.04,6.72,6.17
2086,3.51,7.54,5.22,1.00,3.68,6.12,5.83
2087,3.29,7.54,4.83,0.94,3.48,5.90,5.61
2088,3.55,7.14,5.21,1.23,3.65,6.26,5.72
2089,3.72,7.31,5.20,1.50,3.80,6.39,5.92
2090,3.25,7.22,4.79,0.87,3.31,6.16,5.64
2091,3.63,7.44,5.13,1.56,3.54,6.35,5.78
2092,3.86,7.81,5.25,1.86,3.97,6.52,5.87
2093,3.49,7.33,4.82,1.47,3.64,5.87,5.54
2094,3.45,7.18,4.68,1.52,3.49,5.72,5.47
2095,3.58,7.60,4.84,1.53,3.89,5.88,5.58
2096,3.20,6.94,4.64,1.01,3.33,5.81,5.33
2097,3.29,7.56,4.60,1.26,3.55,5.72,5.32
2098,3.37,7.14,4.62,1.41,3.44,5.88,5.45
2099,3.65,7.43,5.12,1.44,3.73,6.37,5.83
2100,3.95,7.51,5.32,1.82,4.03,6.64,6.12
