Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
2015,3.60,8.84,4.72,4.85,8.78,8.97,2.45,7.75,8.24,8.64,-0.04,7.09,7.38,9.19,7.56,7.67,7.22,6.83,2.04,3.65,6.91,8.17
2016,3.41,8.55,4.30,4.41,8.58,8.72,2.10,7.47,7.97,8.33,0.04,6.71,7.10,8.90,7.26,7.44,6.95,6.37,1.97,3.35,6.57,7.86
2017,3.50,8.83,4.36,4.53,8.77,8.89,2.15,7.60,8.17,8.58,0.14,6.78,7.19,9.21,7.36,7.55,7.06,6.42,2.04,3.49,6.65,7.91
2018,3.48,8.70,4.37,4.53,8.76,8.68,2.21,7.54,8.14,8.42,0.06,6.82,7.19,9.01,7.39,7.54,7.05,6.46,2.03,3.56,6.67,7.83
2019,3.78,8.75,4.55,4.69,8.88,8.83,2.56,7.56,8.17,8.53,0.59,6.82,7.19,9.12,7.44,7.74,7.22,6.59,2.45,3.77,6.72,7.93
2020,3.63,8.99,4.44,4.60,8.79,8.99,2.44,7.73,8.38,8.68,0.14,7.02,7.40,9.23,7.55,7.68,7.23,6.66,2.19,3.60,6.83,8.13
2021,3.62,8.90,4.46,4.57,8.80,8.87,2.46,7.62,8.22,8.62,0.30,6.85,7.21,9.27,7.34,7.42,6.93,6.49,2.18,3.62,6.63,7.91
2022,3.90,8.81,4.68,5.02,8.90,8.85,2.77,7.74,8.25,8.57,0.65,6.91,7.40,9.04,7.54,7.67,7.28,6.63,2.55,3.98,6.86,8.05
2023,3.91,9.05,4.80,4.92,9.00,9.12,2.66,7.95,8.45,8.81,0.53,7.19,7.53,9.38,7.67,7.80,7.38,6.91,2.51,3.92,7.01,8.30
2024,3.83,9.07,4.71,4.86,9.00,9.09,2.54,7.81,8.40,8.79,0.45,7.11,7.47,9.35,7.64,7.83,7.36,6.82,2.38,3.86,6.94,8.26
2025,3.82,9.07,4.83,4.94,9.13,9.20,2.61,8.09,8.56,8.86,0.20,7.36,7.79,9.43,7.94,8.06,7.58,6.99,2.22,3.82,7.20,8.42
2026,3.67,8.99,4.35,4.45,8.93,9.00,2.34,7.80,8.35,8.74,0.43,6.83,7.31,9.34,7.43,7.68,7.13,6.48,2.21,3.53,6.66,8.07
2027,3.71,8.95,4.57,4.72,8.96,8.95,2.41,7.72,8.29,8.68,0.38,6.97,7.28,9.29,7.51,7.71,7.22,6.61,2.26,3.67,6.81,8.04
2028,3.95,9.13,4.75,4.88,9.18,9.14,2.77,7.94,8.45,8.84,0.64,7.22,7.59,9.44,7.74,7.79,7.34,6.82,2.54,3.87,7.07,8.26
2029,3.90,8.93,4.67,4.86,8.80,9.11,2.58,7.81,8.25,8.70,0.70,7.09,7.42,9.31,7.56,7.72,7.29,6.74,2.52,3.90,6.91,8.20
2030,3.85,9.05,4.70,4.76,9.08,9.05,2.53,7.85,8.45,8.80,0.59,7.05,7.49,9.35,7.66,7.90,7.39,6.76,2.39,3.77,6.92,8.14
2031,3.69,8.76,4.48,4.62,8.95,8.85,2.36,7.59,8.14,8.50,0.47,6.96,7.19,9.09,7.39,7.61,7.08,6.64,2.29,3.61,6.73,8.00
2032,3.84,8.75,4.68,4.84,8.79,8.91,2.56,7.80,8.21,8.54,0.66,6.99,7.39,9.03,7.59,7.75,7.28,6.58,2.37,3.71,6.90,8.12
2033,3.85,9.19,4.64,4.84,9.08,9.24,2.47,8.03,8.56,8.95,0.50,7.24,7.62,9.44,7.78,7.94,7.47,6.81,2.31,3.77,7.06,8.34
2034,3.93,8.96,4.86,5.00,9.12,9.06,2.62,7.92,8.46,8.76,0.52,7.37,7.64,9.32,7.81,7.82,7.39,6.98,2.50,3.95,7.21,8.24
2035,3.83,8.94,4.69,4.84,8.96,9.02,2.58,7.86,8.39,8.70,0.45,7.02,7.48,9.28,7.62,7.86,7.37,6.77,2.46,3.84,6.88,8.18
2036,4.06,9.25,4.94,5.11,9.26,9.32,2.93,8.11,8.67,9.00,0.62,7.27,7.73,9.53,7.88,8.07,7.58,6.91,2.64,4.09,7.12,8.42
2037,3.94,9.08,4.87,4.95,9.17,9.20,2.75,8.01,8.49,8.85,0.52,7.30,7.64,9.44,7.84,7.98,7.47,7.00,2.46,3.82,7.16,8.40
2038,3.95,8.94,4.84,4.91,8.89,9.15,2.63,7.84,8.28,8.75,0.73,7.10,7.43,9.40,7.63,7.77,7.34,6.92,2.60,3.90,6.96,8.27
2039,4.21,9.49,4.97,5.17,9.42,9.58,2.88,8.32,8.85,9.25,0.89,7.46,7.89,9.86,8.00,8.24,7.71,7.20,2.78,4.12,7.27,8.62
2040,4.23,9.24,5.05,5.29,9.27,9.23,2.95,8.10,8.67,8.98,0.97,7.39,7.77,9.51,7.98,8.12,7.68,7.03,2.89,4.32,7.29,8.38
2041,4.19,9.06,4.94,5.14,9.13,9.01,2.81,7.94,8.51,8.79,1.03,7.38,7.68,9.26,7.93,8.11,7.61,7.04,2.90,4.23,7.26,8.31
2042,4.38,9.49,5.29,5.45,9.49,9.52,3.08,8.39,8.92,9.26,0.99,7.72,8.05,9.74,8.21,8.35,7.87,7.36,3.03,4.44,7.53,8.68
2043,4.09,9.38,4.85,5.04,9.32,9.30,2.75,8.13,8.69,9.09,0.75,7.39,7.78,9.54,7.91,8.07,7.59,6.97,2.67,4.11,7.22,8.46
2044,3.91,9.12,4.87,5.05,9.16,9.13,2.63,7.85,8.46,8.84,0.49,7.12,7.48,9.47,7.77,8.09,7.57,6.84,2.46,3.98,7.08,8.23
2045,4.02,9.11,4.74,4.92,9.12,9.15,2.64,7.95,8.51,8.86,0.84,7.24,7.64,9.35,7.85,7.95,7.52,6.83,2.57,3.95,7.14,8.27
2046,4.14,9.31,4.98,5.09,9.46,9.41,2.78,8.21,8.72,9.10,0.89,7.38,7.78,9.68,7.92,8.14,7.62,7.08,2.60,4.02,7.19,8.51
2047,4.16,9.25,4.84,5.05,9.26,9.36,2.72,8.11,8.66,9.01,1.05,7.28,7.78,9.58,7.95,8.18,7.66,6.88,2.73,4.09,7.17,8.46
2048,4.23,9.35,5.02,5.15,9.36,9.23,2.90,8.12,8.74,9.05,1.03,7.48,7.83,9.63,7.97,8.13,7.61,7.20,2.74,4.07,7.26,8.49
2049,4.36,9.66,5.24,5.37,9.56,9.72,3.01,8.61,9.06,9.45,0.97,7.69,8.20,9.98,8.29,8.43,7.94,7.30,2.80,4.29,7.53,8.83
2050,4.12,9.32,4.76,4.93,9.28,9.46,2.72,8.10,8.61,9.09,0.93,7.25,7.65,9.64,7.79,8.00,7.48,7.06,2.73,4.08,7.05,8.52
2051,4.09,9.27,4.92,5.01,9.24,9.36,2.73,8.16,8.70,9.03,0.82,7.40,7.76,9.67,7.89,8.01,7.51,7.06,2.55,3.92,7.18,8.51
2052,4.18,9.59,5.11,5.22,9.48,9.44,2.87,8.39,8.98,9.30,0.75,7.56,8.05,9.78,8.07,8.17,7.69,7.19,2.65,4.15,7.34,8.60
2053,4.31,9.44,5.07,5.20,9.31,9.49,2.99,8.31,8.81,9.17,1.11,7.55,7.97,9.72,8.10,8.26,7.74,7.17,2.76,4.21,7.37,8.63
