Variable:,tas
,Fiji,Central,Eastern,Northern,Western
2015,24.96,24.76,25.30,25.43,25.30
2016,24.75,24.54,25.08,25.18,25.08
2017,24.65,24.41,24.95,25.06,24.95
2018,25.15,24.93,25.46,25.60,25.42
2019,25.01,24.76,25.30,25.47,25.31
2020,24.83,24.57,25.10,25.31,25.12
2021,24.94,24.69,25.21,25.41,25.22
2022,25.08,24.91,25.46,25.51,25.44
2023,25.08,24.86,25.41,25.54,25.39
2024,25.09,24.87,25.40,25.55,25.42
2025,24.98,24.74,25.30,25.47,25.29
2026,25.21,24.96,25.53,25.69,25.49
2027,25.13,24.93,25.48,25.57,25.47
2028,25.12,24.87,25.41,25.62,25.45
2029,25.08,24.81,25.38,25.59,25.36
2030,25.03,24.79,25.29,25.48,25.37
2031,25.10,24.90,25.49,25.66,25.45
2032,25.14,24.88,25.44,25.63,25.41
2033,25.12,24.86,25.41,25.62,25.40
2034,25.08,24.91,25.41,25.51,25.43
2035,25.19,24.98,25.45,25.59,25.50
2036,25.31,25.09,25.59,25.74,25.62
2037,25.23,24.97,25.51,25.69,25.50
2038,25.24,25.01,25.49,25.68,25.58
2039,24.93,24.67,25.22,25.42,25.21
2040,25.29,25.05,25.56,25.77,25.61
2041,25.49,25.31,25.79,25.89,25.78
2042,25.40,25.14,25.64,25.90,25.67
2043,25.39,25.18,25.69,25.85,25.71
2044,25.19,24.94,25.45,25.66,25.51
2045,25.33,25.09,25.61,25.80,25.64
2046,25.29,25.05,25.56,25.72,25.62
2047,25.20,24.96,25.50,25.68,25.53
2048,25.25,25.05,25.60,25.71,25.57
2049,25.13,24.92,25.48,25.61,25.44
2050,25.22,25.02,25.59,25.66,25.57
2051,25.21,24.99,25.55,25.67,25.55
2052,25.19,24.93,25.50,25.72,25.44
2053,25.13,24.88,25.39,25.56,25.40
2054,25.26,25.03,25.61,25.72,25.57
2055,25.41,25.17,25.66,25.85,25.71
2056,25.28,25.10,25.60,25.71,25.64
2057,25.33,25.09,25.60,25.83,25.64
2058,25.25,24.99,25.55,25.73,25.53
2059,25.18,24.96,25.48,25.64,25.53
2060,25.32,25.09,25.66,25.80,25.61
2061,25.26,25.06,25.56,25.69,25.61
2062,25.27,25.02,25.58,25.75,25.56
2063,25.32,25.12,25.67,25.76,25.68
2064,25.26,25.01,25.52,25.73,25.56
2065,25.24,25.05,25.62,25.69,25.57
2066,25.25,25.03,25.57,25.73,25.59
2067,25.18,24.96,25.51,25.67,25.51
2068,25.32,25.11,25.64,25.78,25.64
2069,25.32,25.13,25.67,25.77,25.67
2070,25.22,24.99,25.54,25.71,25.52
2071,25.26,25.02,25.57,25.67,25.61
2072,25.21,24.95,25.51,25.69,25.49
2073,25.17,24.94,25.49,25.62,25.47
2074,24.96,24.71,25.26,25.40,25.23
2075,25.19,24.96,25.48,25.63,25.48
2076,25.25,25.00,25.56,25.76,25.56
2077,25.24,24.99,25.52,25.71,25.55
2078,25.10,24.87,25.43,25.58,25.39
2079,25.05,24.79,25.39,25.54,25.31
2080,25.25,25.03,25.55,25.71,25.54
2081,25.48,25.24,25.75,25.96,25.79
2082,25.17,24.97,25.54,25.62,25.49
2083,24.91,24.66,25.20,25.39,25.21
2084,25.15,24.90,25.48,25.65,25.44
2085,25.12,24.88,25.45,25.61,25.41
2086,25.04,24.79,25.42,25.54,25.30
2087,25.07,24.79,25.32,25.56,25.34
2088,25.12,24.89,25.41,25.57,25.45
2089,25.15,24.94,25.45,25.62,25.49
2090,25.05,24.79,25.31,25.51,25.36
2091,25.27,25.06,25.51,25.66,25.58
2092,25.17,24.97,25.53,25.65,25.48
2093,25.15,24.88,25.45,25.62,25.42
2094,25.11,24.87,25.40,25.59,25.42
2095,25.05,24.80,25.34,25.55,25.35
2096,25.17,24.90,25.47,25.70,25.42
2097,24.97,24.76,25.31,25.45,25.29
2098,25.07,24.83,25.32,25.53,25.38
2099,25.02,24.79,25.35,25.49,25.33
2100,25.00,24.78,25.30,25.45,25.32
