Variable:,tasmin
2015,22.69
2016,22.45
2017,22.72
2018,22.67
2019,22.65
2020,23.05
2021,22.79
2022,22.84
2023,22.75
2024,22.88
2025,22.89
2026,22.97
2027,22.93
2028,22.92
2029,22.87
2030,22.98
2031,23.00
2032,22.93
2033,22.74
2034,22.91
2035,23.07
2036,22.94
2037,22.98
2038,22.91
2039,22.97
2040,23.07
2041,23.10
2042,22.99
2043,22.71
2044,22.94
2045,23.19
2046,23.06
2047,23.23
2048,23.20
2049,22.96
2050,22.80
2051,22.90
2052,22.92
2053,22.97
2054,23.08
2055,22.90
2056,22.93
2057,23.12
2058,22.86
2059,23.08
2060,22.98
2061,22.87
2062,22.97
2063,23.01
2064,23.05
2065,22.78
2066,22.84
2067,23.22
2068,22.97
2069,23.00
2070,22.98
2071,23.14
2072,22.82
2073,22.95
2074,23.11
2075,22.93
2076,23.12
2077,22.86
2078,22.59
2079,22.84
2080,23.08
2081,22.91
2082,22.88
2083,22.92
2084,22.93
2085,22.80
2086,23.06
2087,23.21
2088,22.82
2089,22.61
2090,22.95
2091,22.98
2092,22.68
2093,22.80
2094,22.82
2095,22.81
2096,22.88
2097,22.85
2098,22.87
2099,22.78
2100,23.11
