Variable:,tas
,"Sao Tome and Principe",Principe,"Sao Tome"
2015,25.54,26.44,26.05
2016,25.53,26.40,26.05
2017,25.63,26.52,26.15
2018,25.70,26.55,26.21
2019,25.66,26.53,26.14
2020,25.65,26.57,26.18
2021,25.69,26.53,26.19
2022,25.71,26.59,26.25
2023,25.76,26.67,26.28
2024,25.89,26.80,26.42
2025,25.80,26.65,26.31
2026,25.81,26.69,26.32
2027,25.89,26.78,26.41
2028,25.86,26.77,26.41
2029,25.95,26.83,26.46
2030,25.84,26.76,26.38
2031,25.91,26.81,26.43
2032,26.00,26.90,26.52
2033,25.94,26.79,26.45
2034,26.05,26.90,26.57
2035,26.03,26.90,26.54
2036,26.06,26.94,26.57
2037,26.19,27.07,26.70
2038,26.26,27.11,26.75
2039,26.13,27.02,26.65
2040,26.21,27.06,26.73
2041,26.13,27.03,26.67
2042,26.20,27.06,26.73
2043,26.27,27.15,26.74
2044,26.32,27.20,26.83
2045,26.30,27.19,26.84
2046,26.34,27.18,26.87
2047,26.46,27.35,27.01
2048,26.45,27.34,26.98
2049,26.36,27.26,26.88
2050,26.36,27.21,26.88
2051,26.39,27.25,26.93
2052,26.56,27.46,27.06
2053,26.49,27.33,27.02
2054,26.48,27.39,27.01
2055,26.60,27.43,27.12
2056,26.52,27.44,27.03
2057,26.64,27.55,27.17
2058,26.68,27.57,27.20
2059,26.72,27.58,27.26
2060,26.77,27.67,27.29
2061,26.59,27.47,27.12
2062,26.61,27.49,27.11
2063,26.75,27.64,27.27
2064,26.75,27.63,27.26
2065,26.65,27.55,27.19
2066,26.83,27.72,27.36
2067,26.78,27.67,27.30
2068,26.86,27.71,27.40
2069,26.91,27.76,27.45
2070,26.76,27.63,27.27
2071,26.83,27.73,27.37
2072,26.91,27.77,27.42
2073,26.99,27.85,27.48
2074,27.03,27.85,27.53
2075,26.84,27.76,27.35
2076,26.88,27.75,27.38
2077,27.06,27.93,27.57
2078,26.98,27.83,27.51
2079,26.95,27.79,27.42
2080,27.07,27.95,27.59
2081,27.01,27.88,27.53
2082,27.10,27.98,27.64
2083,26.95,27.81,27.46
2084,27.03,27.93,27.56
2085,27.17,28.04,27.67
2086,27.09,27.93,27.61
2087,26.98,27.86,27.49
2088,27.13,27.99,27.65
2089,27.02,27.93,27.53
2090,27.00,27.92,27.50
2091,27.26,28.14,27.80
2092,27.15,27.98,27.64
2093,27.14,28.01,27.66
2094,27.10,27.95,27.64
2095,27.26,28.15,27.77
2096,27.19,28.10,27.70
2097,27.10,27.99,27.66
2098,27.14,28.07,27.66
2099,27.31,28.21,27.83
2100,27.26,28.13,27.77
