Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
2015,3.78,3.74,3.00,3.11,4.08,3.66,3.64,4.38,3.02,3.56,4.24,3.42,5.38,5.93,4.51,3.28,3.39,3.91,3.33,3.31,4.28,4.70,4.86,4.46,3.40,3.72,5.43
2016,3.95,3.98,3.15,3.26,4.38,3.83,3.93,4.58,3.20,3.79,4.48,3.68,5.54,6.05,4.68,3.45,3.60,4.18,3.54,3.48,4.51,4.83,5.12,4.66,3.57,3.88,5.69
2017,4.09,4.34,3.31,3.37,4.65,4.00,4.00,4.65,3.37,4.09,4.54,3.73,5.63,6.16,4.86,3.50,3.83,4.51,3.71,3.56,4.72,4.92,5.19,4.74,3.74,4.03,5.77
2018,4.08,4.05,3.31,3.34,4.38,4.05,3.84,4.55,3.37,3.81,4.40,3.66,5.62,6.15,4.83,3.46,3.58,4.22,3.46,3.46,4.57,4.91,5.15,4.67,3.79,4.12,5.78
2019,3.68,3.50,2.78,2.80,4.03,3.58,3.25,4.35,2.83,3.21,4.21,3.09,5.50,6.07,4.64,2.89,2.96,3.77,2.82,2.88,4.31,4.66,5.14,4.51,3.28,3.64,5.72
2020,3.82,3.87,2.91,2.93,4.31,3.81,3.53,4.36,2.99,3.62,4.28,3.23,5.49,6.07,4.69,3.01,3.38,4.10,3.27,3.09,4.46,4.57,5.13,4.50,3.49,3.86,5.80
2021,3.23,3.13,2.34,2.42,3.55,3.01,2.99,3.82,2.36,2.89,3.66,2.81,5.06,5.60,3.99,2.55,2.68,3.34,2.58,2.56,3.75,4.21,4.70,4.00,2.74,3.06,5.37
2022,4.09,4.18,3.29,3.40,4.56,3.93,4.05,4.73,3.32,3.96,4.63,3.79,5.72,6.26,4.81,3.55,3.74,4.38,3.66,3.59,4.68,4.98,5.25,4.80,3.67,3.97,5.86
2023,3.33,3.30,2.52,2.60,3.70,3.18,3.10,3.94,2.55,3.07,3.78,2.93,5.20,5.88,4.05,2.77,2.85,3.50,2.75,2.75,3.85,4.34,4.56,4.05,2.93,3.23,5.29
2024,4.22,4.15,3.36,3.46,4.55,4.09,4.02,4.79,3.37,3.93,4.66,3.80,5.86,6.40,5.00,3.59,3.73,4.35,3.65,3.61,4.75,5.09,5.47,4.92,3.81,4.16,6.07
2025,3.75,3.81,2.95,3.00,4.22,3.67,3.51,4.37,2.99,3.56,4.28,3.27,5.34,5.86,4.59,3.09,3.32,4.02,3.21,3.12,4.38,4.61,4.90,4.46,3.40,3.72,5.51
2026,3.47,3.44,2.71,2.86,3.88,3.21,3.28,4.12,2.65,3.21,3.99,3.15,5.16,5.74,4.17,2.99,3.00,3.66,2.91,2.97,4.02,4.41,4.65,4.19,2.96,3.26,5.27
2027,4.22,4.29,3.44,3.53,4.64,4.09,4.07,4.82,3.47,4.07,4.71,3.87,5.86,6.43,4.96,3.66,3.85,4.47,3.77,3.71,4.78,5.09,5.36,4.91,3.83,4.13,5.99
2028,3.79,3.91,2.90,3.05,4.20,3.59,3.80,4.31,2.92,3.71,4.20,3.53,5.48,6.04,4.54,3.26,3.49,4.06,3.42,3.30,4.34,4.60,5.05,4.44,3.30,3.63,5.80
2029,3.84,3.82,2.98,3.13,4.20,3.63,3.76,4.34,2.98,3.61,4.21,3.54,5.53,6.13,4.60,3.35,3.41,4.02,3.34,3.34,4.37,4.65,5.15,4.50,3.36,3.68,5.74
2030,3.45,3.42,2.86,3.08,3.60,3.23,3.49,3.59,2.80,3.31,3.48,3.51,4.75,5.34,3.98,3.35,3.19,3.52,3.18,3.30,3.74,3.89,4.28,3.72,3.03,3.26,5.00
2031,4.31,4.46,3.69,3.82,4.80,4.19,4.22,4.81,3.67,4.26,4.74,4.15,5.62,6.12,4.97,3.99,4.06,4.63,3.99,3.99,4.86,5.00,5.16,4.83,3.97,4.22,5.68
2032,4.27,4.43,3.61,3.77,4.72,4.14,4.32,4.80,3.59,4.25,4.70,4.11,5.74,6.29,4.90,3.94,4.06,4.58,4.01,3.98,4.79,5.05,5.22,4.85,3.90,4.16,5.80
2033,4.25,4.08,3.54,3.60,4.44,3.99,4.02,4.74,3.53,3.89,4.59,3.89,5.93,6.49,4.87,3.70,3.74,4.26,3.66,3.70,4.64,5.10,5.50,4.92,3.79,4.04,6.19
2034,4.52,4.51,3.73,3.75,4.92,4.42,4.29,5.14,3.80,4.26,5.01,4.06,6.18,6.72,5.30,3.85,4.04,4.72,3.93,3.87,5.09,5.45,5.74,5.25,4.17,4.47,6.32
2035,4.66,4.65,3.96,4.03,5.04,4.55,4.44,5.07,3.96,4.43,4.99,4.27,6.11,6.66,5.43,4.11,4.23,4.85,4.14,4.13,5.19,5.27,5.73,5.20,4.31,4.60,6.38
2036,4.57,4.50,3.76,3.79,4.95,4.42,4.16,5.16,3.77,4.25,5.05,4.00,6.26,6.82,5.37,3.82,4.03,4.73,3.92,3.85,5.14,5.44,5.86,5.29,4.16,4.48,6.48
2037,4.56,4.60,3.98,4.10,4.93,4.48,4.54,5.00,3.97,4.43,4.94,4.47,5.80,6.29,5.25,4.26,4.28,4.77,4.22,4.27,5.06,5.16,5.35,5.03,4.27,4.52,5.89
2038,4.16,4.22,3.49,3.61,4.59,4.01,4.10,4.74,3.47,4.02,4.63,3.96,5.69,6.24,4.85,3.78,3.82,4.41,3.75,3.77,4.70,5.00,5.23,4.80,3.78,4.03,5.76
2039,4.65,4.83,3.97,4.14,5.19,4.50,4.70,5.18,3.95,4.63,5.11,4.52,6.05,6.55,5.34,4.35,4.42,5.02,4.36,4.37,5.24,5.36,5.58,5.21,4.26,4.52,6.23
2040,4.81,4.90,3.97,4.15,5.27,4.63,4.73,5.43,3.96,4.70,5.34,4.58,6.44,6.98,5.58,4.40,4.50,5.09,4.45,4.43,5.41,5.67,5.97,5.50,4.35,4.67,6.63
2041,4.28,4.36,3.63,3.73,4.64,4.09,4.27,4.71,3.61,4.17,4.59,4.04,5.82,6.38,4.83,3.81,3.98,4.50,3.91,3.85,4.71,5.01,5.36,4.81,3.88,4.12,6.07
2042,4.30,4.47,3.63,3.71,4.80,4.15,4.29,4.96,3.64,4.25,4.87,4.06,5.88,6.39,4.85,3.79,4.03,4.64,3.93,3.84,4.83,5.18,5.47,5.02,3.93,4.16,6.01
2043,4.57,4.65,3.72,3.80,5.10,4.46,4.41,5.27,3.78,4.41,5.17,4.19,6.28,6.80,5.40,3.96,4.20,4.88,4.11,4.02,5.24,5.53,5.80,5.33,4.18,4.51,6.53
2044,4.10,4.13,3.40,3.51,4.48,3.95,4.13,4.59,3.40,3.94,4.48,3.91,5.61,6.12,4.77,3.68,3.76,4.31,3.69,3.69,4.60,4.87,5.24,4.71,3.72,3.99,5.78
2045,4.39,4.65,3.36,3.56,5.10,4.06,4.37,5.35,3.37,4.35,5.23,4.12,6.37,6.90,5.13,3.87,4.03,4.88,3.92,3.87,5.13,5.64,5.90,5.42,3.75,4.09,6.53
2046,4.26,4.15,3.56,3.59,4.54,4.19,4.15,4.68,3.57,3.94,4.57,3.94,5.75,6.31,5.10,3.63,3.75,4.35,3.65,3.64,4.78,4.94,5.34,4.81,3.95,4.25,5.94
2047,4.09,3.98,3.34,3.41,4.35,3.95,3.77,4.47,3.35,3.77,4.34,3.63,5.63,6.15,4.85,3.52,3.59,4.17,3.50,3.52,4.56,4.78,5.29,4.64,3.71,4.01,5.96
2048,4.47,4.43,3.78,3.94,4.69,4.25,4.45,4.73,3.75,4.27,4.62,4.38,5.85,6.40,5.12,4.18,4.10,4.57,4.05,4.13,4.86,5.01,5.49,4.89,4.03,4.29,6.14
2049,4.42,4.34,3.67,3.71,4.73,4.29,4.11,4.92,3.68,4.12,4.80,3.93,6.01,6.55,5.17,3.76,3.93,4.54,3.83,3.79,4.92,5.21,5.62,5.05,4.04,4.35,6.26
