Variable:,tas
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
2015,28.04,27.99,27.19,26.61,28.31,26.09,25.87
2016,28.04,27.94,27.14,26.56,28.27,26.03,25.81
2017,28.15,28.04,27.23,26.68,28.39,26.18,25.97
2018,28.11,28.03,27.15,26.59,28.42,26.08,25.86
2019,28.24,28.21,27.36,26.78,28.55,26.24,26.02
2020,28.12,28.03,27.27,26.72,28.34,26.21,26.00
2021,28.23,28.11,27.29,26.78,28.49,26.31,26.11
2022,28.32,28.25,27.41,26.89,28.64,26.43,26.23
2023,28.35,28.31,27.44,26.89,28.67,26.38,26.17
2024,28.48,28.42,27.58,27.03,28.78,26.53,26.32
2025,28.39,28.30,27.52,26.94,28.64,26.41,26.19
2026,28.47,28.41,27.54,26.97,28.79,26.46,26.24
2027,28.41,28.32,27.46,26.93,28.72,26.44,26.24
2028,28.49,28.40,27.60,27.06,28.75,26.56,26.35
2029,28.54,28.44,27.62,27.09,28.81,26.60,26.40
2030,28.35,28.25,27.47,26.93,28.57,26.43,26.22
2031,28.70,28.62,27.77,27.21,29.00,26.70,26.49
2032,28.57,28.46,27.61,27.10,28.85,26.63,26.43
2033,28.68,28.60,27.71,27.15,29.00,26.64,26.42
2034,28.63,28.57,27.78,27.24,28.91,26.75,26.54
2035,28.64,28.50,27.76,27.21,28.81,26.70,26.49
2036,28.65,28.59,27.70,27.12,28.98,26.60,26.38
2037,28.82,28.72,27.90,27.31,29.09,26.78,26.55
2038,28.97,28.89,27.98,27.40,29.30,26.87,26.65
2039,28.75,28.65,27.83,27.27,29.03,26.76,26.55
2040,28.97,28.89,28.08,27.51,29.23,27.00,26.78
2041,28.82,28.76,27.89,27.35,29.15,26.87,26.66
2042,28.85,28.74,27.93,27.39,29.10,26.90,26.69
2043,28.88,28.76,28.00,27.47,29.07,26.99,26.79
2044,28.96,28.86,27.98,27.47,29.29,27.01,26.81
2045,28.91,28.84,27.94,27.36,29.23,26.83,26.61
2046,29.04,28.97,28.05,27.48,29.41,26.97,26.75
2047,29.20,29.14,28.23,27.60,29.54,27.03,26.79
2048,29.29,29.22,28.34,27.72,29.58,27.15,26.91
2049,29.16,29.04,28.23,27.69,29.41,27.20,26.99
2050,29.08,29.01,28.14,27.59,29.38,27.09,26.88
2051,29.07,28.98,28.17,27.63,29.35,27.15,26.94
2052,29.24,29.18,28.30,27.70,29.57,27.17,26.94
2053,29.27,29.17,28.33,27.73,29.54,27.17,26.94
2054,29.27,29.18,28.40,27.78,29.48,27.22,26.98
2055,29.28,29.22,28.30,27.73,29.64,27.22,27.00
2056,29.46,29.38,28.53,27.97,29.75,27.47,27.26
2057,29.48,29.37,28.44,27.82,29.81,27.26,27.02
2058,29.52,29.43,28.51,27.89,29.82,27.32,27.08
2059,29.44,29.29,28.41,27.81,29.69,27.27,27.04
2060,29.59,29.54,28.63,28.04,29.93,27.51,27.28
2061,29.41,29.32,28.43,27.84,29.71,27.31,27.08
2062,29.49,29.32,28.51,27.98,29.70,27.49,27.29
2063,29.54,29.43,28.52,27.93,29.84,27.40,27.17
2064,29.55,29.45,28.62,28.01,29.81,27.45,27.22
2065,29.59,29.45,28.67,28.09,29.80,27.57,27.35
2066,29.54,29.49,28.48,27.89,29.96,27.35,27.12
2067,29.64,29.56,28.69,28.10,29.93,27.57,27.34
2068,29.71,29.67,28.75,28.14,30.05,27.58,27.35
2069,29.69,29.60,28.67,28.05,30.01,27.49,27.25
2070,29.74,29.67,28.74,28.15,30.07,27.62,27.39
2071,29.57,29.45,28.56,28.02,29.90,27.54,27.33
2072,29.73,29.67,28.74,28.14,30.08,27.61,27.38
2073,29.90,29.83,28.88,28.31,30.28,27.79,27.57
2074,29.80,29.73,28.82,28.23,30.09,27.69,27.46
2075,29.59,29.46,28.61,28.05,29.85,27.55,27.34
2076,29.79,29.69,28.79,28.23,30.13,27.72,27.50
2077,29.92,29.87,28.87,28.21,30.31,27.62,27.37
2078,30.01,29.94,29.00,28.40,30.31,27.86,27.63
2079,29.80,29.68,28.78,28.23,30.12,27.73,27.52
2080,29.91,29.87,28.92,28.29,30.27,27.72,27.48
2081,29.85,29.83,28.81,28.21,30.28,27.65,27.42
2082,29.88,29.76,28.81,28.24,30.22,27.73,27.51
2083,30.07,30.02,29.04,28.44,30.47,27.88,27.65
2084,29.79,29.66,28.78,28.20,30.07,27.66,27.44
2085,30.01,29.94,29.00,28.44,30.36,27.94,27.73
2086,29.94,29.80,28.87,28.28,30.25,27.75,27.52
2087,29.92,29.86,28.95,28.35,30.24,27.79,27.56
2088,29.91,29.83,28.95,28.37,30.21,27.85,27.63
2089,29.99,29.95,29.03,28.39,30.32,27.80,27.55
2090,29.97,29.85,29.00,28.41,30.21,27.87,27.64
2091,30.04,29.91,29.06,28.47,30.27,27.94,27.71
2092,29.98,29.87,28.98,28.37,30.27,27.82,27.59
2093,30.05,29.93,29.01,28.40,30.36,27.85,27.62
2094,30.08,29.94,28.98,28.35,30.38,27.77,27.53
2095,30.23,30.15,29.18,28.56,30.58,27.99,27.75
2096,29.98,29.87,28.90,28.32,30.31,27.78,27.56
2097,29.78,29.72,28.80,28.18,30.11,27.62,27.38
2098,30.10,29.95,29.07,28.51,30.37,28.01,27.80
2099,30.06,29.95,29.02,28.44,30.42,27.90,27.68
2100,30.11,30.01,29.10,28.46,30.42,27.88,27.63
