Variable:,tasmin
,"Macao SAR, China","Administrative unit not available"
2015,21.22,20.81
2016,21.19,20.79
2017,21.18,20.73
2018,21.22,20.75
2019,21.32,20.90
2020,21.35,20.93
2021,21.08,20.62
2022,21.14,20.71
2023,21.05,20.53
2024,21.29,20.89
2025,21.75,21.29
2026,21.50,21.08
2027,21.65,21.24
2028,21.39,21.03
2029,21.51,21.05
2030,21.71,21.23
2031,21.52,21.05
2032,21.70,21.17
2033,21.71,21.24
2034,21.62,21.25
2035,21.79,21.45
2036,21.63,21.22
2037,21.84,21.36
2038,21.99,21.55
2039,21.82,21.26
2040,21.87,21.46
2041,21.97,21.59
2042,21.72,21.31
2043,21.69,21.19
2044,21.72,21.27
2045,21.75,21.31
2046,21.83,21.44
2047,21.79,21.41
2048,21.98,21.56
2049,21.91,21.54
2050,21.53,20.93
2051,21.72,21.27
2052,21.86,21.36
2053,21.84,21.40
2054,21.73,21.26
2055,21.75,21.20
2056,21.63,21.18
2057,21.90,21.49
2058,21.76,21.34
2059,22.09,21.63
2060,21.87,21.38
2061,21.94,21.52
2062,21.86,21.37
2063,21.99,21.64
2064,21.84,21.49
2065,21.60,21.09
2066,21.88,21.39
2067,22.10,21.56
2068,21.84,21.25
2069,21.84,21.47
2070,21.73,21.26
2071,22.17,21.61
2072,21.51,20.94
2073,21.67,21.22
2074,21.68,21.25
2075,21.83,21.37
2076,21.75,21.32
2077,21.77,21.36
2078,22.00,21.68
2079,21.66,21.22
2080,21.60,21.16
2081,21.99,21.55
2082,21.87,21.49
2083,21.73,21.30
2084,21.69,21.21
2085,21.81,21.36
2086,21.80,21.39
2087,21.77,21.40
2088,21.86,21.37
2089,21.48,21.10
2090,21.62,21.11
2091,21.90,21.58
2092,21.85,21.46
2093,21.36,20.96
2094,21.62,21.23
2095,22.02,21.60
2096,21.74,21.26
2097,21.77,21.28
2098,21.59,21.22
2099,21.55,21.15
2100,21.71,21.31
