Variable:,tas
,"Czech Republic",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
2015,8.89,8.63,9.53,8.89,8.89,9.00,8.87,9.12,8.79
2016,8.86,8.59,9.42,8.86,8.91,8.91,8.85,9.06,8.88
2017,9.19,8.89,9.87,9.09,9.09,9.40,9.10,9.41,9.02
2018,9.37,8.96,10.02,9.25,9.26,9.52,9.25,9.62,9.10
2019,9.21,9.06,9.78,9.23,9.20,9.23,9.23,9.41,9.24
2020,9.16,8.80,9.71,9.17,9.18,9.16,9.15,9.42,8.98
2021,8.74,8.60,9.42,8.73,8.71,8.85,8.72,8.92,8.72
2022,9.55,9.27,10.24,9.49,9.45,9.70,9.48,9.81,9.28
2023,9.22,8.90,9.97,9.09,9.03,9.47,9.11,9.56,8.92
2024,9.13,8.87,9.83,9.07,9.04,9.31,9.07,9.36,8.98
2025,9.52,9.40,10.33,9.55,9.49,9.67,9.57,9.79,9.51
2026,9.46,9.10,10.07,9.41,9.41,9.55,9.40,9.71,9.21
2027,9.68,9.45,10.39,9.66,9.63,9.87,9.66,9.92,9.57
2028,9.61,9.15,10.34,9.48,9.49,9.84,9.47,9.89,9.23
2029,9.43,9.12,10.07,9.38,9.38,9.55,9.37,9.66,9.29
2030,9.22,8.88,9.88,9.18,9.14,9.36,9.17,9.53,8.97
2031,9.60,9.17,10.26,9.48,9.47,9.80,9.47,9.83,9.31
2032,9.62,9.31,10.31,9.63,9.60,9.73,9.61,9.94,9.41
2033,9.74,9.48,10.43,9.72,9.71,9.88,9.72,9.98,9.67
2034,10.10,9.64,10.76,9.99,10.05,10.21,9.99,10.38,9.85
2035,9.63,9.26,10.30,9.56,9.60,9.79,9.55,9.86,9.47
2036,9.84,9.56,10.53,9.82,9.81,9.99,9.82,10.09,9.75
2037,10.17,9.93,10.92,10.15,10.11,10.35,10.15,10.44,9.99
2038,9.89,9.54,10.54,9.83,9.81,10.03,9.82,10.14,9.71
2039,10.00,9.69,10.64,9.96,9.95,10.15,9.95,10.23,9.79
2040,9.72,9.38,10.42,9.60,9.62,9.96,9.59,9.96,9.40
2041,9.52,9.26,10.17,9.57,9.56,9.60,9.54,9.73,9.44
2042,9.52,9.01,10.07,9.45,9.57,9.61,9.44,9.78,9.31
2043,9.71,9.39,10.35,9.69,9.71,9.85,9.67,9.94,9.54
2044,9.28,9.04,9.98,9.20,9.18,9.50,9.21,9.51,9.22
2045,10.16,9.92,10.90,10.21,10.05,10.27,10.16,10.49,9.71
2046,9.44,9.22,10.26,9.36,9.31,9.71,9.37,9.72,9.21
2047,9.38,9.44,10.01,9.52,9.45,9.33,9.52,9.57,9.62
2048,9.53,9.27,10.05,9.58,9.53,9.52,9.56,9.83,9.46
2049,9.51,9.23,10.20,9.45,9.41,9.73,9.45,9.73,9.34
2050,9.34,9.07,10.03,9.31,9.28,9.56,9.29,9.56,9.19
2051,9.87,9.53,10.52,9.78,9.74,10.08,9.78,10.12,9.63
2052,9.92,9.57,10.60,9.81,9.81,10.13,9.81,10.16,9.62
2053,9.44,9.10,10.16,9.31,9.29,9.69,9.32,9.69,9.26
2054,9.73,9.36,10.48,9.60,9.66,9.96,9.62,10.04,9.46
2055,9.67,9.33,10.41,9.52,9.49,9.96,9.52,9.91,9.38
2056,9.43,9.19,10.10,9.49,9.45,9.55,9.46,9.67,9.31
2057,9.36,8.93,9.95,9.30,9.31,9.50,9.29,9.56,9.24
2058,9.37,9.10,9.95,9.45,9.49,9.34,9.42,9.61,9.34
2059,9.45,9.21,10.03,9.44,9.45,9.45,9.44,9.71,9.45
2060,9.27,9.16,9.87,9.36,9.31,9.28,9.35,9.50,9.30
2061,9.60,9.30,10.45,9.48,9.46,9.93,9.50,9.87,9.43
2062,9.17,8.91,9.88,9.12,9.09,9.36,9.11,9.42,8.98
2063,9.84,9.39,10.54,9.66,9.63,10.16,9.66,10.07,9.48
2064,9.41,9.09,9.99,9.38,9.45,9.54,9.35,9.59,9.35
2065,9.97,9.76,10.61,9.98,9.94,10.06,9.96,10.20,9.82
2066,9.46,9.08,10.22,9.33,9.33,9.73,9.34,9.73,9.18
2067,9.52,9.16,10.19,9.43,9.45,9.70,9.42,9.76,9.29
2068,9.72,9.41,10.41,9.67,9.67,9.90,9.66,9.96,9.53
2069,9.44,9.15,10.19,9.36,9.33,9.62,9.35,9.70,9.18
2070,9.54,9.20,10.16,9.41,9.40,9.83,9.42,9.73,9.35
2071,9.64,9.25,10.28,9.57,9.61,9.82,9.56,9.88,9.41
2072,9.94,9.55,10.60,9.88,9.90,10.18,9.85,10.15,9.67
2073,9.75,9.37,10.45,9.63,9.67,9.98,9.64,10.01,9.47
2074,9.28,8.86,10.00,9.20,9.24,9.59,9.16,9.49,8.85
2075,9.63,9.22,10.26,9.55,9.62,9.77,9.54,9.84,9.42
2076,9.71,9.39,10.34,9.73,9.74,9.82,9.71,9.96,9.65
2077,9.80,9.36,10.53,9.68,9.71,10.07,9.68,10.06,9.56
2078,9.51,9.21,10.10,9.47,9.50,9.58,9.46,9.73,9.39
2079,9.18,8.93,9.78,9.17,9.22,9.22,9.17,9.40,9.21
2080,10.00,9.73,10.72,9.90,9.86,10.29,9.90,10.21,9.83
2081,9.76,9.52,10.47,9.67,9.64,10.05,9.67,9.93,9.62
2082,9.56,9.18,10.16,9.48,9.51,9.67,9.47,9.81,9.34
2083,9.30,9.05,9.90,9.34,9.35,9.33,9.32,9.53,9.26
2084,8.96,8.80,9.68,9.00,8.97,9.02,8.99,9.21,8.93
2085,9.75,9.31,10.37,9.65,9.70,9.95,9.64,10.01,9.49
2086,9.88,9.63,10.54,9.89,9.85,10.00,9.88,10.17,9.78
2087,8.83,8.37,9.63,8.66,8.69,9.12,8.66,9.07,8.57
2088,9.36,9.04,10.12,9.21,9.16,9.71,9.22,9.61,9.05
2089,9.71,9.38,10.42,9.65,9.63,9.85,9.64,10.02,9.46
2090,9.69,9.28,10.35,9.58,9.58,9.89,9.57,9.95,9.41
2091,9.65,9.25,10.38,9.53,9.60,9.84,9.55,9.88,9.52
2092,9.51,9.17,10.23,9.45,9.44,9.67,9.44,9.77,9.36
2093,9.72,9.47,10.45,9.68,9.65,9.91,9.68,9.97,9.58
2094,8.94,8.61,9.56,8.91,8.98,9.00,8.92,9.19,8.84
2095,9.15,8.83,9.85,9.02,8.97,9.38,9.05,9.39,9.02
2096,9.45,8.96,10.07,9.31,9.33,9.68,9.29,9.70,9.11
2097,9.58,9.46,10.26,9.63,9.59,9.63,9.63,9.82,9.63
2098,9.29,9.04,9.88,9.30,9.25,9.37,9.28,9.53,9.24
2099,9.41,9.08,10.01,9.40,9.41,9.49,9.39,9.64,9.26
2100,9.45,9.08,10.13,9.35,9.38,9.61,9.35,9.69,9.26
