Variable:,tas
2015,6.44
2016,6.39
2017,6.40
2018,6.45
2019,6.35
2020,6.42
2021,6.52
2022,6.57
2023,6.53
2024,6.55
2025,6.61
2026,6.58
2027,6.60
2028,6.56
2029,6.58
2030,6.57
2031,6.51
2032,6.68
2033,6.56
2034,6.68
2035,6.79
2036,6.74
2037,6.75
2038,6.64
2039,6.79
2040,6.72
2041,6.67
2042,6.61
2043,6.75
2044,6.80
2045,6.63
2046,6.76
2047,6.86
2048,6.95
2049,6.65
2050,6.73
2051,6.82
2052,6.85
2053,6.85
2054,6.84
2055,6.88
2056,6.82
2057,6.78
2058,6.91
2059,6.83
2060,6.87
2061,6.95
2062,6.83
2063,6.88
2064,6.94
2065,6.87
2066,6.77
2067,6.89
2068,6.99
2069,6.96
2070,6.89
2071,6.91
2072,6.83
2073,6.94
2074,6.84
2075,6.89
2076,6.75
2077,6.85
2078,6.83
2079,6.90
2080,6.84
2081,6.89
2082,6.90
2083,6.95
2084,6.88
2085,6.94
2086,6.87
2087,6.99
2088,6.98
2089,6.80
2090,6.99
2091,6.86
2092,7.03
2093,6.98
2094,6.86
2095,6.85
2096,6.85
2097,6.95
2098,6.91
2099,6.78
2100,6.88
