Variable:,tasmin
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2015,14.39,16.48,12.18,16.38,10.43,18.19,20.21,13.69,-0.95
2016,14.21,16.26,11.94,16.19,10.13,18.07,20.09,13.49,-1.12
2017,14.27,16.32,11.97,16.23,10.19,18.15,20.18,13.52,-1.20
2018,14.32,16.39,12.04,16.38,10.23,18.20,20.17,13.57,-1.15
2019,14.44,16.56,12.06,16.29,10.26,18.27,20.35,13.61,-1.04
2020,14.46,16.45,12.17,16.44,10.36,18.45,20.30,13.73,-1.00
2021,14.56,16.60,12.27,16.44,10.46,18.41,20.44,13.77,-0.77
2022,14.58,16.66,12.09,16.43,10.38,18.50,20.53,13.69,-0.92
2023,14.59,16.61,12.25,16.63,10.55,18.43,20.50,13.92,-0.73
2024,14.83,16.88,12.45,16.78,10.65,18.71,20.74,14.06,-0.58
2025,14.76,16.82,12.47,16.76,10.64,18.64,20.57,13.97,-0.72
2026,14.66,16.77,12.24,16.44,10.49,18.48,20.63,13.71,-0.81
2027,14.79,16.90,12.52,16.69,10.72,18.61,20.61,14.02,-0.68
2028,14.89,16.96,12.53,16.82,10.71,18.78,20.75,14.13,-0.62
2029,14.75,16.81,12.31,16.73,10.62,18.57,20.65,14.01,-0.58
2030,14.73,16.84,12.37,16.45,10.56,18.58,20.68,13.76,-0.83
2031,14.84,16.92,12.57,16.89,10.72,18.73,20.69,14.09,-0.65
2032,14.94,16.94,12.59,16.98,10.82,18.90,20.81,14.21,-0.59
2033,14.94,17.03,12.38,16.74,10.76,18.79,20.84,14.03,-0.40
2034,14.97,16.99,12.64,16.94,10.91,18.85,20.89,14.23,-0.44
2035,15.01,17.04,12.75,16.92,10.89,18.93,20.92,14.20,-0.45
2036,15.04,17.07,12.75,16.98,10.95,18.93,20.87,14.22,-0.39
2037,15.05,17.11,12.69,17.05,10.92,18.95,20.83,14.29,-0.39
2038,15.05,17.08,12.64,16.94,10.90,19.02,21.00,14.23,-0.50
2039,15.07,17.10,12.68,17.11,10.97,18.94,21.00,14.37,-0.31
2040,14.98,17.01,12.56,16.89,10.83,18.93,20.91,14.12,-0.54
2041,15.00,17.10,12.62,16.83,10.81,18.84,20.91,14.16,-0.52
2042,15.15,17.28,12.77,16.90,10.85,19.01,21.12,14.20,-0.49
2043,15.10,17.10,12.77,17.14,11.03,19.05,20.91,14.40,-0.36
2044,15.16,17.16,12.83,17.24,11.10,19.07,21.00,14.51,-0.19
2045,15.19,17.20,12.88,17.09,11.09,19.09,21.07,14.34,-0.21
2046,15.33,17.33,12.98,17.28,11.26,19.28,21.20,14.55,-0.11
2047,15.25,17.29,12.89,17.29,11.15,19.15,21.10,14.51,-0.12
2048,15.21,17.22,12.83,17.17,11.08,19.16,21.01,14.48,-0.16
2049,15.32,17.30,13.01,17.28,11.27,19.21,21.18,14.60,0.02
2050,15.38,17.46,12.98,17.15,11.21,19.23,21.28,14.46,-0.06
2051,15.40,17.39,12.97,17.27,11.18,19.38,21.31,14.54,-0.02
2052,15.37,17.28,13.17,17.50,11.45,19.32,21.14,14.84,0.20
2053,15.14,17.23,12.77,17.01,10.89,19.06,20.94,14.26,-0.25
2054,15.25,17.31,12.89,17.12,11.09,19.16,21.16,14.44,-0.30
2055,15.31,17.32,12.87,17.40,11.17,19.24,21.20,14.61,-0.09
2056,15.34,17.34,13.07,17.26,11.34,19.17,21.18,14.59,0.12
2057,15.58,17.61,13.33,17.55,11.47,19.50,21.33,14.85,0.14
2058,15.30,17.28,12.94,17.28,11.27,19.19,21.17,14.57,-0.03
2059,15.47,17.48,13.09,17.32,11.38,19.37,21.33,14.59,0.16
2060,15.41,17.41,13.13,17.58,11.37,19.35,21.15,14.79,0.07
