Variable:,tas
,"Sao Tome and Principe",Principe,"Sao Tome"
2015,25.53,26.36,26.05
2016,25.42,26.27,25.95
2017,25.65,26.53,26.17
2018,25.68,26.54,26.19
2019,25.67,26.57,26.15
2020,25.83,26.73,26.35
2021,25.77,26.72,26.29
2022,25.74,26.61,26.27
2023,25.76,26.67,26.28
2024,25.80,26.71,26.35
2025,25.86,26.77,26.33
2026,25.80,26.62,26.33
2027,25.72,26.63,26.25
2028,25.86,26.72,26.39
2029,25.86,26.71,26.36
2030,25.82,26.68,26.34
2031,26.08,26.98,26.57
2032,25.78,26.67,26.29
2033,25.84,26.75,26.38
2034,25.93,26.83,26.46
2035,25.98,26.85,26.53
2036,25.94,26.78,26.50
2037,25.93,26.80,26.43
2038,26.12,27.00,26.65
2039,25.93,26.80,26.43
2040,25.99,26.88,26.53
2041,26.06,26.95,26.57
2042,25.86,26.78,26.37
2043,25.89,26.75,26.45
2044,26.08,26.95,26.62
2045,26.16,27.03,26.66
2046,26.00,26.89,26.50
2047,26.14,26.99,26.67
2048,25.89,26.73,26.44
2049,25.96,26.85,26.46
2050,26.06,26.95,26.57
2051,26.03,26.94,26.54
2052,25.94,26.84,26.47
2053,25.88,26.78,26.40
2054,25.97,26.87,26.48
2055,26.03,26.90,26.55
2056,25.82,26.74,26.33
2057,25.77,26.66,26.31
2058,26.05,26.91,26.55
2059,26.06,26.97,26.57
2060,26.06,26.90,26.55
2061,25.88,26.74,26.40
2062,25.93,26.82,26.47
2063,25.97,26.83,26.50
2064,25.84,26.73,26.37
2065,25.70,26.58,26.22
2066,25.81,26.70,26.34
2067,25.97,26.83,26.49
2068,26.09,27.03,26.56
2069,25.85,26.68,26.38
2070,25.93,26.78,26.43
2071,26.08,26.96,26.56
2072,25.89,26.82,26.42
2073,25.78,26.66,26.30
2074,26.09,26.95,26.61
2075,25.87,26.77,26.39
2076,26.00,26.88,26.52
2077,26.02,26.93,26.52
2078,25.79,26.66,26.34
2079,25.88,26.74,26.43
2080,25.95,26.80,26.45
2081,25.86,26.73,26.39
2082,25.88,26.73,26.40
2083,25.99,26.88,26.50
2084,25.90,26.80,26.40
2085,25.74,26.59,26.24
2086,25.73,26.62,26.25
2087,25.87,26.78,26.36
2088,25.82,26.72,26.34
2089,25.72,26.60,26.25
2090,25.86,26.73,26.36
2091,25.85,26.74,26.39
2092,25.80,26.66,26.34
2093,25.64,26.52,26.15
2094,25.85,26.75,26.37
2095,25.86,26.75,26.37
2096,25.80,26.70,26.32
2097,25.75,26.62,26.25
2098,25.69,26.63,26.16
2099,25.72,26.59,26.25
2100,25.99,26.88,26.49
