Variable:,tas
,Niue,"Administrative unit not available"
2015,25.51,25.25
2016,25.46,25.26
2017,25.50,25.24
2018,25.46,25.20
2019,25.62,25.31
2020,25.54,25.28
2021,25.67,25.38
2022,25.60,25.34
2023,25.71,25.45
2024,25.75,25.52
2025,25.73,25.49
2026,25.64,25.42
2027,25.84,25.58
2028,25.77,25.54
2029,25.76,25.48
2030,25.75,25.52
2031,25.89,25.64
2032,25.78,25.52
2033,25.87,25.69
2034,25.82,25.61
2035,25.95,25.69
2036,25.90,25.63
2037,25.88,25.65
2038,25.89,25.60
2039,26.06,25.81
2040,26.02,25.79
2041,25.92,25.71
2042,25.91,25.68
2043,25.83,25.54
2044,26.03,25.77
2045,25.94,25.68
2046,25.91,25.65
2047,26.04,25.75
2048,26.18,25.95
2049,26.05,25.81
2050,25.86,25.58
2051,26.00,25.76
2052,26.14,25.88
2053,26.02,25.77
2054,25.82,25.57
2055,25.90,25.68
2056,26.06,25.81
2057,26.11,25.87
2058,25.99,25.74
2059,25.95,25.65
2060,26.16,25.84
2061,26.03,25.82
2062,26.07,25.82
2063,26.02,25.76
2064,26.05,25.79
2065,26.06,25.77
2066,25.97,25.71
2067,26.13,25.89
2068,26.10,25.82
2069,26.19,25.96
2070,26.13,25.87
2071,26.12,25.91
2072,26.05,25.82
2073,25.96,25.72
2074,26.11,25.90
2075,26.03,25.81
2076,26.09,25.84
2077,25.96,25.72
2078,25.88,25.66
2079,26.09,25.87
2080,26.08,25.82
2081,26.02,25.76
2082,26.00,25.79
2083,25.98,25.73
2084,26.02,25.81
2085,25.95,25.69
2086,25.94,25.71
2087,25.96,25.68
2088,26.12,25.91
2089,26.15,25.89
2090,25.99,25.79
2091,26.13,25.89
2092,26.07,25.81
2093,26.04,25.76
2094,26.11,25.89
2095,26.01,25.72
2096,26.05,25.81
2097,25.95,25.78
2098,26.01,25.81
2099,26.01,25.79
2100,25.97,25.76
