Variable:,tasmin
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
2015,7.11,7.15,7.62,6.77
2016,7.24,7.31,7.71,6.91
2017,6.78,6.84,7.28,6.43
2018,6.88,6.92,7.37,6.51
2019,6.98,7.09,7.51,6.70
2020,6.96,6.92,7.44,6.54
2021,6.76,6.84,7.24,6.48
2022,7.18,7.33,7.70,6.92
2023,6.81,6.84,7.30,6.47
2024,7.12,7.10,7.61,6.71
2025,6.99,7.06,7.47,6.70
2026,6.98,7.01,7.47,6.63
2027,7.34,7.43,7.85,7.04
2028,7.44,7.45,7.89,7.09
2029,7.05,7.10,7.52,6.74
2030,6.97,7.04,7.48,6.70
2031,6.85,6.91,7.37,6.52
2032,6.97,7.01,7.48,6.61
2033,7.41,7.42,7.90,7.02
2034,7.53,7.51,7.98,7.14
2035,7.41,7.43,7.82,7.09
2036,7.49,7.46,7.95,7.09
2037,7.35,7.51,7.85,7.13
2038,7.32,7.37,7.78,7.02
2039,7.43,7.54,7.93,7.13
2040,7.57,7.63,8.03,7.24
2041,7.01,7.05,7.53,6.67
2042,7.23,7.31,7.78,6.90
2043,7.25,7.24,7.70,6.86
2044,7.06,7.26,7.67,6.84
2045,7.09,7.11,7.52,6.77
2046,7.19,7.20,7.67,6.80
2047,7.07,7.14,7.58,6.79
2048,7.23,7.30,7.73,6.91
2049,7.22,7.28,7.70,6.90
2050,7.13,7.23,7.67,6.79
2051,7.10,7.12,7.55,6.75
2052,7.32,7.33,7.80,6.96
2053,6.92,7.02,7.47,6.64
2054,7.22,7.31,7.71,6.92
2055,6.93,7.07,7.49,6.67
2056,7.29,7.32,7.78,6.93
2057,7.26,7.35,7.71,6.97
2058,7.25,7.20,7.69,6.88
2059,7.19,7.27,7.71,6.92
2060,6.71,6.82,7.25,6.44
2061,6.86,6.94,7.36,6.60
2062,6.87,6.91,7.38,6.60
2063,7.22,7.27,7.68,6.90
2064,7.37,7.43,7.89,7.00
2065,7.44,7.50,7.95,7.11
2066,6.68,6.80,7.20,6.41
2067,6.92,6.98,7.42,6.63
2068,7.40,7.52,7.94,7.09
2069,6.83,6.91,7.31,6.58
2070,7.53,7.70,8.07,7.28
2071,7.29,7.35,7.78,6.90
2072,7.39,7.38,7.83,6.98
2073,7.37,7.42,7.80,7.03
2074,6.41,6.43,6.92,6.05
2075,7.28,7.31,7.81,6.89
2076,7.33,7.39,7.77,7.05
2077,7.28,7.42,7.76,7.04
2078,7.21,7.12,7.63,6.78
2079,7.33,7.47,7.83,7.11
2080,7.34,7.49,7.85,7.16
2081,7.18,7.25,7.63,6.91
2082,7.43,7.42,7.96,7.02
2083,7.23,7.39,7.82,6.98
2084,6.61,6.67,7.13,6.27
2085,7.02,7.16,7.56,6.75
2086,7.27,7.35,7.73,6.98
2087,7.14,7.14,7.64,6.73
2088,6.92,6.92,7.40,6.57
2089,6.99,7.17,7.49,6.80
2090,7.24,7.33,7.71,6.96
2091,7.14,7.17,7.60,6.83
2092,7.40,7.39,7.85,7.00
2093,7.14,7.26,7.66,6.81
2094,6.88,7.01,7.41,6.62
2095,7.06,7.00,7.56,6.71
2096,7.32,7.33,7.77,6.98
2097,7.24,7.28,7.72,6.95
2098,7.18,7.26,7.70,6.90
2099,7.00,7.09,7.51,6.69
2100,6.89,7.06,7.42,6.66
