Variable:,tasmin
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
2015,3.27,3.74,4.52,2.77,3.65,3.18,3.01,4.28,4.32,2.87,4.13,4.59,2.98,3.21,3.72,3.00,2.57
2016,3.51,4.07,4.73,3.04,3.80,3.30,3.28,4.51,4.48,3.02,4.34,4.79,3.13,3.36,3.80,3.16,2.76
2017,3.46,3.87,4.78,3.01,3.78,3.39,3.16,4.46,4.47,3.16,4.27,4.85,3.23,3.50,3.86,3.32,2.91
2018,3.80,4.35,4.97,3.33,4.16,3.63,3.61,4.76,4.76,3.25,4.62,5.03,3.43,3.61,4.17,3.32,3.03
2019,3.08,3.54,4.53,2.54,3.43,3.02,2.75,4.22,4.23,2.69,4.00,4.62,2.83,3.04,3.50,2.79,2.43
2020,3.52,4.07,4.95,3.11,3.74,3.21,3.30,4.61,4.49,2.87,4.32,4.99,3.04,3.23,3.71,2.93,2.69
2021,2.78,3.30,4.45,2.30,3.01,2.57,2.46,4.04,3.85,2.26,3.66,4.50,2.40,2.56,3.03,2.35,2.02
2022,3.62,4.15,5.01,3.12,3.91,3.43,3.34,4.71,4.62,3.16,4.46,5.07,3.26,3.48,3.92,3.30,2.90
2023,2.87,3.37,4.25,2.40,3.17,2.70,2.62,3.89,3.85,2.41,3.69,4.30,2.53,2.73,3.19,2.53,2.16
2024,3.95,4.56,5.28,3.49,4.26,3.68,3.74,5.04,4.93,3.30,4.80,5.33,3.48,3.63,4.24,3.36,3.05
2025,3.34,3.84,4.70,2.83,3.63,3.18,3.08,4.35,4.32,2.88,4.15,4.75,3.02,3.19,3.65,2.96,2.67
2026,3.02,3.44,4.33,2.60,3.27,2.88,2.74,4.00,3.93,2.65,3.76,4.39,2.74,2.84,3.30,2.70,2.44
2027,3.70,4.14,4.97,3.27,4.00,3.59,3.44,4.67,4.66,3.33,4.47,5.05,3.43,3.63,4.04,3.44,3.10
2028,3.33,3.97,4.95,2.79,3.58,3.01,3.02,4.66,4.53,2.75,4.34,5.00,2.83,3.08,3.56,2.91,2.46
2029,3.39,3.94,4.74,2.94,3.65,3.13,3.11,4.53,4.47,2.86,4.29,4.81,2.96,3.16,3.66,2.98,2.61
2030,2.99,3.35,4.18,2.63,3.19,2.88,2.71,3.86,3.83,2.75,3.67,4.24,2.77,2.91,3.22,2.84,2.53
2031,3.74,4.09,4.74,3.34,4.04,3.69,3.48,4.55,4.65,3.54,4.47,4.83,3.56,3.78,4.10,3.69,3.29
2032,3.56,3.92,4.73,3.11,3.88,3.54,3.28,4.45,4.51,3.41,4.31,4.81,3.40,3.68,3.95,3.61,3.12
2033,3.75,4.22,5.24,3.23,3.98,3.64,3.42,4.91,4.75,3.41,4.58,5.29,3.49,3.67,4.03,3.53,3.17
2034,4.13,4.60,5.39,3.75,4.42,3.97,3.89,5.11,5.08,3.61,4.91,5.45,3.77,3.99,4.44,3.74,3.33
2035,4.26,4.65,5.58,3.93,4.49,4.03,4.04,5.22,5.20,3.83,5.01,5.64,3.88,4.11,4.51,3.96,3.60
2036,4.14,4.62,5.50,3.68,4.43,3.96,3.87,5.16,5.14,3.69,4.96,5.57,3.80,3.97,4.45,3.77,3.47
2037,4.16,4.54,5.06,3.85,4.40,4.06,3.98,4.83,4.89,3.86,4.76,5.13,3.93,4.10,4.40,3.97,3.64
2038,3.37,3.79,4.74,2.82,3.64,3.33,2.99,4.49,4.37,3.22,4.17,4.81,3.19,3.52,3.71,3.48,2.89
2039,3.97,4.28,5.31,3.63,4.18,3.85,3.71,4.88,4.80,3.75,4.60,5.36,3.72,4.01,4.22,3.97,3.47
2040,4.23,4.76,5.75,3.73,4.50,3.99,3.94,5.39,5.27,3.79,5.08,5.80,3.82,4.10,4.51,3.96,3.50
2041,4.02,4.47,5.17,3.72,4.14,3.73,3.85,4.86,4.73,3.56,4.62,5.21,3.62,3.74,4.08,3.62,3.40
2042,3.53,3.89,4.71,3.08,3.86,3.57,3.27,4.34,4.40,3.40,4.22,4.80,3.42,3.71,3.92,3.63,3.07
2043,4.00,4.56,5.34,3.45,4.36,3.86,3.72,5.08,5.08,3.56,4.91,5.42,3.66,3.94,4.40,3.73,3.26
2044,3.41,3.82,4.75,2.97,3.70,3.26,3.07,4.47,4.47,3.14,4.26,4.82,3.11,3.47,3.79,3.39,2.84
2045,3.86,4.43,5.57,3.40,4.03,3.50,3.58,5.21,4.88,3.25,4.69,5.63,3.33,3.54,4.00,3.36,3.00
2046,3.76,4.14,5.16,3.26,4.02,3.67,3.38,4.88,4.80,3.46,4.58,5.22,3.54,3.73,4.11,3.56,3.27
2047,3.73,4.23,4.98,3.27,3.99,3.50,3.50,4.71,4.66,3.26,4.51,5.04,3.35,3.53,3.99,3.35,3.05
2048,3.98,4.44,5.31,3.53,4.24,3.79,3.66,5.02,5.00,3.62,4.81,5.37,3.64,3.87,4.27,3.77,3.36
2049,4.02,4.53,5.43,3.44,4.33,3.90,3.69,5.14,5.06,3.61,4.89,5.48,3.74,3.89,4.38,3.67,3.39
2050,3.73,4.14,4.84,3.29,4.02,3.65,3.53,4.54,4.55,3.37,4.40,4.90,3.50,3.63,4.03,3.43,3.16
2051,3.38,3.84,4.80,2.89,3.66,3.29,3.06,4.41,4.33,3.13,4.15,4.86,3.14,3.40,3.69,3.32,2.84
2052,3.60,4.05,5.16,3.04,3.96,3.53,3.25,4.79,4.75,3.27,4.52,5.23,3.35,3.66,4.06,3.46,2.98
2053,3.64,4.09,4.66,3.21,3.98,3.58,3.42,4.49,4.58,3.28,4.42,4.73,3.41,3.55,4.02,3.37,3.03
2054,3.44,3.86,4.70,3.05,3.68,3.28,3.15,4.42,4.38,3.04,4.20,4.77,3.13,3.29,3.72,3.12,2.82
2055,4.20,4.66,5.12,3.82,4.47,4.06,4.00,4.92,4.88,3.84,4.81,5.19,3.90,4.08,4.48,3.98,3.58
2056,3.85,4.28,4.82,3.49,4.12,3.74,3.65,4.64,4.69,3.45,4.55,4.89,3.58,3.73,4.14,3.53,3.21
2057,3.94,4.37,5.29,3.49,4.19,3.80,3.61,4.99,4.93,3.59,4.74,5.34,3.65,3.87,4.24,3.73,3.35
2058,4.09,4.49,5.40,3.70,4.32,3.99,3.87,5.09,5.00,3.64,4.80,5.48,3.83,3.86,4.32,3.62,3.47
2059,3.88,4.37,5.04,3.45,4.17,3.74,3.63,4.80,4.80,3.48,4.66,5.10,3.58,3.78,4.19,3.61,3.23
2060,3.30,3.77,4.63,2.89,3.55,3.10,3.03,4.33,4.25,2.78,4.08,4.68,2.94,3.05,3.57,2.81,2.59
2061,3.81,4.30,4.93,3.49,4.04,3.50,3.67,4.71,4.73,3.21,4.58,4.99,3.33,3.50,4.02,3.31,2.98
2062,3.34,3.79,4.67,2.95,3.59,3.14,3.11,4.31,4.22,2.88,4.07,4.73,2.99,3.12,3.60,2.93,2.68
2063,3.38,4.05,4.76,2.82,3.65,3.13,3.07,4.53,4.42,2.82,4.30,4.79,2.95,3.10,3.64,2.89,2.60
2064,3.91,4.27,5.17,3.54,4.14,3.78,3.63,4.85,4.84,3.59,4.65,5.23,3.64,3.83,4.19,3.71,3.36
2065,4.45,4.88,5.64,4.00,4.77,4.39,4.19,5.30,5.33,4.21,5.18,5.70,4.23,4.49,4.83,4.40,3.91
2066,3.70,4.14,5.09,3.23,3.99,3.56,3.43,4.80,4.77,3.33,4.56,5.16,3.40,3.66,4.04,3.50,3.05
2067,3.88,4.43,5.12,3.38,4.15,3.66,3.66,4.83,4.77,3.48,4.64,5.17,3.52,3.75,4.12,3.63,3.23
2068,4.16,4.54,5.45,3.69,4.50,4.12,3.88,5.12,5.10,3.87,4.91,5.52,3.96,4.14,4.57,3.97,3.64
2069,3.86,4.35,5.24,3.32,4.18,3.74,3.55,4.94,4.92,3.54,4.73,5.30,3.58,3.85,4.23,3.73,3.24
2070,3.20,3.65,5.13,2.65,3.45,3.04,2.85,4.64,4.48,2.80,4.18,5.19,2.86,3.20,3.51,3.05,2.47
2071,3.17,3.63,4.56,2.76,3.40,2.98,2.89,4.23,4.16,2.65,3.98,4.61,2.81,2.96,3.43,2.71,2.44
2072,3.78,4.30,5.16,3.20,4.14,3.70,3.46,4.84,4.84,3.45,4.67,5.22,3.53,3.78,4.20,3.60,3.18
2073,3.58,4.06,5.02,3.11,3.79,3.36,3.27,4.71,4.59,3.24,4.41,5.07,3.22,3.50,3.82,3.43,2.95
2074,3.68,4.13,4.81,3.27,3.98,3.55,3.45,4.59,4.63,3.26,4.47,4.88,3.38,3.54,4.01,3.34,3.02
2075,3.79,4.21,4.88,3.39,4.08,3.69,3.56,4.64,4.69,3.42,4.53,4.95,3.53,3.71,4.12,3.51,3.20
2076,4.02,4.40,5.17,3.65,4.29,3.94,3.78,4.93,4.87,3.67,4.71,5.23,3.78,3.90,4.34,3.74,3.45
2077,3.74,4.27,5.14,3.21,4.07,3.59,3.46,4.85,4.78,3.33,4.61,5.20,3.41,3.64,4.10,3.49,3.04
2078,4.09,4.56,5.47,3.75,4.22,3.80,3.82,5.11,4.95,3.59,4.80,5.52,3.67,3.77,4.19,3.64,3.41
2079,2.99,3.38,4.22,2.67,3.21,2.81,2.78,3.85,3.81,2.56,3.66,4.29,2.67,2.77,3.22,2.61,2.37
2080,3.76,4.14,5.02,3.18,4.10,3.82,3.38,4.73,4.78,3.66,4.57,5.10,3.69,3.86,4.19,3.78,3.41
2081,3.96,4.45,5.36,3.52,4.18,3.73,3.72,4.97,4.85,3.49,4.72,5.39,3.58,3.77,4.20,3.60,3.27
2082,4.01,4.61,5.43,3.56,4.21,3.59,3.81,5.09,4.93,3.39,4.80,5.48,3.44,3.64,4.15,3.50,3.18
2083,3.81,4.25,5.04,3.35,4.07,3.72,3.61,4.75,4.69,3.41,4.52,5.10,3.56,3.69,4.07,3.50,3.19
2084,3.76,4.32,5.04,3.33,4.00,3.52,3.51,4.77,4.66,3.19,4.54,5.09,3.36,3.43,3.98,3.19,3.02
2085,3.84,4.39,5.35,3.31,4.18,3.65,3.51,5.02,4.93,3.31,4.76,5.39,3.46,3.61,4.23,3.37,3.07
2086,3.06,3.54,4.54,2.65,3.31,2.84,2.83,4.13,4.04,2.56,3.85,4.60,2.67,2.87,3.32,2.68,2.31
2087,3.05,3.53,4.86,2.56,3.20,2.82,2.68,4.36,4.11,2.63,3.90,4.90,2.69,2.84,3.23,2.71,2.43
2088,3.63,4.01,5.07,3.21,3.83,3.52,3.31,4.62,4.45,3.36,4.30,5.07,3.38,3.61,3.88,3.54,3.08
2089,3.42,3.88,4.64,2.97,3.71,3.27,3.13,4.42,4.39,3.05,4.22,4.70,3.11,3.35,3.74,3.21,2.76
2090,3.26,3.73,4.55,2.87,3.51,3.09,3.03,4.26,4.17,2.78,4.01,4.60,2.92,3.04,3.52,2.84,2.54
2091,3.57,3.99,5.04,3.14,3.85,3.45,3.32,4.66,4.55,3.13,4.34,5.10,3.27,3.44,3.88,3.22,2.88
2092,3.79,4.34,5.05,3.24,4.10,3.67,3.48,4.86,4.85,3.36,4.70,5.11,3.49,3.70,4.14,3.48,3.11
2093,3.26,3.90,4.79,2.75,3.52,2.97,3.01,4.48,4.31,2.68,4.16,4.86,2.78,3.07,3.50,2.86,2.39
2094,2.78,3.19,4.36,2.40,3.01,2.54,2.49,3.89,3.82,2.30,3.59,4.42,2.39,2.63,3.04,2.42,2.11
2095,3.86,4.37,5.11,3.48,4.05,3.56,3.64,4.84,4.77,3.30,4.63,5.15,3.41,3.51,4.01,3.33,3.10
2096,2.96,3.47,4.52,2.46,3.23,2.77,2.66,4.12,4.01,2.52,3.82,4.57,2.61,2.85,3.26,2.67,2.26
2097,3.06,3.40,4.77,2.64,3.27,2.99,2.76,4.22,4.04,2.73,3.80,4.81,2.83,3.03,3.33,2.85,2.48
2098,3.23,3.65,4.52,2.77,3.54,3.15,2.94,4.26,4.27,2.93,4.07,4.59,2.99,3.18,3.60,3.06,2.67
2099,3.52,3.97,4.60,3.17,3.71,3.32,3.33,4.33,4.30,3.11,4.17,4.66,3.19,3.28,3.68,3.14,2.93
2100,3.84,4.22,4.93,3.55,4.01,3.65,3.65,4.61,4.55,3.42,4.43,4.98,3.53,3.57,4.00,3.42,3.27
