Variable:,tasmin
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2015,14.76,20.85,20.22,8.55,6.97,8.02,0.58,0.70,18.10,10.02
2016,14.81,20.89,20.22,8.72,7.03,8.09,0.65,0.86,18.10,10.07
2017,14.93,21.02,20.41,8.74,7.17,8.16,0.68,0.89,18.26,10.05
2018,14.92,21.01,20.40,8.77,7.19,8.13,0.57,0.83,18.23,10.09
2019,15.01,21.14,20.53,8.84,7.24,8.18,0.72,0.96,18.30,10.17
2020,14.89,20.99,20.33,8.76,7.12,8.12,0.70,0.84,18.23,10.10
2021,15.05,21.14,20.54,8.80,7.16,8.17,0.69,0.87,18.46,10.18
2022,15.07,21.19,20.54,8.89,7.33,8.33,0.88,0.96,18.37,10.20
2023,15.01,21.06,20.39,8.95,7.27,8.30,0.97,1.13,18.29,10.26
2024,15.23,21.44,20.72,9.06,7.47,8.45,0.89,1.07,18.56,10.37
2025,15.06,21.28,20.58,8.83,7.26,8.29,0.73,0.95,18.35,10.19
2026,15.16,21.29,20.62,9.00,7.35,8.38,0.96,1.14,18.48,10.27
2027,15.21,21.34,20.69,8.97,7.37,8.38,0.96,1.08,18.55,10.31
2028,15.27,21.44,20.77,9.07,7.46,8.46,1.00,1.23,18.58,10.34
2029,15.50,21.69,21.02,9.36,7.67,8.69,1.20,1.37,18.79,10.62
2030,15.20,21.30,20.66,9.00,7.36,8.35,0.88,1.10,18.58,10.34
2031,15.32,21.47,20.78,9.05,7.48,8.52,1.10,1.23,18.64,10.39
2032,15.52,21.59,20.95,9.35,7.67,8.65,1.28,1.46,18.89,10.61
2033,15.38,21.52,20.84,9.19,7.60,8.63,1.23,1.36,18.67,10.53
2034,15.50,21.59,21.03,9.28,7.68,8.59,1.15,1.41,18.85,10.57
2035,15.47,21.57,20.91,9.31,7.65,8.66,1.30,1.46,18.81,10.60
2036,15.44,21.61,20.95,9.19,7.54,8.58,1.08,1.32,18.78,10.47
2037,15.66,21.74,21.04,9.56,7.86,8.81,1.47,1.67,19.02,10.89
2038,15.61,21.79,21.06,9.44,7.82,8.80,1.40,1.54,18.93,10.72
2039,15.64,21.78,21.08,9.48,7.83,8.85,1.42,1.56,18.96,10.76
2040,15.71,21.75,21.17,9.54,7.87,8.85,1.57,1.75,19.06,10.89
2041,15.63,21.79,21.10,9.44,7.81,8.86,1.43,1.59,18.93,10.71
2042,15.75,21.91,21.29,9.59,7.87,8.93,1.54,1.69,19.03,10.87
2043,15.67,21.85,21.23,9.46,7.87,8.83,1.41,1.52,18.98,10.67
2044,15.76,21.89,21.26,9.59,7.89,8.86,1.46,1.63,19.12,10.91
2045,15.77,21.79,21.21,9.62,7.93,8.91,1.58,1.70,19.16,10.88
2046,15.94,22.00,21.39,9.81,8.13,9.13,1.71,1.87,19.29,11.08
2047,15.98,22.04,21.49,9.85,8.17,9.14,1.76,1.94,19.30,11.13
2048,16.17,22.24,21.70,10.04,8.31,9.30,1.82,2.09,19.52,11.31
2049,16.03,22.15,21.53,9.80,8.21,9.20,1.81,1.90,19.39,11.11
2050,15.90,22.01,21.39,9.67,8.08,8.98,1.67,1.85,19.26,10.98
2051,16.05,22.05,21.49,9.95,8.23,9.20,1.91,2.09,19.39,11.25
2052,16.17,22.10,21.62,9.97,8.32,9.27,1.95,2.05,19.60,11.24
2053,16.05,22.15,21.55,9.89,8.28,9.24,1.81,1.99,19.38,11.15
2054,15.95,22.08,21.42,9.85,8.19,9.22,1.80,1.92,19.22,11.04
2055,16.15,22.27,21.66,10.01,8.28,9.30,2.02,2.16,19.47,11.30
2056,16.17,22.28,21.68,10.02,8.33,9.31,1.93,2.18,19.46,11.26
2057,16.33,22.48,21.76,10.10,8.51,9.51,2.10,2.31,19.65,11.17
2058,16.14,22.28,21.62,10.02,8.38,9.34,1.92,2.10,19.44,11.18
2059,16.42,22.51,21.90,10.28,8.54,9.52,2.11,2.40,19.76,11.49
2060,16.44,22.47,21.99,10.11,8.53,9.53,2.14,2.24,19.85,11.28
2061,16.27,22.35,21.76,10.07,8.46,9.43,2.10,2.20,19.61,11.31
2062,16.26,22.36,21.70,10.15,8.44,9.37,2.02,2.15,19.62,11.36
2063,16.44,22.57,21.93,10.29,8.59,9.67,2.34,2.44,19.73,11.40
2064,16.35,22.46,21.88,10.21,8.48,9.51,2.07,2.27,19.68,11.38
2065,16.61,22.75,22.11,10.40,8.73,9.66,2.34,2.50,20.01,11.55
2066,16.48,22.60,21.94,10.25,8.68,9.78,2.24,2.40,19.81,11.50
2067,16.49,22.58,21.96,10.29,8.54,9.53,2.24,2.42,19.89,11.51
2068,16.51,22.56,21.99,10.25,8.69,9.76,2.31,2.46,19.85,11.40
2069,16.42,22.44,21.90,10.27,8.57,9.56,2.22,2.40,19.79,11.47
2070,16.55,22.54,21.98,10.38,8.72,9.70,2.29,2.47,19.94,11.70
2071,16.48,22.53,21.94,10.33,8.66,9.65,2.29,2.52,19.82,11.59
2072,16.52,22.61,22.01,10.29,8.64,9.64,2.25,2.48,19.89,11.62
2073,16.71,22.77,22.16,10.57,8.85,9.84,2.42,2.62,20.10,11.82
2074,16.64,22.66,22.14,10.39,8.76,9.79,2.51,2.63,19.98,11.65
2075,16.64,22.68,22.09,10.35,8.67,9.65,2.34,2.50,20.11,11.59
2076,16.68,22.77,22.19,10.51,8.87,9.86,2.50,2.72,19.96,11.70
2077,16.80,22.90,22.22,10.59,8.90,9.93,2.50,2.70,20.21,11.79
2078,16.73,22.73,22.16,10.49,8.75,9.82,2.48,2.67,20.19,11.78
2079,16.71,22.84,22.17,10.47,8.94,9.92,2.59,2.78,20.00,11.71
2080,16.77,22.86,22.29,10.63,8.87,9.86,2.56,2.78,20.11,11.88
2081,16.86,22.88,22.37,10.66,8.92,9.98,2.78,2.98,20.19,11.92
2082,16.84,22.77,22.35,10.60,8.92,9.88,2.51,2.69,20.28,11.78
2083,16.98,22.90,22.47,10.66,9.10,10.07,2.74,2.76,20.42,11.82
2084,16.68,22.79,22.19,10.47,8.91,9.83,2.48,2.76,19.96,11.64
2085,16.82,22.79,22.28,10.58,8.96,9.93,2.63,2.77,20.20,11.87
2086,16.85,22.85,22.28,10.69,8.96,9.91,2.51,2.75,20.32,11.95
