Variable:,tasmin
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
2015,7.08,7.17,7.60,6.79
2016,6.81,6.82,7.29,6.42
2017,7.15,7.19,7.63,6.73
2018,6.75,6.80,7.23,6.44
2019,6.66,6.74,7.21,6.33
2020,6.99,6.96,7.47,6.60
2021,7.04,7.12,7.50,6.72
2022,6.79,6.89,7.32,6.46
2023,6.93,6.98,7.40,6.64
2024,6.94,7.03,7.48,6.61
2025,7.05,7.11,7.54,6.73
2026,7.00,7.04,7.49,6.70
2027,6.93,7.01,7.42,6.61
2028,7.12,7.19,7.62,6.78
2029,7.12,7.15,7.61,6.78
2030,7.10,7.15,7.61,6.78
2031,6.92,7.01,7.38,6.65
2032,6.83,6.89,7.34,6.52
2033,7.07,7.19,7.57,6.78
2034,7.18,7.27,7.64,6.89
2035,7.11,7.25,7.64,6.86
2036,7.07,7.10,7.53,6.75
2037,7.35,7.44,7.78,7.08
2038,7.31,7.38,7.80,7.00
2039,7.35,7.36,7.83,7.02
2040,7.06,7.15,7.57,6.77
2041,7.03,7.18,7.55,6.76
2042,7.29,7.35,7.76,6.98
2043,7.37,7.48,7.85,7.12
2044,7.45,7.47,7.88,7.14
2045,7.12,7.24,7.59,6.83
2046,7.42,7.55,7.90,7.18
2047,7.23,7.34,7.71,6.98
2048,7.38,7.49,7.89,7.13
2049,7.32,7.52,7.82,7.11
2050,7.45,7.54,7.96,7.14
2051,7.41,7.48,7.86,7.15
2052,7.44,7.42,7.93,7.09
2053,7.43,7.56,7.89,7.14
2054,7.32,7.45,7.81,7.05
2055,7.22,7.23,7.71,6.91
2056,7.20,7.27,7.65,6.89
2057,7.39,7.51,7.87,7.13
2058,7.51,7.62,8.01,7.23
2059,7.39,7.51,7.89,7.12
2060,7.51,7.62,7.95,7.29
2061,7.46,7.62,7.98,7.24
2062,7.23,7.32,7.79,6.98
2063,7.57,7.64,8.08,7.28
2064,7.30,7.45,7.78,7.08
2065,7.52,7.61,7.99,7.21
2066,7.43,7.49,7.90,7.14
2067,7.85,8.04,8.39,7.65
2068,7.51,7.57,7.98,7.19
2069,7.87,7.90,8.32,7.60
2070,7.49,7.56,7.96,7.21
2071,7.47,7.51,7.93,7.14
2072,7.50,7.66,8.01,7.24
2073,7.51,7.61,7.95,7.24
2074,7.26,7.28,7.76,6.94
2075,7.54,7.58,8.02,7.20
2076,7.63,7.68,8.11,7.32
2077,7.48,7.45,7.96,7.13
2078,7.47,7.46,7.91,7.10
2079,7.61,7.69,8.17,7.26
2080,7.53,7.69,8.00,7.28
2081,7.55,7.53,8.01,7.16
2082,7.43,7.48,7.90,7.13
2083,7.41,7.45,7.88,7.09
2084,7.49,7.61,7.97,7.19
2085,7.33,7.49,7.87,7.09
2086,7.64,7.77,8.11,7.41
2087,7.33,7.41,7.82,7.00
2088,7.41,7.52,7.91,7.12
2089,7.32,7.38,7.81,7.01
2090,7.54,7.60,8.00,7.29
2091,7.38,7.40,7.89,7.03
2092,7.37,7.42,7.86,7.06
2093,7.68,7.74,8.17,7.39
2094,7.60,7.69,8.07,7.34
2095,7.19,7.28,7.67,6.91
2096,7.53,7.66,8.06,7.23
2097,7.52,7.71,8.04,7.28
2098,7.49,7.58,7.98,7.19
2099,7.58,7.65,8.10,7.28
2100,7.21,7.21,7.69,6.87
