Variable:,tas
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
2015,10.88,12.41,11.20
2016,10.60,12.19,10.98
2017,10.68,12.20,10.99
2018,10.81,12.31,11.10
2019,10.89,12.46,11.25
2020,11.13,12.52,11.37
2021,11.02,12.50,11.31
2022,11.37,12.90,11.71
2023,10.99,12.49,11.30
2024,11.22,12.72,11.53
2025,11.26,12.77,11.58
2026,11.38,12.88,11.70
2027,11.23,12.75,11.55
2028,11.42,12.94,11.76
2029,11.36,12.90,11.71
2030,11.25,12.83,11.61
2031,11.41,12.99,11.79
2032,11.70,13.12,11.97
2033,11.32,12.84,11.66
2034,11.64,13.13,11.92
2035,11.59,13.10,11.91
2036,11.71,13.21,12.02
2037,11.74,13.20,12.04
2038,11.67,13.18,12.01
2039,11.62,13.11,11.95
2040,11.73,13.23,12.04
2041,11.57,13.11,11.90
2042,11.57,13.11,11.91
2043,11.85,13.32,12.14
2044,11.70,13.16,11.98
2045,11.91,13.43,12.23
2046,11.82,13.31,12.13
2047,12.05,13.51,12.35
2048,12.32,13.77,12.60
2049,12.12,13.63,12.43
2050,12.13,13.64,12.46
2051,12.18,13.80,12.55
2052,12.14,13.59,12.44
2053,12.20,13.68,12.50
2054,12.18,13.68,12.50
2055,12.45,13.92,12.75
2056,12.25,13.74,12.56
2057,12.08,13.57,12.41
2058,12.58,14.04,12.88
2059,12.44,13.90,12.73
2060,12.46,13.92,12.74
2061,12.43,13.98,12.78
2062,12.39,13.83,12.67
2063,12.59,14.05,12.90
2064,12.39,13.90,12.72
2065,12.76,14.24,13.05
2066,12.56,14.09,12.90
2067,12.64,14.16,12.95
2068,12.66,14.16,12.98
2069,12.68,14.15,12.99
2070,12.35,13.84,12.64
2071,12.72,14.19,13.04
2072,12.63,14.07,12.93
2073,12.86,14.35,13.17
2074,12.61,14.10,12.91
2075,12.59,14.18,12.96
2076,12.52,13.94,12.79
2077,12.62,14.05,12.90
2078,12.76,14.26,13.06
2079,12.94,14.40,13.25
2080,12.61,14.10,12.94
2081,12.81,14.29,13.12
2082,13.08,14.51,13.38
2083,12.63,14.18,12.97
2084,13.09,14.55,13.41
2085,12.85,14.37,13.20
2086,13.04,14.52,13.36
2087,13.01,14.52,13.33
2088,12.96,14.50,13.31
2089,12.85,14.35,13.16
2090,13.01,14.48,13.30
2091,13.04,14.43,13.31
2092,13.18,14.64,13.46
2093,12.97,14.50,13.30
2094,13.25,14.61,13.49
2095,12.86,14.36,13.18
2096,13.12,14.56,13.39
2097,13.39,14.83,13.68
2098,13.23,14.69,13.51
2099,13.23,14.67,13.50
2100,13.24,14.74,13.56
