Variable:,tasmin
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2015,3.59,4.43,2.96,2.96,5.13,5.13,2.52,2.74,5.97,3.89,4.56,5.29,3.78,5.86,2.26,2.20,3.33,4.24,3.70,5.13,3.48,3.09,2.20,2.01,5.04,4.24,4.24
2016,3.27,4.18,2.57,2.57,4.91,4.91,2.23,2.50,5.84,3.46,4.07,5.11,3.51,5.78,1.86,1.79,2.93,3.99,3.40,4.91,3.14,2.67,1.79,1.69,4.88,3.99,3.99
2017,3.36,4.27,2.68,2.68,4.90,4.90,2.30,2.50,5.66,3.60,4.23,5.05,3.60,5.56,2.02,1.95,3.05,4.10,3.53,4.90,3.25,2.83,1.95,1.77,4.75,4.10,4.10
2018,3.30,4.19,2.57,2.57,4.88,4.88,2.26,2.47,5.69,3.59,4.29,5.03,3.53,5.58,2.01,1.94,2.96,4.00,3.45,4.88,3.15,2.84,1.94,1.73,4.76,4.00,4.00
2019,3.64,4.58,2.93,2.93,5.25,5.25,2.59,2.81,6.02,3.83,4.43,5.41,3.90,5.95,2.25,2.18,3.30,4.40,3.81,5.25,3.52,3.06,2.18,2.04,5.10,4.40,4.40
2020,3.31,4.25,2.59,2.59,4.89,4.89,2.26,2.49,5.67,3.53,4.19,5.04,3.57,5.58,1.89,1.82,2.97,4.08,3.48,4.89,3.19,2.73,1.82,1.74,4.76,4.08,4.08
2021,3.59,4.57,2.91,2.91,5.22,5.22,2.52,2.74,5.96,3.78,4.39,5.37,3.86,5.87,2.09,2.01,3.28,4.39,3.76,5.22,3.51,2.90,2.01,1.95,5.03,4.39,4.39
2022,3.76,4.73,2.91,2.91,5.40,5.40,2.82,3.08,6.27,3.91,4.56,5.57,4.07,6.18,2.40,2.33,3.31,4.55,3.96,5.40,3.57,3.20,2.33,2.29,5.35,4.55,4.55
2023,3.40,4.37,2.73,2.73,4.90,4.90,2.35,2.61,5.79,3.62,4.19,5.06,3.69,5.67,2.03,1.96,3.10,4.23,3.63,4.90,3.33,2.84,1.96,1.86,4.88,4.23,4.23
2024,3.37,4.28,2.68,2.68,4.96,4.96,2.30,2.51,5.69,3.58,4.20,5.14,3.60,5.68,1.91,1.84,3.05,4.10,3.50,4.96,3.25,2.74,1.84,1.76,4.78,4.10,4.10
2025,4.00,5.06,3.03,3.03,5.78,5.78,3.17,3.36,6.45,4.18,4.87,5.92,4.41,6.37,2.78,2.71,3.46,4.87,4.30,5.78,3.77,3.57,2.71,2.62,5.56,4.87,4.87
2026,3.49,4.41,2.82,2.82,5.12,5.12,2.43,2.65,5.87,3.67,4.28,5.29,3.72,5.82,1.99,1.92,3.18,4.22,3.61,5.12,3.38,2.81,1.92,1.86,4.94,4.22,4.22
