Variable:,tas
2015,6.50
2016,6.41
2017,6.35
2018,6.52
2019,6.51
2020,6.45
2021,6.48
2022,6.43
2023,6.56
2024,6.59
2025,6.51
2026,6.60
2027,6.54
2028,6.66
2029,6.48
2030,6.70
2031,6.62
2032,6.73
2033,6.78
2034,6.65
2035,6.75
2036,6.64
2037,6.74
2038,6.83
2039,6.75
2040,6.81
2041,6.75
2042,6.82
2043,6.82
2044,6.96
2045,6.99
2046,6.95
2047,6.91
2048,6.97
2049,6.87
2050,7.03
2051,6.93
2052,7.05
2053,7.03
2054,6.99
2055,7.02
2056,7.11
2057,7.11
2058,7.10
2059,7.11
2060,7.17
2061,7.23
2062,7.19
2063,7.01
2064,7.01
2065,7.19
2066,7.14
2067,7.14
2068,7.19
2069,7.37
2070,7.22
2071,7.31
2072,7.12
2073,7.25
2074,7.34
2075,7.29
2076,7.23
2077,7.17
2078,7.26
2079,7.26
2080,7.18
2081,7.38
2082,7.37
2083,7.33
2084,7.28
2085,7.39
2086,7.51
2087,7.44
2088,7.51
2089,7.35
2090,7.26
2091,7.28
2092,7.48
2093,7.52
2094,7.51
2095,7.39
2096,7.49
2097,7.52
2098,7.55
2099,7.63
2100,7.57
