Variable:,tas
2015,26.30
2016,26.37
2017,26.25
2018,26.41
2019,26.52
2020,26.52
2021,26.59
2022,26.60
2023,26.61
2024,26.65
2025,26.73
2026,26.73
2027,26.72
2028,26.64
2029,26.67
2030,26.54
2031,26.73
2032,26.81
2033,26.76
2034,26.85
2035,26.70
2036,26.88
2037,27.07
2038,26.87
2039,26.94
2040,26.69
2041,26.79
2042,26.98
2043,27.13
2044,26.79
2045,26.86
2046,27.30
2047,26.94
2048,27.05
2049,27.26
2050,27.16
2051,27.20
2052,26.95
2053,26.98
2054,26.99
2055,27.00
2056,27.10
2057,26.93
2058,27.14
2059,27.13
2060,27.18
2061,27.04
2062,27.05
2063,27.03
2064,27.09
2065,26.98
2066,27.29
2067,27.16
2068,27.18
2069,27.20
2070,27.20
2071,27.11
2072,27.03
2073,27.16
2074,27.37
2075,27.11
2076,27.20
2077,27.25
2078,27.26
2079,27.37
2080,27.07
2081,27.11
2082,27.42
2083,27.15
2084,27.26
2085,27.06
2086,27.04
2087,27.14
2088,26.88
2089,26.90
2090,27.07
2091,27.24
2092,26.96
2093,27.04
2094,27.00
2095,27.00
2096,27.01
2097,26.97
2098,27.07
2099,27.08
2100,27.04
