Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2015,14.92,15.46,16.81,10.40,21.76,10.06,17.39,20.56,18.32,22.58,8.12,15.49,15.07,11.24,21.04,10.20,12.05,14.78,9.11,16.77,7.55,18.82,20.64,5.06,15.28
2016,15.12,15.45,16.88,10.91,22.25,9.82,17.68,20.94,18.56,23.15,8.48,15.49,15.61,11.54,21.54,10.09,11.92,15.24,9.59,17.13,7.53,19.14,21.04,4.99,15.71
2017,15.10,15.34,16.85,10.89,22.13,9.95,17.65,20.82,18.39,22.88,8.94,15.41,15.56,11.51,21.41,10.20,11.89,15.45,9.56,17.00,7.58,19.05,21.13,4.98,15.79
2018,15.10,15.58,17.05,10.80,21.94,10.08,17.63,20.81,18.54,22.91,8.57,15.55,15.45,11.43,21.59,10.20,11.97,15.15,9.42,16.96,7.72,18.92,20.81,5.11,15.64
2019,15.01,15.50,17.02,10.70,21.71,10.04,17.57,20.55,18.46,22.69,8.33,15.42,15.42,11.44,21.28,10.33,11.98,15.03,9.45,16.92,7.63,18.93,20.65,5.06,15.72
2020,15.16,15.67,17.10,10.96,21.82,9.98,17.84,20.64,18.68,22.80,8.83,15.65,15.57,11.46,21.16,10.23,12.04,15.31,9.33,17.23,7.71,19.16,20.96,5.25,15.72
2021,15.34,15.54,16.89,11.28,22.20,10.35,17.80,20.88,18.66,23.17,8.76,15.74,15.95,11.69,21.48,10.44,12.30,15.52,9.82,17.26,7.99,19.21,21.23,5.14,16.01
2022,15.10,15.39,17.03,10.97,21.96,10.09,17.69,20.62,18.39,22.86,8.60,15.44,15.68,11.48,21.53,10.23,11.97,15.17,9.56,17.18,7.72,19.00,20.92,5.00,15.69
2023,15.36,15.87,17.33,11.17,22.18,9.99,18.17,20.98,18.88,22.99,8.77,16.03,15.97,11.89,21.71,10.22,12.18,15.38,9.89,17.70,7.45,19.41,21.25,4.94,16.11
2024,15.18,15.41,16.95,11.13,22.31,10.10,17.59,20.92,18.66,23.02,8.74,15.35,15.78,11.50,21.32,10.32,11.95,15.43,9.67,17.02,7.79,19.19,21.14,5.19,15.94
2025,15.15,15.39,16.75,11.29,22.24,9.96,17.65,20.81,18.36,23.05,9.00,15.51,15.82,11.57,21.22,10.17,11.87,15.57,9.77,17.20,7.64,18.94,20.97,5.13,16.11
2026,15.44,15.71,17.11,11.41,22.64,10.06,18.17,21.20,18.70,23.42,9.05,15.85,16.01,11.70,21.59,10.31,12.13,15.70,9.74,17.49,7.78,19.47,21.63,5.15,16.37
2027,15.34,15.63,16.94,11.23,22.35,10.10,17.99,21.31,18.75,23.27,8.85,15.61,16.12,11.68,21.94,10.37,12.09,15.35,9.81,17.32,7.76,19.38,21.20,5.24,16.00
2028,15.55,15.90,17.44,11.35,22.91,9.96,18.10,21.48,18.96,24.00,8.96,16.03,16.01,12.00,22.08,10.39,12.15,15.73,9.94,17.66,7.81,19.54,21.49,5.15,16.17
2029,15.43,15.56,16.83,11.25,22.73,10.20,17.97,21.28,18.76,23.52,8.91,15.97,15.96,11.84,21.72,10.52,12.31,15.58,9.88,17.46,7.80,19.46,21.37,5.20,16.10
2030,15.23,15.46,17.02,11.15,22.32,10.11,17.57,20.97,18.60,23.18,9.02,15.46,15.74,11.58,21.77,10.39,12.11,15.62,9.52,17.15,7.64,18.98,21.16,5.12,16.10
2031,15.22,15.50,17.09,11.08,22.14,10.11,17.86,20.84,18.63,23.26,8.85,15.51,15.79,11.61,21.70,10.24,11.96,15.35,9.63,17.19,7.81,19.10,20.92,5.24,15.87
2032,15.32,15.70,17.01,11.16,22.26,10.13,17.82,20.99,18.58,23.23,8.58,15.82,15.89,11.87,21.63,10.48,12.31,15.34,9.87,17.36,7.81,19.12,21.09,5.25,15.91
2033,15.21,15.51,16.91,11.06,21.96,10.17,17.60,20.84,18.56,22.94,8.70,15.56,15.73,11.74,21.68,10.34,12.14,15.36,9.72,17.12,7.93,19.06,20.88,5.27,15.94
2034,15.41,15.52,17.01,11.47,22.61,10.21,17.74,21.26,18.81,23.59,9.11,15.76,15.94,11.74,22.05,10.45,12.27,15.84,9.85,17.13,7.84,19.28,21.27,5.22,16.24
2035,15.38,15.60,17.21,11.29,22.41,10.23,17.91,21.20,18.69,23.44,9.29,15.64,15.92,11.59,21.88,10.39,12.19,15.73,9.65,17.26,7.94,19.29,21.23,5.37,16.16
2036,15.38,15.72,17.12,11.21,22.18,10.32,17.96,21.15,18.92,23.10,8.95,15.63,15.84,11.71,21.74,10.46,12.17,15.46,9.79,17.28,8.02,19.45,21.24,5.24,15.99
2037,15.43,15.64,17.17,11.27,22.40,10.33,17.90,21.23,18.80,23.26,8.98,15.77,15.97,11.85,21.83,10.56,12.35,15.60,9.98,17.28,7.95,19.43,21.33,5.23,16.12
2038,15.33,15.48,16.72,11.41,22.16,10.12,17.91,21.13,18.57,22.92,9.22,15.71,15.96,11.71,21.57,10.41,12.13,15.59,9.83,17.31,8.01,19.31,21.20,5.30,16.15
2039,15.64,15.94,17.49,11.66,22.64,10.21,18.28,21.32,19.07,23.54,9.11,16.06,16.45,12.07,22.10,10.48,12.31,15.90,10.25,17.87,7.84,19.64,21.68,5.12,16.57
2040,15.42,15.68,17.08,11.32,22.33,10.19,17.87,21.18,18.74,23.49,9.17,15.74,15.98,11.82,21.98,10.43,12.19,15.72,9.91,17.40,8.05,19.27,21.09,5.41,16.13
2041,15.32,15.45,16.96,11.25,22.39,10.23,17.85,21.12,18.68,23.21,9.25,15.57,15.82,11.48,21.97,10.28,11.98,15.70,9.60,17.23,7.95,19.32,21.38,5.20,16.24
2042,15.43,15.69,17.34,11.29,22.47,10.18,17.94,21.24,18.87,23.31,8.95,15.90,15.86,11.93,21.84,10.61,12.37,15.62,9.85,17.49,7.74,19.40,21.38,5.18,16.08
2043,15.32,15.52,16.94,11.20,22.46,10.07,17.86,21.10,18.73,23.27,8.84,15.69,15.93,11.76,21.67,10.40,12.18,15.51,9.90,17.26,7.68,19.29,21.24,5.19,15.99
2044,15.47,15.78,17.10,11.41,22.74,9.97,18.11,21.54,18.93,23.52,9.12,15.84,16.05,11.68,22.18,10.32,12.12,15.78,9.82,17.42,7.63,19.58,21.55,5.16,16.35
2045,15.60,15.83,17.19,11.54,22.92,10.27,17.93,21.60,18.90,23.81,9.25,15.90,16.04,12.03,22.23,10.50,12.34,15.91,10.11,17.39,8.08,19.59,21.46,5.53,16.33
2046,15.46,15.73,17.26,11.18,22.40,10.30,17.88,21.30,18.87,23.46,9.14,15.87,15.84,11.91,22.17,10.56,12.32,15.64,9.88,17.47,8.01,19.37,21.15,5.42,15.98
2047,15.39,15.55,17.03,11.48,22.12,10.23,18.05,20.94,18.58,23.15,9.41,15.63,16.11,11.72,21.85,10.40,12.21,15.76,9.92,17.50,7.95,19.27,21.10,5.33,16.11
2048,15.28,15.49,16.80,11.45,22.07,10.16,17.82,20.81,18.47,23.02,9.32,15.60,15.97,11.67,21.65,10.38,12.15,15.65,9.80,17.20,7.81,19.17,21.17,5.20,16.17
2049,15.41,15.74,17.28,11.40,22.09,10.18,18.17,20.97,18.88,23.02,9.00,15.89,16.06,12.06,21.69,10.57,12.29,15.55,10.00,17.43,7.78,19.34,21.13,5.06,16.17
2050,15.35,15.52,17.23,11.41,22.45,10.04,18.03,20.96,18.74,23.39,8.89,15.53,16.07,11.60,21.74,10.19,11.95,15.67,9.66,17.27,7.95,19.37,21.43,5.32,16.26
2051,15.50,15.63,17.22,11.57,22.87,9.95,18.05,21.49,18.98,23.71,9.28,15.65,16.28,11.80,22.28,10.26,12.02,15.91,9.95,17.40,7.65,19.63,21.83,5.20,16.62
2052,15.48,15.75,17.37,11.27,22.40,10.40,17.98,21.08,18.88,23.20,9.05,15.87,15.95,11.85,21.84,10.53,12.37,15.67,9.95,17.34,8.27,19.39,21.22,5.62,16.17
2053,15.34,15.63,17.07,11.33,22.22,10.20,17.89,20.90,18.66,23.16,8.99,15.70,15.94,11.72,21.77,10.43,12.10,15.57,9.85,17.32,8.01,19.20,21.10,5.50,16.06
2054,15.33,15.50,16.88,11.28,22.17,10.31,17.88,20.78,18.45,23.09,8.98,15.72,15.95,11.70,21.53,10.32,12.15,15.57,9.69,17.46,8.01,19.10,21.38,5.48,16.15
2055,15.30,15.47,16.90,11.10,22.31,10.22,17.67,21.11,18.52,23.13,9.16,15.61,15.89,11.72,21.68,10.33,12.09,15.60,9.68,17.36,8.00,19.09,21.17,5.43,16.02
2056,15.43,15.63,17.04,11.33,22.28,10.30,18.05,21.25,18.80,23.10,8.96,15.76,16.06,11.86,21.91,10.39,12.27,15.42,9.91,17.52,8.10,19.46,21.20,5.63,16.20
2057,15.52,15.89,17.20,11.50,22.31,10.25,18.14,21.23,18.92,23.14,8.99,16.04,16.28,12.07,21.99,10.58,12.40,15.54,10.16,17.75,7.83,19.47,21.35,5.12,16.25
2058,15.55,15.87,17.23,11.51,22.77,10.18,18.09,21.44,18.92,23.56,9.32,15.92,16.13,12.03,21.83,10.48,12.25,15.88,9.95,17.64,7.80,19.51,21.49,5.36,16.39
2059,15.48,15.67,17.08,11.56,22.40,10.26,18.10,21.09,18.66,23.07,9.21,15.89,16.23,12.04,21.67,10.72,12.29,15.79,10.03,17.57,8.02,19.35,21.37,5.42,16.29
2060,15.57,15.82,17.42,11.58,22.54,10.17,18.22,21.49,19.16,23.24,9.10,15.96,16.20,12.04,22.27,10.46,12.24,15.76,10.08,17.52,7.97,19.75,21.47,5.42,16.39
2061,15.51,15.77,17.23,11.38,22.48,10.34,18.02,21.29,18.95,23.34,9.00,15.82,16.11,12.03,22.04,10.75,12.36,15.66,10.05,17.39,7.85,19.50,21.42,5.26,16.43
2062,15.50,15.81,17.27,11.25,22.32,10.46,18.11,21.05,18.89,23.23,9.05,16.01,16.03,11.86,21.73,10.45,12.38,15.63,9.93,17.58,8.16,19.33,21.31,5.39,16.11
2063,15.30,15.51,17.02,11.30,22.36,9.96,17.82,21.12,18.80,23.23,9.08,15.58,15.94,11.64,21.60,10.20,11.98,15.59,9.80,17.34,7.85,19.22,21.25,5.36,16.08
2064,15.27,15.66,16.99,11.00,21.87,10.30,17.75,20.79,18.44,22.95,8.88,15.69,15.64,11.80,21.75,10.32,12.33,15.37,9.67,17.32,8.09,18.93,20.74,5.49,15.78
2065,15.25,15.59,17.24,10.89,22.04,10.02,17.99,21.21,18.96,22.87,8.60,15.65,15.74,11.75,21.78,10.27,12.07,15.11,9.61,17.42,7.60,19.46,21.10,5.20,15.81
2066,15.33,15.48,16.90,11.14,22.14,10.24,17.73,21.08,18.65,23.16,8.98,15.69,15.85,11.86,21.78,10.48,12.15,15.61,9.85,17.27,7.98,19.26,21.07,5.37,16.17
2067,15.51,15.63,16.92,11.46,22.50,10.40,18.13,21.31,18.85,23.18,9.16,15.91,16.10,12.04,21.78,10.63,12.31,15.69,10.03,17.56,8.05,19.52,21.30,5.37,16.25
2068,15.36,15.62,17.21,11.28,22.18,10.33,17.89,21.03,18.69,23.22,9.12,15.55,15.95,11.56,21.64,10.29,12.17,15.68,9.78,17.20,8.14,19.23,21.12,5.57,16.15
2069,15.44,15.76,17.23,11.23,22.57,10.04,18.04,21.41,19.02,23.33,8.85,15.84,15.94,11.73,21.67,10.39,12.21,15.57,9.85,17.35,7.77,19.66,21.48,5.27,16.25
2070,15.24,15.52,17.00,11.03,21.94,10.04,17.90,20.90,18.69,22.87,9.03,15.65,15.73,11.71,21.64,10.33,12.04,15.34,9.63,17.36,7.88,19.27,20.97,5.33,15.95
2071,15.37,15.63,17.05,11.30,22.07,10.26,17.86,20.98,18.69,22.78,9.28,15.81,16.10,11.97,21.75,10.53,12.21,15.52,10.19,17.43,8.03,19.24,21.07,5.33,16.14
2072,15.33,15.72,17.08,11.06,22.23,10.19,17.94,21.19,18.90,22.97,8.72,15.80,15.74,11.71,21.80,10.38,12.28,15.30,9.64,17.18,7.84,19.46,21.16,5.23,15.75
2073,15.37,15.66,17.28,11.30,22.39,10.05,17.96,21.03,18.74,23.30,8.99,15.85,15.93,11.80,21.68,10.37,12.13,15.60,9.74,17.59,7.80,19.28,21.27,5.06,16.07
2074,15.39,15.78,17.17,11.26,22.19,10.09,18.13,21.06,18.85,23.11,9.09,15.79,16.02,11.92,21.47,10.38,12.15,15.54,10.02,17.58,7.80,19.34,21.20,5.18,16.08
2075,15.35,15.65,17.02,11.19,22.22,10.11,18.13,21.08,18.74,22.96,9.02,15.73,15.87,11.65,21.64,10.35,12.21,15.54,9.67,17.43,7.72,19.47,21.42,4.97,16.19
2076,15.42,15.76,17.09,11.27,22.53,10.09,18.23,21.16,18.73,23.44,9.11,15.83,16.11,11.73,21.81,10.29,12.09,15.61,9.82,17.66,7.72,19.46,21.28,5.16,16.14
2077,15.61,15.86,17.41,11.53,22.91,10.21,18.37,21.41,18.93,23.85,9.15,15.96,16.30,11.98,21.99,10.34,12.24,15.81,10.09,17.83,7.83,19.55,21.72,5.25,16.39
2078,15.45,15.72,17.16,11.47,22.27,10.43,17.93,21.05,18.74,23.09,9.08,15.72,16.05,12.04,21.54,10.57,12.33,15.68,10.04,17.35,8.10,19.35,21.14,5.47,16.12
2079,15.41,15.79,17.15,11.13,22.80,10.20,17.82,21.28,18.87,23.63,9.07,15.72,15.85,11.60,21.92,10.27,12.18,15.66,9.65,17.17,7.82,19.42,21.27,5.28,16.09
2080,15.27,15.65,17.00,11.06,22.07,10.32,17.79,20.81,18.51,22.93,8.92,15.60,15.69,11.57,21.56,10.44,12.21,15.41,9.59,17.21,8.02,19.13,21.10,5.48,15.87
